"election_type","election_date","results_status","results_date","province_code","province_name_eng","province_name_dari","district_code","district_name_eng","district_name_dari","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","provincial_capital","ballot_position","candidate_code","candidate_name_eng","candidate_name_dari","party_name_dari","candidate_gender","first_round_winner","run_off_winner","past_winners","male_ps_votes","fem_ps_votes","votes"
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0101","KABUL","كابل","0101-18","KABUL NAHIA 18","كابل - ناحيه 18","YES",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",1249,208,1457
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0101","KABUL","كابل","0101-21","KABUL NAHIA 21","كابل - ناحيه 21","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",514,96,610
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0101","KABUL","كابل","0101-21","KABUL NAHIA 21","كابل - ناحيه 21","YES",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",20267,21362,41629
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0102","PAGHMAN","يغمان","0102","PAGHMAN","يغمان","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",5891,2601,8492
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0102","PAGHMAN","يغمان","0102","PAGHMAN","يغمان","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",10395,2559,12954
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0103","CHAHARASYAB","جهار اسياب","0103","CHAHARASYAB","جهار اسياب","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",1162,338,1500
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0103","CHAHARASYAB","جهار اسياب","0103","CHAHARASYAB","جهار اسياب","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",7483,3151,10634
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0104","BAGRAMI","بكرامى","0104","BAGRAMI","بكرامى","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",4762,1579,6341
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0104","BAGRAMI","بكرامى","0104","BAGRAMI","بكرامى","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",13814,4652,18466
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0105","DEHSABZ","ده سبز","0105","DEHSABZ","ده سبز","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",3258,874,4132
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0105","DEHSABZ","ده سبز","0105","DEHSABZ","ده سبز","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",7971,1676,9647
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0106","SHAKARDARA","شكردره","0106","SHAKARDARA","شكردره","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",6899,1905,8804
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0106","SHAKARDARA","شكردره","0106","SHAKARDARA","شكردره","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",4509,860,5369
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0107","MUSAYI","موسهى","0107","MUSAYI","موسهى","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",420,98,518
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0107","MUSAYI","موسهى","0107","MUSAYI","موسهى","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",4118,1080,5198
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0108","MIRBACHAKOT","مير بجه كوت","0108","MIRBACHAKOT","مير بجه كوت","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",6892,1915,8807
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0108","MIRBACHAKOT","مير بجه كوت","0108","MIRBACHAKOT","مير بجه كوت","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",688,234,922
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0109","KHAK-E- JABBAR","خاكن جبار","0109","KHAK-E- JABBAR","خاكن جبار","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",1627,651,2278
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0109","KHAK-E- JABBAR","خاكن جبار","0109","KHAK-E- JABBAR","خاكن جبار","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",5546,3848,9394
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0110","KALAKAN","كلكان","0110","KALAKAN","كلكان","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",4049,1562,5611
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0110","KALAKAN","كلكان","0110","KALAKAN","كلكان","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",784,117,901
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0111","GULDARA","كلدره","0111","GULDARA","كلدره","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",1502,803,2305
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0111","GULDARA","كلدره","0111","GULDARA","كلدره","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",821,133,954
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0112","FARZA","فرزه","0112","FARZA","فرزه","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",1399,752,2151
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0112","FARZA","فرزه","0112","FARZA","فرزه","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",2117,892,3009
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0113","ESTALEF","استالف","0113","ESTALEF","استالف","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",3540,1053,4593
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0113","ESTALEF","استالف","0113","ESTALEF","استالف","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",538,139,677
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0114","QARABAGH","قره باغ","0114","QARABAGH","قره باغ","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",5606,1781,7387
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0114","QARABAGH","قره باغ","0114","QARABAGH","قره باغ","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",5781,1509,7290
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0115","SUROBI","سروبى","0115","SUROBI","سروبى","NO",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",3634,1629,5263
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","01","KABUL","کابل","0115","SUROBI","سروبى","0115","SUROBI","سروبى","NO",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",20514,11313,31827
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","02","KAPISA","کاپیسا","0201","MAHMUD-E- RAQI","محمود راقى","0201","MAHMUD-E- RAQI","محمود راقى","YES",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",8023,2863,10886
