"election_type","election_date","results_status","results_date","province_code","province_name_eng","province_name_dari","ballot_position","candidate_code","candidate_name_eng","candidate_name_dari","party_name_dari","candidate_gender","first_round_winner","run_off_winner","past_winners","male_ps_votes","fem_ps_votes","votes"
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","11","GHAZNI","غزنی",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",86000,43146,129146
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","12","PAKTIKA","پکتیکا",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",27043,20346,47389
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","12","PAKTIKA","پکتیکا",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",212315,144858,357173
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","13","PAKTIA","پکتیا",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",16815,10145,26960
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","13","PAKTIA","پکتیا",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",185458,121987,307445
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","14","KHOST","خوست",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",7362,4266,11628
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","14","KHOST","خوست",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",252495,136037,388532
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","15","KUNAR","کنرها",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",17377,8144,25521
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","15","KUNAR","کنرها",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",119777,66920,186697
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","16","NOORISTAN","نورستان",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",35121,22072,57193
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","16","NOORISTAN","نورستان",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",14797,8925,23722
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","17","BADAKHSHAN","بدخشان",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",148758,98879,247637
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","17","BADAKHSHAN","بدخشان",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",38430,26148,64578
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","18","TAKHAR","تخار",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",88321,71897,160218
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","18","TAKHAR","تخار",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",87964,58684,146648
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","19","KUNDUZ","کندز",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",48867,32508,81375
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","19","KUNDUZ","کندز",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",69439,41303,110742
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","20","SAMANGAN","سمنگان",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",49900,39241,89141
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","20","SAMANGAN","سمنگان",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",28584,23378,51962
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","21","BALKH","بلخ",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",130440,94066,224506
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","21","BALKH","بلخ",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",84098,47161,131259
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","22","SAR-I-PUL","سرپل",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",36269,25848,62117
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","22","SAR-I-PUL","سرپل",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",41139,29691,70830
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","23","GHOR","غور",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",142406,95897,238303
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","23","GHOR","غور",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",55171,35320,90491
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","24","DAIKUNDI","دایکندی",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",73556,63223,136779
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","24","DAIKUNDI","دایکندی",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",23893,15850,39743
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","25","UROZGAN","ارزگان",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",6151,558,6709
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","25","UROZGAN","ارزگان",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",12496,1426,13922
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","26","ZABUL","زابل",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",3805,641,4446
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","26","ZABUL","زابل",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",40586,14822,55408
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","27","KANDAHAR","کندهار",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",39325,11861,51186
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","27","KANDAHAR","کندهار",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",206218,62728,268946
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","28","JOWZJAN","جوزجان",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",17690,7489,25179
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","28","JOWZJAN","جوزجان",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",58973,45984,104957
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","29","FARYAB","فاریاب",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",62204,51024,113228
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","29","FARYAB","فاریاب",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",123311,94584,217895
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","30","HELMAND","هلمند",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",14259,3824,18083
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","30","HELMAND","هلمند",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",36939,4004,40943
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","31","BADGHIS","بادغیس",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",54191,34459,88650
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","31","BADGHIS","بادغیس",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",28964,17738,46702
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","32","HERAT","هرات",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",175269,150574,325843
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","32","HERAT","هرات",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",112496,73622,186118
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","33","FARAH","فراه",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",23833,16300,40133
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","33","FARAH","فراه",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",23196,12056,35252
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","34","NIMROZ","نیمروز",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",6754,4216,10970
"PRESIDENTIAL RUNOFF","2014-06-14","PRELIMINARY","2014-07-07","34","NIMROZ","نیمروز",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",14118,6550,20668
