"region_name_eng","province_code","province_name_eng","pc_plan_IEC","ps_plan_IEC","pc_plan_MOI","pc_plan_MOI_pct_IEC","pc_plan_2018","pc_prelim_reporting_2018","pc_plan_IEC_pct_plan_18","pc_plan_MOI_pct_plan_18","pc_plan_IEC_pct_prelim_reporting_18","pc_plan_MOI_pct_prelim_reporting_18","pc_count_09_28","pc_count_09_29","pc_count_10_01","pc_count_10_03","pc_reporting_pct_IEC_09_28","pc_reporting_pct_IEC_09_29","pc_reporting_pct_IEC_10_01","pc_reporting_pct_IEC_10_03","pc_reporting_pct_2018","pc_reporting_pct_MOI_10_01","pc_reporting_pct_MOI_10_03","pc_remaining_pct_MOI_10_01","ps_reporting_09_29","ps_reporting_pct_IEC_09_29","ps_reporting_10_03","ps_reporting_pct_IEC_10_03","bvv_reporting_ps_10_14","bvv_reporting_pct_10_14","bvv_remaining_ps_projection","partial_votes_09_28","partial_votes_09_29","partial_votes_10_01","partial_votes_10_03","partial_bvv_votes_10_14","projected_bvv_votes_10_14","net_change_pc_28_29","net_change_votes_28_29","net_change_pc_29_01","net_change_votes_29_01","net_change_votes_proj_bvv_03_14","pct_change_votes_proj_bvv_03_14","net_change_pc_01_03","net_change_votes_01_03","avg_votes_pc_09_28","avg_votes_pc_09_29","avg_votes_pc_10_01","avg_votes_pc_10_03","straight_line_projection","vr_total_2019","turnout_10_03_19","bvv_proj_turnout_10_14_19","total_prelim_votes_2018","pct_change_votes_2018_10_03_19","vr_total_2018","pct_change_vr_18_19","turnout_2018","pct_change_turnout_2018_10_03_19","total_prelim_round_one_votes_2014","pct_change_votes_2014_10_03_19","pct_natl_vote_10_03_19","pct_natl_vr_19","pct_natl_vote_2018","pct_natl_vr_18","pct_natl_vote_2014"
"Capital","05","Logar",34,310,34,1,34,31,1,1,1.09677419354839,1.09677419354839,10,30,33,33,0.294117647,0.882352941,0.970588235,0.970588235,0.911764705882353,0.970588235,0.970588235,0.029411765,206,0.664516129,279,0.9,236,0.845878136,0.154121864,2784,19981,19981,22939,12367,14620.30932,20,17197,3,0,-8318.690678,-0.362643998,0,2958,278.4,666.0333333,605.4848485,695.1212121,20586.48485,107559,0.21326899655073,0.135928275,24637,-0.0689207289848602,92011,0.168979795893969,0.267761463303301,-0.203511237503379,32866,-0.30204466622041,0.00850887832960544,0.0111437388876278,0.00673239567478351,0.0106093342216435,0.00493621193420026
"Capital","04","Maydanwardak",106,516,75,0.70754717,106,81,1,0.707547169811321,1.30864197530864,0.925925925925926,67,64,84,83,0.632075472,0.603773585,0.79245283,0.783018868,0.764150943396226,1.12,1.106666667,-0.12,265,0.513565891,392,0.759689922,254,0.647959184,0.352040816,4763,20560,20560,20560,19872,30668.59843,-3,15797,20,0,10108.59843,0.491663348,-1,0,71.08955224,321.25,244.7619048,247.7108434,18357.14286,162244,0.126722713937033,0.189027628,59102,-0.652126831579304,144419,0.123425588045894,0.409239781469197,-0.690346052179751,96262,-0.786416239014357,0.00762642392679227,0.0168094234056126,0.0161504261546071,0.0166522420031903,0.0144577871724574
"East","06","Nangarhar",395,2534,395,1,394,368,1.00253807106599,1.00253807106599,1.07336956521739,1.07336956521739,309,390,394,394,0.782278481,0.987341772,0.997468354,0.997468354,0.934010152284264,0.997468354,0.997468354,0.002531646,2509,0.990134175,2529,0.998026835,1941,0.767497034,0.232502966,22813,254871,255052,255052,169012,220211.9258,81,232058,4,181,-34840.07419,-0.136599886,0,0,73.82847896,653.5153846,647.3401015,647.3401015,255699.3401,856243,0.297873384074381,0.257183914,265207,-0.0382908445101374,794133,0.0782110805117027,0.333957913850703,-0.108051129437985,332224,-0.232289057984974,0.0946077176739407,0.0887117620688094,0.0724714234574952,0.0915675561991116,0.0498974038102522
"South","34","Nimroz",50,284,50,1,50,50,1,1,1,1,11,49,50,50,0.22,0.98,1,1,1,1,1,0,272,NA,284,1,247,0.86971831,0.13028169,3705,12637,12637,12739,9553,10984.01619,38,8932,1,0,-1754.983806,-0.137764644,0,102,336.8181818,257.8979592,252.74,254.78,12637,91940,0.138557755057646,0.119469395,32583,-0.609029248381058,91674,0.00290158605493379,0.355422475292886,-0.610160401523658,45349,-0.719089726344572,0.00472534116748087,0.00952551951327641,0.00890374835700252,0.0105704764151563,0.00681105930152886
"East","16","Nuristan",54,286,34,0.62962963,54,32,1,0.62962962962963,1.6875,1.0625,14,25,29,29,0.259259259,0.462962963,0.537037037,0.537037037,0.592592592592593,0.852941176,0.852941176,0.147058824,132,0.461538462,169,0.590909091,168,0.99408284,0.00591716,7736,17805,23742,23742,10016,10075.61905,11,10069,4,5937,-13666.38095,-0.57562046,0,0,552.5714286,712.2,818.6896552,818.6896552,27835.44828,86189,0.275464386406618,0.11690145,20655,0.149455337690632,67054,0.285367017627584,0.308035314820891,-0.105737643858177,60655,-0.608573077240129,0.00880673914736877,0.00892968241602981,0.00564425996114191,0.00773166574537921,0.00910989882763089
"Southeast","12","Paktika",166,773,166,1,166,159,1,1,1.0440251572327,1.0440251572327,26,131,131,165,0.156626506,0.789156627,0.789156627,0.993975904,0.957831325301205,0.789156627,0.993975904,0.210843373,612,0.791720569,766,0.990944373,631,0.823759791,0.176240209,3068,43590,45741,48852,27147,32954.99525,105,40522,0,2151,-15897.00475,-0.325411544,34,3111,118,332.7480916,349.1679389,296.0727273,57961.87786,235727,0.207239730705435,0.13980153,37656,0.297323135755258,197487,0.193632998627758,0.190675841954154,0.0868693620624649,256735,-0.809718191909946,0.0181209173964813,0.0244226902143366,0.0102900146742561,0.0227712511268187,0.0385595561043907
"Southeast","13","Paktya",194,1194,194,1,194,132,1,1,1.46969696969697,1.46969696969697,47,155,159,159,0.242268041,0.798969072,0.819587629,0.819587629,0.680412371134021,0.819587629,0.819587629,0.180412371,NA,NA,983,0.823283082,653,0.664292981,0.335707019,11821,161678,161678,161655,36827,55437.88821,108,149857,4,0,-106217.1118,-0.657060479,0,-23,251.5106383,1043.083871,1016.842767,1016.698113,197267.4969,400809,0.403321781696519,0.138314978,77247,1.09270262922832,381052,0.0518485665998341,0.202720363624912,0.989547445972295,184208,-0.122432250499435,0.059963499994436,0.0415261469501502,0.0211087944429111,0.0439372251559674,0.0276665772523326
"Capital","08","Panjsher",96,295,96,1,96,96,1,1,1,1,96,96,96,96,1,1,1,1,1,1,1,0,295,1,295,1,284,0.962711864,0.037288136,10144,19205,19205,19205,18427,19140.72183,0,9061,0,0,-64.27816901,-0.00334695,0,0,105.6666667,200.0520833,200.0520833,200.0520833,19205,77305,0.248431537416726,0.24760005,32847,-0.415319511675343,73737,0.0483881904606914,0.445461572887424,-0.442305346774527,42536,-0.548500094037991,0.00712380698025513,0.00800924827032666,0.0089758899512771,0.0085022494864889,0.00638856906326119
"Capital","03","Parwan",154,704,154,1,154,154,1,1,1,1,37,153,153,153,0.24025974,0.993506494,0.993506494,0.993506494,1,0.993506494,0.993506494,0.006493506,703,0.998579545,703,0.998579545,637,0.906116643,0.093883357,14208,42183,42183,42257,31327,34572.81162,116,27975,0,0,-7684.188383,-0.181844153,0,74,384,275.7058824,275.7058824,276.1895425,42458.70588,218935,0.193011624454747,0.157913589,86814,-0.513246711359919,212499,0.0302872013515358,0.40853839312185,-0.527555726207648,147774,-0.714043065762583,0.0156746009666567,0.0226829412077352,0.0237231074445207,0.0245022107439875,0.0221944800816804
"North","20","Samangan",99,457,80,0.808080808,100,92,0.99,0.8,1.07608695652174,0.869565217391304,19,36,76,76,0.191919192,0.363636364,0.767676768,0.767676768,0.92,0.95,0.95,0.05,NA,NA,375,0.820568928,361,0.962666667,0.037333333,15339,20560,39255,39255,37298,38744.45983,17,5221,40,18695,-510.5401662,-0.013005736,0,0,807.3157895,571.1111111,516.5131579,516.5131579,41321.05263,141504,0.277412652645862,0.273804697,76927,-0.489711024737738,135303,0.0458304693909226,0.568553542789147,-0.512072950447268,140418,-0.720441823697817,0.0145610540489412,0.0146606386035095,0.0210213500862147,0.0156011210419519,0.0210896673576502
"North","22","Sar-e-Pul",82,436,71,0.865853659,82,73,1,0.865853658536585,1.12328767123288,0.972602739726027,33,64,65,65,0.402439024,0.780487805,0.792682927,0.792682927,0.890243902439024,0.915492958,0.915492958,0.084507042,NA,NA,373,0.855504587,356,0.954423592,0.045576408,16395,35509,35509,35509,33371,34964.55899,31,19114,1,0,-544.4410112,-0.015332479,0,0,496.8181818,554.828125,546.2923077,546.2923077,38786.75385,140948,0.25192978970968,0.248067081,80368,-0.558169918375473,134767,0.0458643436449576,0.596347770596659,-0.577545516003827,148858,-0.761457227693507,0.0131715314794001,0.0146030337650346,0.0219616501843163,0.0155393175277764,0.0223572882645038
"Northeast","18","Takhar",229,1026,215,0.938864629,229,214,1,0.938864628820961,1.07009345794393,1.00467289719626,41,41,169,167,0.179039301,0.179039301,0.737991266,0.729257642,0.934497816593886,0.786046512,0.776744186,0.213953488,NA,NA,791,0.770955166,767,0.96965866,0.03034134,14466,14466,59864,64055,59520,61382.42503,0,0,128,45398,-2672.574967,-0.041723128,-2,4191,352.8292683,352.8292683,354.2248521,383.5628743,76158.3432,316568,0.202341992873569,0.193899652,175099,-0.634178379088401,288820,0.096073679108095,0.606256491932692,-0.666243585732961,318278,-0.798745122188778,0.0237602424431264,0.0327982886804317,0.0478481856662304,0.0333024085152328,0.0478028254729322
"South","25","Uruzgan",32,200,32,1,29,28,1.10344827586207,1.10344827586207,1.14285714285714,1.14285714285714,4,24,24,30,0.125,0.75,0.75,0.9375,0.96551724137931,0.75,0.9375,0.25,153,0.765,196,0.98,132,0.673469388,0.326530612,436,4414,5856,6005,6126,9096.181818,20,3978,0,1442,3091.181818,0.514767996,6,149,109,183.9166667,244,200.1666667,7808,56952,0.105439668492766,0.159716635,12870,-0.533411033411033,56003,0.0169455207756727,0.229809117368712,-0.541185877653429,22900,-0.737772925764192,0.00222746477044687,0.00590055892234194,0.00351690272088581,0.00645742948576478,0.00343939795816911
"South","26","Zabul",43,213,43,1,43,42,1,1,1.02380952380952,1.02380952380952,6,22,35,36,0.139534884,0.511627907,0.813953488,0.837209302,0.976744186046512,0.813953488,0.837209302,0.186046512,108,0.507042254,197,0.924882629,166,0.842639594,0.157360406,490,17579,18378,18378,10648,12636.48193,16,17089,13,799,-5741.518072,-0.312412562,1,0,81.66666667,799.0454545,525.0857143,510.5,22578.68571,66489,0.276406623652033,0.190053722,13803,0.331449684851119,60915,0.091504555528195,0.226594434868259,0.219829709466317,20553,-0.105823967304043,0.00681704372211032,0.00688864767150572,0.00377185767337893,0.00702380795895509,0.00308689721546942
