"province_code","province_name_eng","total_known_pcs","planned_pcs_18","prelim_results_pcs_18","final_results_pcs_18","pcs_with_vr_18","pcs_with_vr_not_planned_18","pcs_planned_but_missing_vr_18","total_prelim_votes_18","total_final_votes_18","pcs_with_vr_19","pcs_missing_from_vr_19","pcs_that_added_vr_19","prelim_total_vr_18","final_total_vr_18","final_total_vr_18_at_planned_pcs","final_male_vr_18","final_male_vr_18_at_planned_pcs","final_fem_vr_18","final_fem_vr_18_at_planned_pcs","final_kuchi_vr_18","final_kuchi_vr_18_at_planned_pcs","final_sikh_vr_18","final_sikh_vr_18_at_planned_pcs","prelim_total_vr_19","prelim_vr_male_19","prelim_vr_fem_19","prelim_vr_kuchi_19","prelim_vr_sikh_19","total_vr_net_change","total_vr_pct_change","vr_male_net_change","vr_male_pct_change","vr_fem_net_change","vr_fem_pct_change","vr_kuchi_net_change","vr_kuchi_pct_change","vr_sikh_net_change","vr_sikh_pct_change"
"18","Takhar",247,229,214,214,212,0,17,175099,174896,212,2,2,301002,289197,289197,152989,152989,135831,135831,377,NA,0,NA,289178,152971,135833,374,0,-19,-0.000065699160088106,-18,-0.00011765551771696,2,0.0000147241793110556,0.992042440318302,0.00263141230853661,0,NA
"19","Kunduz",220,98,78,78,89,0,9,52251,52251,89,1,1,177360,169800,169800,108822,108822,60852,60852,126,NA,0,NA,169802,108832,60843,127,0,2,0.0000117785630153121,10,0.0000918931833636581,-9,-0.000147899822520213,1.00793650793651,0.00799949609473419,0,NA
"20","Samangan",115,100,92,91,99,0,1,76927,76056,99,0,0,140742,135378,135378,72229,72229,63074,63074,75,NA,0,NA,134207,70600,63532,75,0,-1171,-0.0086498544815258,-1629,-0.0225532680779188,458,0.00726131210958557,1,0.0133333333333333,0,NA
"21","Balkh",315,283,250,250,280,0,3,209009,195370,280,1,1,463824,447818,447818,246833,246833,195551,195551,5434,NA,0,NA,447815,246816,195564,5435,0,-3,-0.00000669915010115717,-17,-0.0000688724765327165,13,0.0000664788213816345,1.00018402649982,0.000184060365568608,0,NA
"22","Sar-e-Pul",149,82,73,73,81,0,1,80368,76391,81,0,0,155353,135620,135620,68433,68433,66334,66334,853,NA,0,NA,135600,68374,66373,853,0,-20,-0.000147470874502286,-59,-0.000862157146405974,39,0.000587933789610155,1,0.00117233294255569,0,NA
"23","Ghor",289,181,142,142,181,1,1,108712,111334,181,0,0,259697,238848,237536,152907,152118,85559,85052,382,NA,0,NA,238975,153039,85563,373,0,127,0.000531718917470525,132,0.000863269830681395,4,0.000046751364555453,0.976439790575916,0.00255612510621968,0,NA
"24","Daykundi",256,252,252,252,252,0,0,134695,134695,252,0,0,183254,167404,167404,75582,75582,91755,91755,67,67,0,0,166942,75467,91408,67,0,-462,-0.00275979068600511,-115,-0.00152152628932815,-347,-0.0037818102555719,1,0.0149253731343284,0,NA
"25","Uruzgan",65,29,28,29,29,0,0,12870,12621,29,0,0,60023,56329,56329,54034,54034,1969,1969,326,326,0,0,56325,54032,1967,326,0,-4,-0.0000710113795735767,-2,-0.0000370137320946071,-2,-0.00101574403250381,1,0.00306748466257669,0,NA
"26","Zabul",100,43,42,42,43,0,0,13803,13288,43,0,0,67409,64742,64742,57551,57551,3364,3364,3827,3827,0,0,64723,57531,3363,3829,0,-19,-0.000293472552593371,-20,-0.000347517853729735,-1,-0.000297265160523187,1.00052260256075,0.000261437837094526,0,NA
"27","Kandahar",225,144,169,169,172,29,1,175944,165711,172,1,1,586102,523539,466738,443077,394238,67262,61672,13200,NA,0,NA,522984,442512,67276,13196,0,-555,-0.00106009294436518,-565,-0.00127517338972684,14,0.000208141298207011,0.99969696969697,0.0000757346189164371,0,NA
"28","Jawzjan",129,60,53,53,60,0,0,55371,55881,60,0,0,97781,95100,95100,46428,46428,48366,48366,306,306,0,0,95154,46470,48379,305,0,54,0.00056782334384858,42,0.000904626518480227,13,0.000268783856428069,0.996732026143791,0.00325729420308428,0,NA
"29","Faryab",238,108,78,78,106,0,2,70419,68984,106,0,0,199084,189605,189605,104478,104478,84989,84989,138,NA,0,NA,189566,104454,84974,138,0,-39,-0.000205690778196778,-24,-0.000229713432492965,-15,-0.000176493428561343,1,0.0072463768115942,0,NA
"30","Hilmand",247,97,95,95,95,0,2,83405,75968,94,1,0,320564,306489,306489,261738,261738,41756,41756,2991,NA,4,NA,306378,261709,41679,2986,4,-111,-0.000362166342022063,-29,-0.000110797820721485,-77,-0.00184404636459431,0.998328318288198,0.0003337774384113,0,0
"31","Badghis",211,76,65,64,76,0,0,44889,44371,76,0,0,109981,87615,87615,55856,55856,30319,30319,1440,1440,0,0,94307,59945,32883,1479,0,6692,0.0763796153626662,4089,0.0732061014036093,2564,0.0845674329628286,1.02708333333333,0.000713252314814815,0,NA
"32","Hirat",462,300,282,279,298,0,2,339645,322503,297,1,0,563841,541886,541886,299371,299371,240585,240585,1930,NA,0,NA,539141,297391,239818,1932,0,-2745,-0.00506564111270636,-1980,-0.00661386707463315,-767,-0.00318806243115739,1.00103626943005,0.000518671642191737,0,NA
"33","Farah",224,53,42,42,45,0,8,25966,25252,44,1,0,68830,63153,63153,40909,40909,21689,21689,555,NA,0,NA,65825,42692,22581,552,0,2672,0.0423099456874574,1783,0.0435845412989807,892,0.0411268384895569,0.994594594594595,0.00179206233260287,0,NA
"34","Nimroz",68,50,50,50,50,0,0,32583,30941,50,0,0,96018,92599,92599,65065,65065,26609,26609,925,925,0,0,92603,65068,26609,926,0,4,0.0000431970107668549,3,0.0000461077384154307,0,0,1.00108108108108,0.00108224981738495,0,NA
