"province_code","province_name_eng","province_name_dari","province_name_pashto","district_code","district_name_eng","district_name_dari","district_name_pashto","pc_code","pc_name_eng","pc_name_dari","pc_name_pashto","pc_location_eng","pc_location_dari","pc_location_pashto"
"01","KABUL","کابل","کابل","0101","Nahia 03","ناحیه 03","ناحیه 03","0101033","Sayed Jamaluddin Experimental Secondary School","مکتب متوسطه تجربوی سید جمال الدین","مکتب متوسطه تجربوی سید جمال الدین","Sarai Ghazni","سرای غزنی","سرای غزنی"
"01","KABUL","کابل","کابل","0101","Nahia 03","ناحیه 03","ناحیه 03","0101034","Afghan Technology Institute","انستیتوت تکنالوژی افغان","انستیتوت تکنالوژی افغان","Kart e Chahar","کارته چهار","کارته چهار"
"01","KABUL","کابل","کابل","0101","Nahia 03","ناحیه 03","ناحیه 03","0101035","Sayed Jamaluddin Secondary School","مکتب متوسطه سید جمال الدین","مکتب متوسطه سید جمال الدین","Kart e Chahar","کاراته چهار","کاراته چهار"
"01","KABUL","کابل","کابل","0101","Nahia 03","ناحیه 03","ناحیه 03","0101036","Raabia Balkhi High School","لیسه رابعه بلخی","لیسه رابعه بلخی","Kart e Chahar","کاراته چهار","کاراته چهار"
"01","KABUL","کابل","کابل","0101","Nahia 03","ناحیه 03","ناحیه 03","0101037","Amir Dost Mohammad Khan School","مکتب امير دوست محمد خان","مکتب امير دوست محمد خان","Dehmazang","دهمزنگ","دهمزنگ"
"01","KABUL","کابل","کابل","0101","Nahia 03","ناحیه 03","ناحیه 03","0101038","Hanzalla Mosque","مسجد حنظله","مسجد حنظله","Dehmazang","دهمزنگ","دهمزنگ"
"01","KABUL","کابل","کابل","0101","Nahia 03","ناحیه 03","ناحیه 03","0101039","Amir Hamza Secondary School","مکتب متوسطه امير حمزه","مکتب متوسطه امير حمزه","Nawabad Dehmazang","نو آباد دهمزنگ","نو آباد دهمزنگ"
"01","KABUL","کابل","کابل","0101","Nahia 03","ناحیه 03","ناحیه 03","0101040","Mohammadia Mosque","مسجد محمدیه","مسجد محمدیه","Sarak e Awal","سرک اول","سرک اول"
"01","KABUL","کابل","کابل","0101","Nahia 03","ناحیه 03","ناحیه 03","0101041","Jamal Mena, no. 13 Secondary School","مکتب متوسطه نمبر١٣ جمال مينه","مکتب متوسطه نمبر١٣ جمال مينه","Jamal Mena","جمال مينه","جمال مينه"
"01","KABUL","کابل","کابل","0101","Nahia 03","ناحیه 03","ناحیه 03","0101042","Jamal Mena, no. 12 Preliminary School","مکتب ابتدایه نمبر 12 جمال مینه","مکتب ابتدایه نمبر 12 جمال مینه","Qesmat e Awal Kart e Sakhi","قسمت اول کارته سخی","قسمت اول کارته سخی"
"01","KABUL","کابل","کابل","0101","Nahia 03","ناحیه 03","ناحیه 03","0101043","Legal Faculty (Pohanzai Huqooq)","پوهنځي حقوق","پوهنځي حقوق","Puhantoon Kabul (Kabul University)","پوهنتون کابل","پوهنتون کابل"
"01","KABUL","کابل","کابل","0101","Nahia 03","ناحیه 03","ناحیه 03","0101044","Durkhanai High School","لیسه درخانی","لیسه درخانی","Kart e Mamoreen","کارته مامورين","کارته مامورين"
"01","KABUL","کابل","کابل","0101","Nahia 03","ناحیه 03","ناحیه 03","0101045","Sang Kashan Mosque","مسجد سنگ کشان","مسجد سنگ کشان","Seelo Road","سرک سیلو","سرک سیلو"
"01","KABUL","کابل","کابل","0101","Nahia 03","ناحیه 03","ناحیه 03","0101046","Sufi Islam School","مکتب صوفی اسلام","مکتب صوفی اسلام","Estgah e Aakhir Puhantoon","ایستگاه آخر  پوهنتون","ایستگاه آخر  پوهنتون"
"01","KABUL","کابل","کابل","0101","Nahia 03","ناحیه 03","ناحیه 03","0101047","Mahmood Hotaki High School","لیسه محمود هوتکی","لیسه محمود هوتکی","Deh bori","ده بوری","ده بوری"
"01","KABUL","کابل","کابل","0101","Nahia 04","ناحیه 04","ناحیه 04","0101048","Ghazi Mohammad Ayub School no.1","مکتب نمبر ۱ غازی محمد ایوب","مکتب نمبر ۱ غازی محمد ایوب","Bagh e Bala","باغ بالا","باغ بالا"
"01","KABUL","کابل","کابل","0101","Nahia 04","ناحیه 04","ناحیه 04","0101049","Raabia High School","ليسه رابيا","ليسه رابيا","Kart e Parwan","کارته پروان","کارته پروان"
"01","KABUL","کابل","کابل","0101","Nahia 04","ناحیه 04","ناحیه 04","0101050","Haji Ghulam Dastagir Mosque","مسجد حاجي غلام دستگير","مسجد حاجي غلام دستگير","Shahr Aara","شهرارا","شهرارا"
"01","KABUL","کابل","کابل","0101","Nahia 04","ناحیه 04","ناحیه 04","0101051","Imam Reza e Ghareeb Mosque","مسجد امام رضاي غريب","مسجد امام رضاي غريب","Kolola Pushta","کلوله پشته","کلوله پشته"
"01","KABUL","کابل","کابل","0101","Nahia 04","ناحیه 04","ناحیه 04","0101052","Mohammad Alam Faizzad High School","لیسه محمد اعلم فیض زاد","لیسه محمد اعلم فیض زاد","Shahr Aara","شهر آرا","شهر آرا"
"01","KABUL","کابل","کابل","0101","Nahia 04","ناحیه 04","ناحیه 04","0101053","Jamhoriat High School","لیسه جمهویت","لیسه جمهویت","Salang Watt","سالنگ وات","سالنگ وات"
"01","KABUL","کابل","کابل","0101","Nahia 04","ناحیه 04","ناحیه 04","0101054","Malalai Girls High School","لیسه نسوان ملالی","لیسه نسوان ملالی","Char Rahi Sedarat (Sedarat Square)","چهاراهی صدارت","چهاراهی صدارت"
"01","KABUL","کابل","کابل","0101","Nahia 04","ناحیه 04","ناحیه 04","0101055","Khwaja Abdullah Ansari Mosque","مسجد خواجه عبدالله انصاري","مسجد خواجه عبدالله انصاري","Shahr e Naw Petrol pump","تانک تيل شهر نو","تانک تيل شهر نو"
"01","KABUL","کابل","کابل","0101","Nahia 04","ناحیه 04","ناحیه 04","0101056","Khwaja Ali Mowafaq Mosque","مسجد خواجه علي موفق","مسجد خواجه علي موفق","Shahr e Naw","شهر نو","شهر نو"
"01","KABUL","کابل","کابل","0101","Nahia 04","ناحیه 04","ناحیه 04","0101057","Haji Mohammad Dad Mosque","مسجد حاجي محمد داد","مسجد حاجي محمد داد","Taimani","تايمني","تايمني"
"01","KABUL","کابل","کابل","0101","Nahia 04","ناحیه 04","ناحیه 04","0101058","Naser Khesraw Balkhi Secondary School","مکتب متوسطه ناصر خسرو بلخي","مکتب متوسطه ناصر خسرو بلخي","Char Rahi Taimani","چهار راهي تايمني","چهار راهي تايمني"
"01","KABUL","کابل","کابل","0101","Nahia 04","ناحیه 04","ناحیه 04","0101059","Ismaelia Jamat Khana","جماعت خانه اسماعيليه","جماعت خانه اسماعيليه","Char Rahi Taimani","چهار راهي تايمني","چهار راهي تايمني"
"01","KABUL","کابل","کابل","0101","Nahia 04","ناحیه 04","ناحیه 04","0101060","Ustad Misbah High School","لیسه استاد مصباح","لیسه استاد مصباح","Sark e doum Taimani","سرک دوم تایمنی","سرک دوم تایمنی"
"01","KABUL","کابل","کابل","0101","Nahia 04","ناحیه 04","ناحیه 04","0101061","Malika Suraya Girls School","مکتب نسوان ملکه ثریا","مکتب نسوان ملکه ثریا","Puroujah Taimani","پروژه تايمني","پروژه تايمني"
"01","KABUL","کابل","کابل","0101","Nahia 04","ناحیه 04","ناحیه 04","0101062","Tajwar Sultana Girls School","ليسه نسوان تاجور سلطانه","ليسه نسوان تاجور سلطانه","Char Rahi Taimani","چهار راهي تايمني","چهار راهي تايمني"
"01","KABUL","کابل","کابل","0101","Nahia 04","ناحیه 04","ناحیه 04","0101063","Mohammad Sediq Farhang School","مکتب محمد صدیق  فرهنگ","مکتب محمد صدیق  فرهنگ","Shahrak Police","شهرک پوليس","شهرک پوليس"
"01","KABUL","کابل","کابل","0101","Nahia 04","ناحیه 04","ناحیه 04","0101064","Deh Keepak Girls School","لیسه نسوان ده کیپک","لیسه نسوان ده کیپک","Nawabad Dehkeepak","نو آباد ده کيپک","نو آباد ده کيپک"
"01","KABUL","کابل","کابل","0101","Nahia 05","ناحیه 05","ناحیه 05","0101065","Fazel Baig Secondary School","مکتب متوسطه فاضل بيک","مکتب متوسطه فاضل بيک","Aabrasani","آب رساني","آب رساني"
"01","KABUL","کابل","کابل","0101","Nahia 05","ناحیه 05","ناحیه 05","0101066","Shuhadai Fazel Baig Mosque","مسجد شهدای فاضل بیک","مسجد شهدای فاضل بیک","Fazel Baig","فاضل بیک","فاضل بیک"
"01","KABUL","کابل","کابل","0101","Nahia 05","ناحیه 05","ناحیه 05","0101067","Hazrat Usman Mosque","مسجد حضرت عثمان","مسجد حضرت عثمان","Fazel Baig village","قريه فاضل بيک","قريه فاضل بيک"
"01","KABUL","کابل","کابل","0101","Nahia 05","ناحیه 05","ناحیه 05","0101068","Itefaq Mosque","مسجد اتفاق","مسجد اتفاق","Qalla e Toofan","قلعه طوفان","قلعه طوفان"
"01","KABUL","کابل","کابل","0101","Nahia 05","ناحیه 05","ناحیه 05","0101069","Haji Yaqoub Jame Mosque","مسجد جامع حاجی یعقوب","مسجد جامع حاجی یعقوب","Niaz Baig village","قريه نياز بيک","قريه نياز بيک"
"01","KABUL","کابل","کابل","0101","Nahia 05","ناحیه 05","ناحیه 05","0101070","Naheed Shaheed High School","ليسه ناهيد شهيد","ليسه ناهيد شهيد","B Section- Khusahal Khan Mena","قسمت ب خوشحال مينه","قسمت ب خوشحال مينه"
"01","KABUL","کابل","کابل","0101","Nahia 05","ناحیه 05","ناحیه 05","0101071","Mohammad Ismael Hasanzai High School","لیسه محمد اسماعیل حسن زی","لیسه محمد اسماعیل حسن زی","B Section- Khusahal Khan Mena","قسمت ب خوشحال مینه","قسمت ب خوشحال مینه"
"01","KABUL","کابل","کابل","0101","Nahia 05","ناحیه 05","ناحیه 05","0101072","Mir Ghulam Mohammad Ghubar High School","لیسه میرغلام محمد غبار","لیسه میرغلام محمد غبار","Speen Kalai","سپين کلي","سپين کلي"
"01","KABUL","کابل","کابل","0101","Nahia 05","ناحیه 05","ناحیه 05","0101073","Mohammadi Darulhefaz Mosque","مسجد محمدي دارالحفاظ","مسجد محمدي دارالحفاظ","B Section- Khusahal Khan Mena","قسمت ب خوشحال مينه","قسمت ب خوشحال مينه"
"01","KABUL","کابل","کابل","0101","Nahia 05","ناحیه 05","ناحیه 05","0101074","Wardaki ha Mosque","مسجد وردکيها","مسجد وردکيها","Sarai Herati ha","سراي هراتي ها","سراي هراتي ها"
"01","KABUL","کابل","کابل","0101","Nahia 05","ناحیه 05","ناحیه 05","0101075","Imam Hussain Mosque","مسجد امام حسین","مسجد امام حسین","Dewan Begi","ديوان بيگي","ديوان بيگي"
"01","KABUL","کابل","کابل","0101","Nahia 05","ناحیه 05","ناحیه 05","0101076","Speen Kalai Girls High School","لیسه نسوان سپین کلی","لیسه نسوان سپین کلی","Section A - Khushal Khan Mena","قسمت الف خوشحال مينه","قسمت الف خوشحال مينه"
"01","KABUL","کابل","کابل","0101","Nahia 05","ناحیه 05","ناحیه 05","0101077","Hazrat Shamsul Mashaikh High School","لیسه حضرت شمس المشایخ","لیسه حضرت شمس المشایخ","Section A - Khushal Khan Mena","قسمت الف خوشحال مينه","قسمت الف خوشحال مينه"
"01","KABUL","کابل","کابل","0101","Nahia 05","ناحیه 05","ناحیه 05","0101078","Prof. Rasoul Amin High School","لیسه پروفیسور رسول امین","لیسه پروفیسور رسول امین","B Section- Khusahal Khan Mena","قسمت ب خوشحال مينه","قسمت ب خوشحال مينه"
"01","KABUL","کابل","کابل","0101","Nahia 05","ناحیه 05","ناحیه 05","0101079","Polytechnic Mosque","مسجد پولي تخنيک","مسجد پولي تخنيک","Polytechnic","پولي تخنيک","پولي تخنيک"
"01","KABUL","کابل","کابل","0101","Nahia 05","ناحیه 05","ناحیه 05","0101080","Jaghori ha Mosque","مسجد جاغوري ها","مسجد جاغوري ها","Afshar Seelo","افشار سیلو","افشار سیلو"
"01","KABUL","کابل","کابل","0101","Nahia 05","ناحیه 05","ناحیه 05","0101081","Sahib Zaman Mosque","مسجد صاحب زمان","مسجد صاحب زمان","Afshar Seelo","افشار سیلو","افشار سیلو"
"01","KABUL","کابل","کابل","0101","Nahia 05","ناحیه 05","ناحیه 05","0101082","Abu Zar Ghafari High School","ليسه ابوذر غفاري","ليسه ابوذر غفاري","Char Rahi Qambar","چهار راهي قمبر","چهار راهي قمبر"
"01","KABUL","کابل","کابل","0101","Nahia 05","ناحیه 05","ناحیه 05","0101083","Ayub Saber Mosque","مسجد ايوب صابر","مسجد ايوب صابر","Nawabad Qargha","نو آباد قرغه","نو آباد قرغه"
"01","KABUL","کابل","کابل","0101","Nahia 05","ناحیه 05","ناحیه 05","0101084","Deh e Araban School","مکتب ده عربان","مکتب ده عربان","Qargha","قرغه","قرغه"
"01","KABUL","کابل","کابل","0101","Nahia 05","ناحیه 05","ناحیه 05","0101085","Shah e Awlya Mosque","مسجد شاه اوليا","مسجد شاه اوليا","Qargha","قرغه","قرغه"
