"pc","list_position","x"
"0105444 - Tarakhil Girls High School - 105444",16,"#pc > option:nth-child(16)"
"0106445 - Kochi Secondary School - 106445",1,"#pc > option:nth-child(1)"
"0106446 - Shahrak Ulghoi Mosque - 106446",2,"#pc > option:nth-child(2)"
"0106447 - Danishmand High School - 106447",3,"#pc > option:nth-child(3)"
"0106448 - Mohammad Hassan Khan High School - 106448",4,"#pc > option:nth-child(4)"
"0106449 - Qalla e Murad Baig High School - 106449",5,"#pc > option:nth-child(5)"
"0106450 - Haji Paik Primary School - 106450",6,"#pc > option:nth-child(6)"
"0106451 - Boya Zar High School - 106451",7,"#pc > option:nth-child(7)"
"0106452 - Behzadi Clinic - 106452",8,"#pc > option:nth-child(8)"
"0106453 - Shakardarah High School - 106453",9,"#pc > option:nth-child(9)"
"0106454 - Darah e Shakardarah High School - 106454",10,"#pc > option:nth-child(10)"
"0106455 - Ghaza High School - 106455",11,"#pc > option:nth-child(11)"
"0106456 - Bala Karez Secondary School - 106456",12,"#pc > option:nth-child(12)"
"0106457 - Wazeer Gul Shaheed Secondary School - 106457",13,"#pc > option:nth-child(13)"
"0106458 - Hazrat Usman High School - 106458",14,"#pc > option:nth-child(14)"
"0107460 - Qeshlaq Secondary School - 107460",1,"#pc > option:nth-child(1)"
"0107461 - Abas Quli Mosque - 107461",2,"#pc > option:nth-child(2)"
"0107462 - Sang e Naweshta Mosque - 107462",3,"#pc > option:nth-child(3)"
"0107463 - Qalla E Janan Girls Secondary School - 107463",4,"#pc > option:nth-child(4)"
"0107464 - Rahmat Abad Secondary School - 107464",5,"#pc > option:nth-child(5)"
"0107465 - Mosahi Ulya High School - 107465",6,"#pc > option:nth-child(6)"
"0107466 - Miakhil Clinic - 107466",7,"#pc > option:nth-child(7)"
"0108468 - Mir Bacha Kot School - 108468",1,"#pc > option:nth-child(1)"
"0108469 - Mir Bacha Khan High School No. 2 - 108469",2,"#pc > option:nth-child(2)"
"0108470 - Mareki Jame Mosque - 108470",3,"#pc > option:nth-child(3)"
"0108471 - Hawashinasi (Meteorology) - 108471",4,"#pc > option:nth-child(4)"
"0108472 - Qalam Chaq Primary School - 108472",5,"#pc > option:nth-child(5)"
"0108473 - Mashwanni School - 108473",6,"#pc > option:nth-child(6)"
"0108474 - Baba Qashqar Mosque - 108474",7,"#pc > option:nth-child(7)"
"0108475 - Shiekhan Secondary School - 108475",8,"#pc > option:nth-child(8)"
"0108476 - Dako Secondary School - 108476",9,"#pc > option:nth-child(9)"
"0108477 - Mir Hamidullah School - 108477",10,"#pc > option:nth-child(10)"
"0108478 - Pul e Sofyan School - 108478",11,"#pc > option:nth-child(11)"
"0108479 - Aabchakan Secondary School - 108479",12,"#pc > option:nth-child(12)"
"0109480 - Ghazgai Primary School - 109480",1,"#pc > option:nth-child(1)"
"0109481 - Chakari Boys High School - 109481",2,"#pc > option:nth-child(2)"
"0109482 - Bar Malang Jame Mosque - 109482",3,"#pc > option:nth-child(3)"
"0109483 - Wali Khan Secondary School - 109483",4,"#pc > option:nth-child(4)"
"0109484 - Khord Kabul Jame Mosque - 109484",5,"#pc > option:nth-child(5)"
"0109485 - Mullah Omer Primary School - 109485",6,"#pc > option:nth-child(6)"
"0109486 - Chinar Primary School - 109486",7,"#pc > option:nth-child(7)"
"0110487 - Zamah Secondary School - 110487",1,"#pc > option:nth-child(1)"
"0110488 - Aqa Sarai School - 110488",2,"#pc > option:nth-child(2)"
"0110489 - Moqawomat Secondary School - 110489",3,"#pc > option:nth-child(3)"
"0110490 - Amir Habibullah Shaheed High School - 110490",4,"#pc > option:nth-child(4)"
"0110491 - Sewad Hayati School - 110491",5,"#pc > option:nth-child(5)"
"0110492 - Qechi High School - 110492",6,"#pc > option:nth-child(6)"
"0110493 - Karendah High School - 110493",7,"#pc > option:nth-child(7)"
"0110494 - Mashwanni Secondary School - 110494",8,"#pc > option:nth-child(8)"
"0110560 - لیسه میر درویش کوهدامنی - 110560",9,"#pc > option:nth-child(9)"
"0111495 - Dasht e Guldarah High School - 111495",1,"#pc > option:nth-child(1)"
"0111496 - Qul Afghan Primary School - 111496",2,"#pc > option:nth-child(2)"
"0111497 - Payam E Azadi High School - 111497",3,"#pc > option:nth-child(3)"
"0111498 - Deh e Araban School - 111498",4,"#pc > option:nth-child(4)"
"0111499 - Gedrah Mosque - 111499",5,"#pc > option:nth-child(5)"
"0111500 - Khurasan School - 111500",6,"#pc > option:nth-child(6)"
"0112501 - Qalla e Moqarab Mosque - 112501",1,"#pc > option:nth-child(1)"
"0112502 - Hasan Khil Mosque - 112502",2,"#pc > option:nth-child(2)"
"0112503 - Zargaran Mosque - 112503",3,"#pc > option:nth-child(3)"
"0112504 - Farzah Boys High School - 112504",4,"#pc > option:nth-child(4)"
"0112505 - Qalla e Mir Afghan School - 112505",5,"#pc > option:nth-child(5)"
"0112506 - Qalla e Chinar Mosque - 112506",6,"#pc > option:nth-child(6)"
"0112507 - Jame Mosque - 112507",7,"#pc > option:nth-child(7)"
"0112508 - Sar Khan Khil Mosque - 112508",8,"#pc > option:nth-child(8)"
"0113509 - Khwaja Hasan Primary School - 113509",1,"#pc > option:nth-child(1)"
"0113510 - Shaheed Ahmad Shah Masoud High School - 113510",2,"#pc > option:nth-child(2)"
"0113511 - Noor Alam Mosque - 113511",3,"#pc > option:nth-child(3)"
"0113512 - Mawlawi Mohammad Yaqoub Shah High School - 113512",4,"#pc > option:nth-child(4)"
"0113513 - Istalif High School - 113513",5,"#pc > option:nth-child(5)"
"0113514 - Badal Shah Khil High School - 113514",6,"#pc > option:nth-child(6)"
"0114515 - Qarabagh Teacher Training Center - 114515",1,"#pc > option:nth-child(1)"
"0114516 - Abdul Wakeel Shaheed High School - 114516",2,"#pc > option:nth-child(2)"
"0114517 - Qalla e Haji Secondary School - 114517",3,"#pc > option:nth-child(3)"
"0114518 - Sabz Sang High School - 114518",4,"#pc > option:nth-child(4)"
"0114519 - Bagh e Aareq Secondary School - 114519",5,"#pc > option:nth-child(5)"
"0114520 - Daudazai High School - 114520",6,"#pc > option:nth-child(6)"
"0114521 - Langar Jame Mosque - 114521",7,"#pc > option:nth-child(7)"
"0114522 - Alsaghan High School - 114522",8,"#pc > option:nth-child(8)"
"0114523 - Chawnni Jame Mosque - 114523",9,"#pc > option:nth-child(9)"
"0114524 - Bagh Alam High School - 114524",10,"#pc > option:nth-child(10)"
"0114525 - Jarchi Secondary School - 114525",11,"#pc > option:nth-child(11)"
"0114526 - Mir Alam Khan High School - 114526",12,"#pc > option:nth-child(12)"
"0114527 - Kariz Mir Jame Mosque - 114527",13,"#pc > option:nth-child(13)"
"0114528 - Abdul Rahman Baba Secondary School - 114528",14,"#pc > option:nth-child(14)"
"0114529 - Aka Khil Secondary School - 114529",15,"#pc > option:nth-child(15)"
"0114530 - Langar secondary School - 114530",16,"#pc > option:nth-child(16)"
"0114531 - Isterghech High School - 114531",17,"#pc > option:nth-child(17)"
"0115532 - Surobi clinic - 115532",1,"#pc > option:nth-child(1)"
"0115533 - Shahrak Primary School - 115533",2,"#pc > option:nth-child(2)"
"0115534 - Hotk Khil Bala High School - 115534",3,"#pc > option:nth-child(3)"
"0115535 - Hotk Khil Girls Secondary School - 115535",4,"#pc > option:nth-child(4)"
"0115536 - Darah e Hesar Jame Mosque - 115536",5,"#pc > option:nth-child(5)"
"0115537 - Sarchashma Girls Secondary School - 115537",6,"#pc > option:nth-child(6)"
"0115538 - Sher Khan Kas Mosque - 115538",7,"#pc > option:nth-child(7)"
"0115539 - Goga Monda School - 115539",8,"#pc > option:nth-child(8)"
"0115540 - Toorkanai School - 115540",9,"#pc > option:nth-child(9)"
"0115543 - Jigdalak School - 115543",10,"#pc > option:nth-child(10)"
"0115544 - Mia Rasoul Baba Mosque - 115544",11,"#pc > option:nth-child(11)"
"0115545 - Sperkundai School - 115545",12,"#pc > option:nth-child(12)"
"0115546 - Rodbar School - 115546",13,"#pc > option:nth-child(13)"
"0115547 - Qalla e Kalan School - 115547",14,"#pc > option:nth-child(14)"
"0115548 - Baam Darrai Mosque - 115548",15,"#pc > option:nth-child(15)"
"0115549 - Gaz Ulya School - 115549",16,"#pc > option:nth-child(16)"
"0115551 - Husain Khil High School - 115551",17,"#pc > option:nth-child(17)"
"0115552 - Waka Khas School - 115552",18,"#pc > option:nth-child(18)"
"0115553 - Naghloo Secondary School - 115553",19,"#pc > option:nth-child(19)"
"0101001 - Sar e Gardana Mosque - 101001",1,"#pc > option:nth-child(1)"
"0101002 - Derakht e Shing Mosque - 101002",2,"#pc > option:nth-child(2)"
"0101003 - Mullah Mahmood Mosque - 101003",3,"#pc > option:nth-child(3)"
"0101004 - Daqiqi Balkhi Secondary School - 101004",4,"#pc > option:nth-child(4)"
"0101005 - Aakhir e Jada Mosque - 101005",5,"#pc > option:nth-child(5)"
"0101006 - Eidgah Mosque - 101006",6,"#pc > option:nth-child(6)"
"0101007 - Ansuri Balkhi School - 101007",7,"#pc > option:nth-child(7)"
"0101008 - Aayesha Durani High School - 101008",8,"#pc > option:nth-child(8)"
"0101009 - Mastoori Ghoori Secondary School - 101009",9,"#pc > option:nth-child(9)"
"0101010 - Aasheqan wa Arefan High School - 101010",10,"#pc > option:nth-child(10)"
"0101011 - Aasheqan wa Arefan Secondary School - 101011",11,"#pc > option:nth-child(11)"
"0101012 - Sar e Karez Mosque - 101012",12,"#pc > option:nth-child(12)"
"0101013 - Bala Qilla Mosque - 101013",13,"#pc > option:nth-child(13)"
"0101014 - Mahjooba High School - 101014",14,"#pc > option:nth-child(14)"
"0101015 - Takya Khanahh Jafarya - 101015",15,"#pc > option:nth-child(15)"
"0101016 - Imam Baqer Mosque - 101016",16,"#pc > option:nth-child(16)"
"0101017 - Qari Abdullah School - 101017",1,"#pc > option:nth-child(1)"
"0101018 - Hazrat Nabawi Jame Mosque - 101018",2,"#pc > option:nth-child(2)"
"0101019 - Ansari High School - 101019",3,"#pc > option:nth-child(3)"
"0101020 - Ranga Mosque - 101020",4,"#pc > option:nth-child(4)"
"0101021 - Trade technical Institute (Institute Maslaki Teja) - 101021",5,"#pc > option:nth-child(5)"
"0101022 - Zyarat Abul Fazal - 101022",6,"#pc > option:nth-child(6)"
"0101023 - Isteqlal High School - 101023",7,"#pc > option:nth-child(7)"
"0101024 - Nayeb Salar Mosque - 101024",8,"#pc > option:nth-child(8)"
"0101025 - Imam Azam Mosque - 101025",9,"#pc > option:nth-child(9)"
"0101026 - Zabihullah Shaheed High School - 101026",10,"#pc > option:nth-child(10)"
"0101027 - Saad bin Abi Waqas Mosque - 101027",11,"#pc > option:nth-child(11)"
"0101028 - Wazeer Mohammad Akbar Khan Secondary School - 101028",12,"#pc > option:nth-child(12)"
"0101029 - Naderia High School - 101029",13,"#pc > option:nth-child(13)"
"0101030 - Omer Farooq Mosque - 101030",14,"#pc > option:nth-child(14)"
"0101031 - Maaz ibne Jabal Mosque - 101031",15,"#pc > option:nth-child(15)"
"0101032 - Abdullah bin Masoud Mosque - 101032",16,"#pc > option:nth-child(16)"
"0101033 - Sayed Jamaluddin Experimental Secondary School - 101033",1,"#pc > option:nth-child(1)"
"0101034 - Afghan Technology Institute - 101034",2,"#pc > option:nth-child(2)"
"0101035 - Sayed Jamaluddin Secondary School - 101035",3,"#pc > option:nth-child(3)"
"0101036 - Raabia Balkhi High School - 101036",4,"#pc > option:nth-child(4)"
"0101037 - Amir Dost Mohammad Khan School - 101037",5,"#pc > option:nth-child(5)"
"0101038 - Hanzalla Mosque - 101038",6,"#pc > option:nth-child(6)"
"0101039 - Amir Hamza Secondary School - 101039",7,"#pc > option:nth-child(7)"
"0101040 - Mohammadia Mosque - 101040",8,"#pc > option:nth-child(8)"
"0101041 - Jamal Mena, no. 13 Secondary School - 101041",9,"#pc > option:nth-child(9)"
"0101042 - Jamal Mena, no. 12 Preliminary School - 101042",10,"#pc > option:nth-child(10)"
"0101043 - Legal Faculty (Pohanzai Huqooq) - 101043",11,"#pc > option:nth-child(11)"
"0101044 - Durkhanai High School - 101044",12,"#pc > option:nth-child(12)"
"0101045 - Sang Kashan Mosque - 101045",13,"#pc > option:nth-child(13)"
"0101046 - Sufi Islam School - 101046",14,"#pc > option:nth-child(14)"
"0101047 - Mahmood Hotaki High School - 101047",15,"#pc > option:nth-child(15)"
"0101048 - Ghazi Mohammad Ayub School no.1 - 101048",1,"#pc > option:nth-child(1)"
"0101049 - Raabia High School - 101049",2,"#pc > option:nth-child(2)"
"0101050 - Haji Ghulam Dastagir Mosque - 101050",3,"#pc > option:nth-child(3)"
"0101051 - Imam Reza e Ghareeb Mosque - 101051",4,"#pc > option:nth-child(4)"
"0101052 - Mohammad Alam Faizzad High School - 101052",5,"#pc > option:nth-child(5)"
"0101053 - Jamhoriat High School - 101053",6,"#pc > option:nth-child(6)"
"0101054 - Malalai Girls High School - 101054",7,"#pc > option:nth-child(7)"
"0101055 - Khwaja Abdullah Ansari Mosque - 101055",8,"#pc > option:nth-child(8)"
"0101056 - Khwaja Ali Mowafaq Mosque - 101056",9,"#pc > option:nth-child(9)"
"0101057 - Haji Mohammad Dad Mosque - 101057",10,"#pc > option:nth-child(10)"
"0101058 - Naser Khesraw Balkhi Secondary School - 101058",11,"#pc > option:nth-child(11)"
"0101059 - Ismaelia Jamat Khana - 101059",12,"#pc > option:nth-child(12)"
"0101060 - Ustad Misbah High School - 101060",13,"#pc > option:nth-child(13)"
"0101061 - Malika Suraya Girls School - 101061",14,"#pc > option:nth-child(14)"
"0101062 - Tajwar Sultana Girls School - 101062",15,"#pc > option:nth-child(15)"
"0101063 - Mohammad Sediq Farhang School - 101063",16,"#pc > option:nth-child(16)"
"0101064 - Deh Keepak Girls School - 101064",17,"#pc > option:nth-child(17)"
"0101065 - Fazel Baig Secondary School - 101065",1,"#pc > option:nth-child(1)"
"0101066 - Shuhadai Fazel Baig Mosque - 101066",2,"#pc > option:nth-child(2)"
"0101067 - Hazrat Usman Mosque - 101067",3,"#pc > option:nth-child(3)"
"0101068 - Itefaq Mosque - 101068",4,"#pc > option:nth-child(4)"
"0101069 - Haji Yaqoub Jame Mosque - 101069",5,"#pc > option:nth-child(5)"
"0101070 - Naheed Shaheed High School - 101070",6,"#pc > option:nth-child(6)"
"0101071 - Mohammad Ismael Hasanzai High School - 101071",7,"#pc > option:nth-child(7)"
"0101072 - Mir Ghulam Mohammad Ghubar High School - 101072",8,"#pc > option:nth-child(8)"
"0101073 - Mohammadi Darulhefaz Mosque - 101073",9,"#pc > option:nth-child(9)"
"0101074 - Wardaki ha Mosque - 101074",10,"#pc > option:nth-child(10)"
"0101075 - Imam Hussain Mosque - 101075",11,"#pc > option:nth-child(11)"
"0101076 - Speen Kalai Girls High School - 101076",12,"#pc > option:nth-child(12)"
"0101077 - Hazrat Shamsul Mashaikh High School - 101077",13,"#pc > option:nth-child(13)"
"0101078 - Prof. Rasoul Amin High School - 101078",14,"#pc > option:nth-child(14)"
"0101079 - Polytechnic Mosque - 101079",15,"#pc > option:nth-child(15)"
"0101080 - Jaghori ha Mosque - 101080",16,"#pc > option:nth-child(16)"
"0101081 - Sahib Zaman Mosque - 101081",17,"#pc > option:nth-child(17)"
"0101082 - Abu Zar Ghafari High School - 101082",18,"#pc > option:nth-child(18)"
"0101083 - Ayub Saber Mosque - 101083",19,"#pc > option:nth-child(19)"
"0101084 - Deh e Araban School - 101084",20,"#pc > option:nth-child(20)"
"0101085 - Shah e Awlya Mosque - 101085",21,"#pc > option:nth-child(21)"
"0101086 - Hazrat Bilal Mosque - 101086",22,"#pc > option:nth-child(22)"
"0101087 - Hazrat Mohammad (pbuh) Mosque - 101087",23,"#pc > option:nth-child(23)"
"0101088 - Qalla e Kashif High School - 101088",24,"#pc > option:nth-child(24)"
"0101089 - Shaheed Mosque - 101089",25,"#pc > option:nth-child(25)"
"0101090 - Sar Aasyab Girls High School - 101090",1,"#pc > option:nth-child(1)"
"0101091 - Shah E Welayat Maab Mosque - 101091",2,"#pc > option:nth-child(2)"
"0101092 - Qalla e Bakhtyar High School - 101092",3,"#pc > option:nth-child(3)"
"0101093 - Tuberculosis Institute - 101093",4,"#pc > option:nth-child(4)"
"0101094 - Finance and Accounting Institute (Mali wa Hesabi * - 101094",5,"#pc > option:nth-child(5)"
"0101095 - Jafaria Mosque - 101095",6,"#pc > option:nth-child(6)"
"0101096 - Mohammadia Mosque - 101096",7,"#pc > option:nth-child(7)"
"0101097 - Abdul Ghani Mostaghni High School - 101097",8,"#pc > option:nth-child(8)"
"0101098 - Markaz Nahia e Shashum (Nahia 6 Center) - 101098",9,"#pc > option:nth-child(9)"
"0101099 - Resalat Madrassah - 101099",10,"#pc > option:nth-child(10)"
"0101100 - Safed Mosque (White Mosque) - 101100",11,"#pc > option:nth-child(11)"
"0101101 - Ahmadi Mosque - 101101",12,"#pc > option:nth-child(12)"
"0101102 - Wahdat Takya Khanahh - 101102",13,"#pc > option:nth-child(13)"
"0101103 - Ummul Baneen High School - 101103",14,"#pc > option:nth-child(14)"
"0101104 - Jamia Al Islam Madrassah - 101104",15,"#pc > option:nth-child(15)"
"0101105 - Wali Aser Jame Mosque - 101105",16,"#pc > option:nth-child(16)"
"0101106 - Mohammad Asef Mael High School - 101106",17,"#pc > option:nth-child(17)"
"0101107 - Khatemul Anbya Madrassah - 101107",18,"#pc > option:nth-child(18)"
"0101108 - Gul Khana Secondary School - 101108",19,"#pc > option:nth-child(19)"
"0101109 - Hazrat e Rasoul Mosque - 101109",20,"#pc > option:nth-child(20)"
"0101110 - Nabi Akram Mosque - 101110",21,"#pc > option:nth-child(21)"
"0101111 - Qayem Aale Mohammad Mosque - 101111",22,"#pc > option:nth-child(22)"
"0101112 - Sarwar e Kainat Mosque - 101112",23,"#pc > option:nth-child(23)"
"0101113 - Chahar Qalla High School - 101113",24,"#pc > option:nth-child(24)"
"0101114 - Baqer ul Uloom Madrassah - 101114",25,"#pc > option:nth-child(25)"
"0101115 - Salman e Farsi Mosque - 101115",26,"#pc > option:nth-child(26)"
"0101116 - Safiullah Afzali High School - 101116",27,"#pc > option:nth-child(27)"
"0101117 - Lais Bin e Qais Mosque - 101117",1,"#pc > option:nth-child(1)"
"0101118 - Family Haee Reeshkhor High School - 101118",2,"#pc > option:nth-child(2)"
"0101119 - Qalla e Fatoh Ahmadia Mosque - 101119",3,"#pc > option:nth-child(3)"
"0101120 - Ghazi Abdullah High School - 101120",4,"#pc > option:nth-child(4)"
"0101121 - Ibrahim Khalil Jame Mosque - 101121",5,"#pc > option:nth-child(5)"
"0101122 - Chehlsutoon Girls High School - 101122",6,"#pc > option:nth-child(6)"
"0101123 - Eidgah Mosque - 101123",7,"#pc > option:nth-child(7)"
"0101124 - Ghazi Ade Girls High School - 101124",8,"#pc > option:nth-child(8)"
"0101125 - Technical Institute - 101125",9,"#pc > option:nth-child(9)"
"0101126 - Omara Khan High School - 101126",10,"#pc > option:nth-child(10)"
"0101127 - Hazarat E Nabawi Mosque - 101127",11,"#pc > option:nth-child(11)"
"0101128 - Aaqa Ali Shams High Shool - 101128",12,"#pc > option:nth-child(12)"
"0101129 - Sultan Razia Girls High School - 101129",13,"#pc > option:nth-child(13)"
"0101130 - Aemeni Girls High School - 101130",14,"#pc > option:nth-child(14)"
"0101131 - Khushal Khan High School - 101131",15,"#pc > option:nth-child(15)"
"0101132 - Guzargah Girls Secondary School - 101132",16,"#pc > option:nth-child(16)"
"0101133 - Guzargah Girls High School - 101133",17,"#pc > option:nth-child(17)"
"0101134 - Habibia Girls High School - 101134",18,"#pc > option:nth-child(18)"
"0101135 - Ayub Khan Mosque - 101135",19,"#pc > option:nth-child(19)"
"0101136 - Sardar e Kabuli Girls High School - 101136",20,"#pc > option:nth-child(20)"
"0101137 - Mohammadia Mosque - 101137",21,"#pc > option:nth-child(21)"
"0101138 - Ataullah Faizani Secondary School - 101138",22,"#pc > option:nth-child(22)"
"0101139 - Deh Dana Girls High School - 101139",23,"#pc > option:nth-child(23)"
"0101140 - Mehrabuddin High School - 101140",24,"#pc > option:nth-child(24)"
"0101141 - Abdul Rahman e Pazhwak High School - 101141",1,"#pc > option:nth-child(1)"
"0101142 - Zabihullah Esmati High School - 101142",2,"#pc > option:nth-child(2)"
"0101143 - Hazrat Bilal Mosque - 101143",3,"#pc > option:nth-child(3)"
"0101144 - Zakhil wa Mohmand Mosque - 101144",4,"#pc > option:nth-child(4)"
"0101145 - Huzoor Hazrat Nabi Mosque - 101145",5,"#pc > option:nth-child(5)"
"0101146 - Hazarat Bilal Mosque - 101146",6,"#pc > option:nth-child(6)"
"0101147 - Omer Farooq Mosque - 101147",7,"#pc > option:nth-child(7)"
"0101148 - Ahmadi Mosque - 101148",8,"#pc > option:nth-child(8)"
"0101149 - Ghaws Azam Dastagir Mosque - 101149",9,"#pc > option:nth-child(9)"
"0101150 - Abdul Qader Jailani Mosque - 101150",10,"#pc > option:nth-child(10)"
"0101151 - Sayed Noor Mohammad Shah Mohamadia Mosque - 101151",11,"#pc > option:nth-child(11)"
"0101152 - Totya High School - 101152",12,"#pc > option:nth-child(12)"
"0101153 - Sayed Noor Mohammad Shah Mena Girls High School - 101153",13,"#pc > option:nth-child(13)"
"0101154 - Rahman Mena Girls High School - 101154",14,"#pc > option:nth-child(14)"
"0101155 - Sayed Noor Mohammad Shah Mena Boys High School - 101155",15,"#pc > option:nth-child(15)"
"0101156 - Ranga Mosque - 101156",16,"#pc > option:nth-child(16)"
"0101157 - Abdul Hai Habibi High School  - 101157",17,"#pc > option:nth-child(17)"
"0101158 - Abubakar Sedique Mosque - 101158",18,"#pc > option:nth-child(18)"
"0101159 - Usman Ghani Mosque - 101159",19,"#pc > option:nth-child(19)"
"0101160 - Shah Pacha Mosque - 101160",20,"#pc > option:nth-child(20)"
