"election_type","election_date","results_status","results_date","province_code","province_name_eng","province_name_dari","ballot_position","candidate_code","candidate_name_eng","candidate_name_dari","party_name_dari","candidate_gender","first_round_winner","run_off_winner","past_winners","male_ps_votes","fem_ps_votes","votes"
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","03","PARWAN","پروان",7,"100_1_24","Zalmai Rasul","زلمی رسول","خپلواک/مستقل","M","NO","NO","NO",9869,5750,15815
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","03","PARWAN","پروان",8,"100_1_7","Eng. Qutbudin Hilal","انجنیر قطب الدین هلل","خپلواک/مستقل","M","NO","NO","NO",5687,1540,7268
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","03","PARWAN","پروان",9,"100_1_28","Mohammad Sahfiq Gul Agha Sherzai","محمد شفیق گل آغا شیرزی","خپلواک/مستقل","M","NO","NO","NO",235,152,388
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","03","PARWAN","پروان",10,"100_1_4","Abdul Rab Rasul Sayaf","پروفیسور عبدرب الرسول سیاف","خپلواک/مستقل","M","NO","NO","NO",6448,2677,9191
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","03","PARWAN","پروان",11,"100_1_37","Hedayat Amin Arsala","هدایت امین ارسل","خپلواک/مستقل","M","NO","NO","NO",115,49,165
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","04","WARDAK","وردک",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",20901,14581,36253
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","04","WARDAK","وردک",2,"101_1_19","Mohammad Daoud Sultanzoy","محمد داود سلطان زوی","خپلواک/مستقل","M","NO","NO","NO",253,334,592
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","04","WARDAK","وردک",3,"100_1_10","Abdul Rahim Wardak","عبدالرحیم وردک","خپلواک/مستقل","M","NO","NO","NO",287,266,553
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","04","WARDAK","وردک",4,"100_1_25","Abdul Qayum Karzai","عبدالقیوم کرزی","خپلواک/مستقل","M","NO","NO","NO",43,241,285
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","04","WARDAK","وردک",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",9362,4955,15064
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","04","WARDAK","وردک",6,"101_1_16","Mohammad Nader Naeem","محمد نادر نعیم","خپلواک/مستقل","M","NO","NO","NO",58,66,126
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","04","WARDAK","وردک",7,"100_1_24","Zalmai Rasul","زلمی رسول","خپلواک/مستقل","M","NO","NO","NO",9381,7189,16692
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","04","WARDAK","وردک",8,"100_1_7","Eng. Qutbudin Hilal","انجنیر قطب الدین هلل","خپلواک/مستقل","M","NO","NO","NO",3106,1800,5010
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","04","WARDAK","وردک",9,"100_1_28","Mohammad Sahfiq Gul Agha Sherzai","محمد شفیق گل آغا شیرزی","خپلواک/مستقل","M","NO","NO","NO",593,543,1147
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","04","WARDAK","وردک",10,"100_1_4","Abdul Rab Rasul Sayaf","پروفیسور عبدرب الرسول سیاف","خپلواک/مستقل","M","NO","NO","NO",15097,9320,24559
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","04","WARDAK","وردک",11,"100_1_37","Hedayat Amin Arsala","هدایت امین ارسل","خپلواک/مستقل","M","NO","NO","NO",220,148,369
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","05","LOGAR","لوگر",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",3945,2203,6169
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","05","LOGAR","لوگر",2,"101_1_19","Mohammad Daoud Sultanzoy","محمد داود سلطان زوی","خپلواک/مستقل","M","NO","NO","NO",188,109,297
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","05","LOGAR","لوگر",3,"100_1_10","Abdul Rahim Wardak","عبدالرحیم وردک","خپلواک/مستقل","M","NO","NO","NO",25,4,29
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","05","LOGAR","لوگر",4,"100_1_25","Abdul Qayum Karzai","عبدالقیوم کرزی","خپلواک/مستقل","M","NO","NO","NO",25,12,37
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","05","LOGAR","لوگر",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",15565,5330,20953
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","05","LOGAR","لوگر",6,"101_1_16","Mohammad Nader Naeem","محمد نادر نعیم","خپلواک/مستقل","M","NO","NO","NO",119,4,123
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","05","LOGAR","لوگر",7,"100_1_24","Zalmai Rasul","زلمی رسول","خپلواک/مستقل","M","NO","NO","NO",445,352,798
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","05","LOGAR","لوگر",8,"100_1_7","Eng. Qutbudin Hilal","انجنیر قطب الدین هلل","خپلواک/مستقل","M","NO","NO","NO",689,186,876
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","05","LOGAR","لوگر",9,"100_1_28","Mohammad Sahfiq Gul Agha Sherzai","محمد شفیق گل آغا شیرزی","خپلواک/مستقل","M","NO","NO","NO",157,26,183
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","05","LOGAR","لوگر",10,"100_1_4","Abdul Rab Rasul Sayaf","پروفیسور عبدرب الرسول سیاف","خپلواک/مستقل","M","NO","NO","NO",2168,1549,3721
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","05","LOGAR","لوگر",11,"100_1_37","Hedayat Amin Arsala","هدایت امین ارسل","خپلواک/مستقل","M","NO","NO","NO",71,5,76
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","06","NANGARHAR","ننگرهار",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",37303,25724,63689
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","06","NANGARHAR","ننگرهار",2,"101_1_19","Mohammad Daoud Sultanzoy","محمد داود سلطان زوی","خپلواک/مستقل","M","NO","NO","NO",430,574,1032
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","06","NANGARHAR","ننگرهار",3,"100_1_10","Abdul Rahim Wardak","عبدالرحیم وردک","خپلواک/مستقل","M","NO","NO","NO",118,67,187
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","06","NANGARHAR","ننگرهار",4,"100_1_25","Abdul Qayum Karzai","عبدالقیوم کرزی","خپلواک/مستقل","M","NO","NO","NO",315,348,670
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","06","NANGARHAR","ننگرهار",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",129206,69729,200409
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","06","NANGARHAR","ننگرهار",6,"101_1_16","Mohammad Nader Naeem","محمد نادر نعیم","خپلواک/مستقل","M","NO","NO","NO",259,274,536
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","06","NANGARHAR","ننگرهار",7,"100_1_24","Zalmai Rasul","زلمی رسول","خپلواک/مستقل","M","NO","NO","NO",16081,9028,25247
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","06","NANGARHAR","ننگرهار",8,"100_1_7","Eng. Qutbudin Hilal","انجنیر قطب الدین هلل","خپلواک/مستقل","M","NO","NO","NO",11360,4961,16408
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","06","NANGARHAR","ننگرهار",9,"100_1_28","Mohammad Sahfiq Gul Agha Sherzai","محمد شفیق گل آغا شیرزی","خپلواک/مستقل","M","NO","NO","NO",2080,1328,3433
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","06","NANGARHAR","ننگرهار",10,"100_1_4","Abdul Rab Rasul Sayaf","پروفیسور عبدرب الرسول سیاف","خپلواک/مستقل","M","NO","NO","NO",13840,10159,24041
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","06","NANGARHAR","ننگرهار",11,"100_1_37","Hedayat Amin Arsala","هدایت امین ارسل","خپلواک/مستقل","M","NO","NO","NO",588,287,876
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","07","LAGHMAN","لغمان",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",4976,3216,8495
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","07","LAGHMAN","لغمان",2,"101_1_19","Mohammad Daoud Sultanzoy","محمد داود سلطان زوی","خپلواک/مستقل","M","NO","NO","NO",74,60,134
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","07","LAGHMAN","لغمان",3,"100_1_10","Abdul Rahim Wardak","عبدالرحیم وردک","خپلواک/مستقل","M","NO","NO","NO",22,24,47
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","07","LAGHMAN","لغمان",4,"100_1_25","Abdul Qayum Karzai","عبدالقیوم کرزی","خپلواک/مستقل","M","NO","NO","NO",84,75,161
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","07","LAGHMAN","لغمان",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",25430,14760,40673
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","07","LAGHMAN","لغمان",6,"101_1_16","Mohammad Nader Naeem","محمد نادر نعیم","خپلواک/مستقل","M","NO","NO","NO",72,272,346
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","07","LAGHMAN","لغمان",7,"100_1_24","Zalmai Rasul","زلمی رسول","خپلواک/مستقل","M","NO","NO","NO",4619,2641,7634
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","07","LAGHMAN","لغمان",8,"100_1_7","Eng. Qutbudin Hilal","انجنیر قطب الدین هلل","خپلواک/مستقل","M","NO","NO","NO",12101,4013,16221
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","07","LAGHMAN","لغمان",9,"100_1_28","Mohammad Sahfiq Gul Agha Sherzai","محمد شفیق گل آغا شیرزی","خپلواک/مستقل","M","NO","NO","NO",180,140,320
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","07","LAGHMAN","لغمان",10,"100_1_4","Abdul Rab Rasul Sayaf","پروفیسور عبدرب الرسول سیاف","خپلواک/مستقل","M","NO","NO","NO",5045,3023,8096
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","07","LAGHMAN","لغمان",11,"100_1_37","Hedayat Amin Arsala","هدایت امین ارسل","خپلواک/مستقل","M","NO","NO","NO",58,14,74
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","08","PANJSHIR","پنجشیر",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",20992,16932,37925
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","08","PANJSHIR","پنجشیر",2,"101_1_19","Mohammad Daoud Sultanzoy","محمد داود سلطان زوی","خپلواک/مستقل","M","NO","NO","NO",70,71,141
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","08","PANJSHIR","پنجشیر",3,"100_1_10","Abdul Rahim Wardak","عبدالرحیم وردک","خپلواک/مستقل","M","NO","NO","NO",11,8,19
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","08","PANJSHIR","پنجشیر",4,"100_1_25","Abdul Qayum Karzai","عبدالقیوم کرزی","خپلواک/مستقل","M","NO","NO","NO",4,6,10
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","08","PANJSHIR","پنجشیر",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",143,23,166
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","08","PANJSHIR","پنجشیر",6,"101_1_16","Mohammad Nader Naeem","محمد نادر نعیم","خپلواک/مستقل","M","NO","NO","NO",4,11,15
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","08","PANJSHIR","پنجشیر",7,"100_1_24","Zalmai Rasul","زلمی رسول","خپلواک/مستقل","M","NO","NO","NO",2319,1799,4118
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","08","PANJSHIR","پنجشیر",8,"100_1_7","Eng. Qutbudin Hilal","انجنیر قطب الدین هلل","خپلواک/مستقل","M","NO","NO","NO",88,27,115
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","08","PANJSHIR","پنجشیر",9,"100_1_28","Mohammad Sahfiq Gul Agha Sherzai","محمد شفیق گل آغا شیرزی","خپلواک/مستقل","M","NO","NO","NO",18,3,21
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","08","PANJSHIR","پنجشیر",10,"100_1_4","Abdul Rab Rasul Sayaf","پروفیسور عبدرب الرسول سیاف","خپلواک/مستقل","M","NO","NO","NO",774,172,946
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","08","PANJSHIR","پنجشیر",11,"100_1_37","Hedayat Amin Arsala","هدایت امین ارسل","خپلواک/مستقل","M","NO","NO","NO",7,8,15
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","09","BAGHLAN","بغلان",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",76898,55093,152560
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","09","BAGHLAN","بغلان",2,"101_1_19","Mohammad Daoud Sultanzoy","محمد داود سلطان زوی","خپلواک/مستقل","M","NO","NO","NO",370,366,904
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","09","BAGHLAN","بغلان",3,"100_1_10","Abdul Rahim Wardak","عبدالرحیم وردک","خپلواک/مستقل","M","NO","NO","NO",61,121,213
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","09","BAGHLAN","بغلان",4,"100_1_25","Abdul Qayum Karzai","عبدالقیوم کرزی","خپلواک/مستقل","M","NO","NO","NO",105,134,299
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","09","BAGHLAN","بغلان",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",25118,18209,51953
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","09","BAGHLAN","بغلان",6,"101_1_16","Mohammad Nader Naeem","محمد نادر نعیم","خپلواک/مستقل","M","NO","NO","NO",85,129,267
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","09","BAGHLAN","بغلان",7,"100_1_24","Zalmai Rasul","زلمی رسول","خپلواک/مستقل","M","NO","NO","NO",13066,11902,28380
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","09","BAGHLAN","بغلان",8,"100_1_7","Eng. Qutbudin Hilal","انجنیر قطب الدین هلل","خپلواک/مستقل","M","NO","NO","NO",4453,2134,7560
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","09","BAGHLAN","بغلان",9,"100_1_28","Mohammad Sahfiq Gul Agha Sherzai","محمد شفیق گل آغا شیرزی","خپلواک/مستقل","M","NO","NO","NO",971,515,1917
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","09","BAGHLAN","بغلان",10,"100_1_4","Abdul Rab Rasul Sayaf","پروفیسور عبدرب الرسول سیاف","خپلواک/مستقل","M","NO","NO","NO",5571,3493,10033
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","09","BAGHLAN","بغلان",11,"100_1_37","Hedayat Amin Arsala","هدایت امین ارسل","خپلواک/مستقل","M","NO","NO","NO",215,102,374
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","10","BAMIYAN","بامیان",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",62070,48216,113324
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","10","BAMIYAN","بامیان",2,"101_1_19","Mohammad Daoud Sultanzoy","محمد داود سلطان زوی","خپلواک/مستقل","M","NO","NO","NO",345,611,1007
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","10","BAMIYAN","بامیان",3,"100_1_10","Abdul Rahim Wardak","عبدالرحیم وردک","خپلواک/مستقل","M","NO","NO","NO",102,156,272
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","10","BAMIYAN","بامیان",4,"100_1_25","Abdul Qayum Karzai","عبدالقیوم کرزی","خپلواک/مستقل","M","NO","NO","NO",130,240,391
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","10","BAMIYAN","بامیان",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",10095,7617,18427
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","10","BAMIYAN","بامیان",6,"101_1_16","Mohammad Nader Naeem","محمد نادر نعیم","خپلواک/مستقل","M","NO","NO","NO",96,183,303
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","10","BAMIYAN","بامیان",7,"100_1_24","Zalmai Rasul","زلمی رسول","خپلواک/مستقل","M","NO","NO","NO",10551,9367,20720
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","10","BAMIYAN","بامیان",8,"100_1_7","Eng. Qutbudin Hilal","انجنیر قطب الدین هلل","خپلواک/مستقل","M","NO","NO","NO",166,171,359
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","10","BAMIYAN","بامیان",9,"100_1_28","Mohammad Sahfiq Gul Agha Sherzai","محمد شفیق گل آغا شیرزی","خپلواک/مستقل","M","NO","NO","NO",2641,1688,4735
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","10","BAMIYAN","بامیان",10,"100_1_4","Abdul Rab Rasul Sayaf","پروفیسور عبدرب الرسول سیاف","خپلواک/مستقل","M","NO","NO","NO",3899,3709,7695
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","10","BAMIYAN","بامیان",11,"100_1_37","Hedayat Amin Arsala","هدایت امین ارسل","خپلواک/مستقل","M","NO","NO","NO",191,352,561
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","11","GHAZNI","غزنی",1,"100_1_1","Dr. Abdullah Abdullah","داکتر عبدا عبدا","جمعیت اسلمی افغانستان","M","YES","NO","NO",119408,72534,194264
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","11","GHAZNI","غزنی",2,"101_1_19","Mohammad Daoud Sultanzoy","محمد داود سلطان زوی","خپلواک/مستقل","M","NO","NO","NO",1019,743,1763
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","11","GHAZNI","غزنی",3,"100_1_10","Abdul Rahim Wardak","عبدالرحیم وردک","خپلواک/مستقل","M","NO","NO","NO",84,77,161
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","11","GHAZNI","غزنی",4,"100_1_25","Abdul Qayum Karzai","عبدالقیوم کرزی","خپلواک/مستقل","M","NO","NO","NO",272,142,418
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","11","GHAZNI","غزنی",5,"101_1_13","Mohammad Ashraf Ghani Ahmadzai","محمد اشرف غنی احمدزی","خپلواک/مستقل","M","NO","YES","NO",44410,23184,68328
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","11","GHAZNI","غزنی",6,"101_1_16","Mohammad Nader Naeem","محمد نادر نعیم","خپلواک/مستقل","M","NO","NO","NO",201,266,469
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","11","GHAZNI","غزنی",7,"100_1_24","Zalmai Rasul","زلمی رسول","خپلواک/مستقل","M","NO","NO","NO",36841,23407,60784
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","11","GHAZNI","غزنی",8,"100_1_7","Eng. Qutbudin Hilal","انجنیر قطب الدین هلل","خپلواک/مستقل","M","NO","NO","NO",4138,2044,6183
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","11","GHAZNI","غزنی",9,"100_1_28","Mohammad Sahfiq Gul Agha Sherzai","محمد شفیق گل آغا شیرزی","خپلواک/مستقل","M","NO","NO","NO",3470,1752,5250
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","11","GHAZNI","غزنی",10,"100_1_4","Abdul Rab Rasul Sayaf","پروفیسور عبدرب الرسول سیاف","خپلواک/مستقل","M","NO","NO","NO",13861,8671,22540
"PRESIDENTIAL","2014-04-05","FINAL","2014-05-15","11","GHAZNI","غزنی",11,"100_1_37","Hedayat Amin Arsala","هدایت امین ارسل","خپلواک/مستقل","M","NO","NO","NO",314,280,595
