"province_code","district_code","district_name_eng","district_name_dari","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","provincial_capital"
"04","0403","HESA‐AWAL‐BEHSUD","حصه اول بھسود","0403","HESA‐AWAL‐BEHSUD","حصه اول بھسود","NO"
"04","0404","MARKAZ‐I‐BEHSOD","مرکز بھسود","0404","MARKAZ‐I‐BEHSOD","مرکز بھسود","NO"
"04","0405","DAIMIRDAD","دايميرداد","0405","DAIMIRDAD","دايميرداد","NO"
"04","0406","JAGHATO","جغتو","0406","JAGHATO","جغتو","NO"
"04","0407","CHAK","چک وردک","0407","CHAK","چک وردک","NO"
"04","0408","SAYED ABAD","سيدآباد","0408","SAYED ABAD","سيدآباد","NO"
"04","0409","NERKH","نرخ","0409","NERKH","نرخ","NO"
"05","0501"," PULLE‐ALAM","مرکزلوگر‐ پل علم","0501"," PULLE‐ALAM","مرکزلوگر‐ پل علم","YES"
"05","0502","BARAKIBARAK","برکی برک","0502","BARAKIBARAK","برکی برک","NO"
"05","0503","CHARKH","چرخ","0503","CHARKH","چرخ","NO"
"05","0504","KHUSHI","خوشی","0504","KHUSHI","خوشی","NO"
"05","0505","MOHAMMAD AGHA","محمدآغه","0505","MOHAMMAD AGHA","محمدآغه","NO"
"05","0506","KHARWAR","خروار","0506","KHARWAR","خروار","NO"
"05","0507","AZRAW","ازره","0507","AZRAW","ازره","NO"
"06","0601"," GHAZNI","مرکزغزنی ‐ غزنی","0601"," GHAZNI","مرکزغزنی ‐ غزنی","YES"
"06","0602","DAH YAK","ده يک","0602","DAH YAK","ده يک","NO"
"06","0603","ZANA KHAN","زنخان","0603","ZANA KHAN","زنخان","NO"
"06","0604","KHOWJA OMERY","خواجه عمری","0604","KHOWJA OMERY","خواجه عمری","NO"
"06","0605","RASHIDAN","رشيدان","0605","RASHIDAN","رشيدان","NO"
"06","0606","SHAHIDM‐WALI‐KHOGYANI","ولی محمد شھيد خوگيانی","0606","SHAHIDM‐WALI‐KHOGYANI","ولی محمد شھيد خوگيانی","NO"
"06","0607","JAGHATOO","جغتو","0607","JAGHATOO","جغتو","NO"
"06","0608","WAGHAZ","واغظ","0608","WAGHAZ","واغظ","NO"
"06","0609","QARA BAGH","قره باغ","0609","QARA BAGH","قره باغ","NO"
"06","0610","GIRO","گيرو","0610","GIRO","گيرو","NO"
"06","0611","ANDER","اندر","0611","ANDER","اندر","NO"
"06","0612","NAWUR","ناور","0612","NAWUR","ناور","NO"
"06","0613","AJRESTAN","اجرستان","0613","AJRESTAN","اجرستان","NO"
"06","0614","MALESTAN","مالستان","0614","MALESTAN","مالستان","NO"
"06","0615","JAGHORI","جاغوری","0615","JAGHORI","جاغوری","NO"
"06","0616","MUQUR GHAZNI","مقر","0616","MUQUR GHAZNI","مقر","NO"
"06","0617","AB BAND","آب بند","0617","AB BAND","آب بند","NO"
"06","0618","GELLAN","گيلان","0618","GELLAN","گيلان","NO"
"06","0619","NAWA","ناوه","0619","NAWA","ناوه","NO"
"07","0701"," SHARAN","مرکز پکتيکا ‐ شرن","0701"," SHARAN","مرکز پکتيکا ‐ شرن","YES"
"07","0702","MATA KHAN","متاخان","0702","MATA KHAN","متاخان","NO"
"07","0703","YOSEF KHEIL","يوسف خيل","0703","YOSEF KHEIL","يوسف خيل","NO"
"07","0704","YAHYA KHEIL","يحيی خيل","0704","YAHYA KHEIL","يحيی خيل","NO"
"07","0705","OMANAH","اومنه","0705","OMANAH","اومنه","NO"
"07","0706","SAR RAWZA","سرروضه","0706","SAR RAWZA","سرروضه","NO"
"07","0707","ZARGHOON SHAHER","زرغون شھر","0707","ZARGHOON SHAHER","زرغون شھر","NO"
"07","0708","JANI KHEIL PAKTIKA","جانی خيل","0708","JANI KHEIL PAKTIKA","جانی خيل","NO"
"07","0709","GOMAL","گومل","0709","GOMAL","گومل","NO"
