"province_code","province_name_eng","province_name_dari","district_code","district_name_eng","district_name_dari","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","provincial_capital","pc_code","pc_name_eng","pc_name_dari","prelim_results_reporting","final_results_reporting","ps_planned_count","ps_prelim_reporting_count","ps_final_reporting_count","ps_male","ps_fem","ps_kuchi","est_voters","access_notes"
"01","KABUL","کابل","0101","KABUL","کابل","0101-02","KABUL NAHIA 02","کابل ناحيه 02","YES","0101030","tol abcakan,nayebsalar masque","تول آپچکان, مسجد نايب سالار","YES","YES",2,2,2,1,1,0,1000,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-02","KABUL NAHIA 02","کابل ناحيه 02","YES","0101031","marad khani,directrite of department afaire","مراد خاني, ريا ست اداره امور","YES","YES",2,2,2,1,1,0,1000,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-03","KABUL NAHIA 03","کابل ناحيه 03","YES","0101032","end bus stop university,sofi islam school","ايستگاه آخر پوھنتون, مکتب صوفي اسلام","YES","YES",8,8,8,5,3,0,4300,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-03","KABUL NAHIA 03","کابل ناحيه 03","YES","0101033","deh bori,mahmod hotaky high school","ده بوري, ليسه محمود ھوتکي","YES","YES",12,12,12,8,4,0,7200,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-03","KABUL NAHIA 03","کابل ناحيه 03","YES","0101034","karti char,sayed jamaludin afghan sacandry school","کارته چھار, مکتب متوسطه سيد جمال الدين","YES","YES",9,9,9,6,3,0,5200,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-03","KABUL NAHIA 03","کابل ناحيه 03","YES","0101035","jamal mina,no13jamal mina sacandry school","جمال مينه, مکتب متوسطه نمبر١٣ جمال مينه","YES","YES",8,8,8,5,3,0,4800,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-03","KABUL NAHIA 03","کابل ناحيه 03","YES","0101036","No. 19 School of Jamal Mina","مکتب نمبر 19 جمال مينه","YES","YES",8,8,8,5,3,0,4800,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-03","KABUL NAHIA 03","کابل ناحيه 03","YES","0101037","Masjid Hanzala Masjid, Dehmazang at the back side of Tolay","مسجد حنظله، دھمزنگ عقب تولی سوار","YES","YES",4,4,4,2,2,0,2000,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-03","KABUL NAHIA 03","کابل ناحيه 03","YES","0101038","saray ghazni,sayed jamaludin teacher training","سراي غزني, مکتب تربيه معلم سيد جمال الدين","YES","YES",5,5,5,3,2,0,2800,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-03","KABUL NAHIA 03","کابل ناحيه 03","YES","0101039","deh mazang,amir dostmuhammad khan school","دھمزنگ, مکتب امير دوست محمد خان","YES","YES",5,5,5,3,2,0,2800,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-03","KABUL NAHIA 03","کابل ناحيه 03","YES","0101040","now abaddehmazang,amirhmza sacandry school","نو آباد دھمزنگ, مکتب متوسطه امير حمزه","YES","YES",6,6,6,4,2,0,3400,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-03","KABUL NAHIA 03","کابل ناحيه 03","YES","0101041","guzargah,guzargah sacandry school","گذرگاه, مکتب متوسطه گذرگاه","YES","YES",4,4,4,2,2,0,2000,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-03","KABUL NAHIA 03","کابل ناحيه 03","YES","0101042","mirwais maidan,sang kashan masque","ميرويس ميدان, مسجد سنگ کشان","YES","YES",2,2,2,1,1,0,1000,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-03","KABUL NAHIA 03","کابل ناحيه 03","YES","0101043","tapa salam,wais masque","تپه سلام, مسجد ويس","YES","YES",4,4,4,2,2,0,2400,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-03","KABUL NAHIA 03","کابل ناحيه 03","YES","0101044","karti mamorin,karti mamori masque","کارته مامورين, مسجد کارته مامورين","YES","YES",6,6,6,4,2,0,3400,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-03","KABUL NAHIA 03","کابل ناحيه 03","YES","0101045","university,law and political seince faqolty","پوھنتون, پوھيځي حقوق","YES","YES",9,9,9,6,3,0,4800,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-03","KABUL NAHIA 03","کابل ناحيه 03","YES","0101046","karti char, higher education ministry","کارته چھار, وزارت تحصيلات عالي","YES","YES",4,4,4,2,2,0,2000,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-03","KABUL NAHIA 03","کابل ناحيه 03","YES","0101047","karti char,rabeh balkhi high school","کارته چھار, ليسه رابعه بلخي","YES","YES",8,8,8,5,3,0,4800,NA
"01","KABUL","کابل","0101","KABUL","کابل","0101-04","KABUL NAHIA 04","کابل ناحيه 04","YES","0101048","Masjid Milad Nabi, Bagh Bala Area.","مسجد ميلادالنبی، باغ بالا","YES","YES",8,8,8,5,3,0,4300,NA
