pc_code,ps_code,ps_type,vr_final_total_19
101024,0101024-03,M,400
101024,0101024-04,M,400
101024,0101024-05,M,400
101024,0101024-06,M,274
101024,0101024-07,M,274
101024,0101024-08,F,400
101024,0101024-09,F,230
101024,0101024-10,F,230
101025,0101025-01,M,387
101025,0101025-02,M,386
101025,0101025-03,F,285
101025,0101025-04,F,284
101026,0101026-01,M,400
101026,0101026-02,M,400
101026,0101026-03,M,400
101026,0101026-04,M,400
101026,0101026-05,M,400
101026,0101026-06,M,400
101026,0101026-07,M,234
101026,0101026-08,M,233
101026,0101026-09,F,400
101026,0101026-10,F,264
101026,0101026-11,F,263
101027,0101027-01,M,339
101027,0101027-02,M,339
101027,0101027-03,F,376
101028,0101028-01,M,400
101028,0101028-02,M,337
101028,0101028-03,M,337
101028,0101028-04,F,235
101028,0101028-05,F,235
101029,0101029-01,M,400
101029,0101029-02,M,400
101029,0101029-03,M,400
101029,0101029-04,M,400
101029,0101029-05,M,400
101029,0101029-06,M,400
101029,0101029-07,M,400
101029,0101029-08,M,400
101029,0101029-09,M,333
101029,0101029-10,M,333
101029,0101029-11,F,400
101029,0101029-12,F,305
101029,0101029-13,F,304
101030,0101030-01,M,400
101030,0101030-02,M,400
101030,0101030-03,M,400
101030,0101030-04,M,400
101030,0101030-05,M,237
101030,0101030-06,M,237
101030,0101030-07,F,339
101030,0101030-08,F,338
101031,0101031-01,M,314
101031,0101031-02,M,313
101031,0101031-03,F,288
101032,0101032-01,M,400
101032,0101032-02,M,400
101032,0101032-03,M,400
101032,0101032-04,M,238
101032,0101032-05,M,238
101032,0101032-06,F,393
101033,0101033-01,M,372
101033,0101033-02,M,371
101033,0101033-03,F,396
101034,0101034-01,M,400
101034,0101034-02,M,400
101034,0101034-03,M,400
101034,0101034-04,M,297
101034,0101034-05,M,296
101034,0101034-06,F,309
101035,0101035-01,M,400
101035,0101035-02,M,400
101035,0101035-03,M,400
101035,0101035-04,M,400
101035,0101035-05,M,338
101035,0101035-06,M,337
101035,0101035-07,F,400
101035,0101035-08,F,288
101035,0101035-09,F,287
101036,0101036-01,M,400
101036,0101036-02,M,400
101036,0101036-03,M,400
101036,0101036-04,M,273
101036,0101036-05,M,272
101036,0101036-06,F,400
101036,0101036-07,F,358
101036,0101036-08,F,358
101037,0101037-01,M,400
101037,0101037-02,M,400
101037,0101037-03,M,400
101037,0101037-04,M,220
101037,0101037-05,M,219
101037,0101037-06,F,290
101037,0101037-07,F,290
101038,0101038-01,M,341
101038,0101038-02,M,341
101038,0101038-03,F,338
101039,0101039-01,M,400
101039,0101039-02,M,400
101039,0101039-03,M,400
101039,0101039-04,M,255
101039,0101039-05,M,255
101039,0101039-06,F,287
101039,0101039-07,F,287
101040,0101040-01,M,400
101040,0101040-02,M,400
101040,0101040-03,M,255
101040,0101040-04,M,255
101040,0101040-05,F,274
101040,0101040-06,F,273
101041,0101041-01,M,400
101041,0101041-02,M,391
101041,0101041-03,M,390
101041,0101041-04,F,400
101041,0101041-05,F,320
101041,0101041-06,F,319
101042,0101042-01,M,400
101042,0101042-02,M,400
101042,0101042-03,M,400
101042,0101042-04,M,400
101042,0101042-05,M,400
101042,0101042-06,M,400
101042,0101042-07,M,246
101042,0101042-08,M,245
101042,0101042-09,F,400
101042,0101042-10,F,400
101042,0101042-11,F,303
101042,0101042-12,F,303
101043,0101043-01,M,400
101043,0101043-02,M,400
101043,0101043-03,M,400
101043,0101043-04,M,400
101043,0101043-05,M,398
101043,0101043-06,M,398
101043,0101043-07,F,400
101043,0101043-08,F,251
101043,0101043-09,F,250
101044,0101044-01,M,400
101044,0101044-02,M,400
101044,0101044-03,M,400
101044,0101044-04,M,326
101044,0101044-05,M,326
101044,0101044-06,F,400
101044,0101044-07,F,347
101044,0101044-08,F,346
101045,0101045-01,M,400
101045,0101045-02,M,294
101045,0101045-03,M,293
101045,0101045-04,F,177
101046,0101046-01,M,400
101046,0101046-02,M,400
101046,0101046-03,M,400
101046,0101046-04,M,400
101046,0101046-05,M,400
101046,0101046-06,M,400
101046,0101046-07,M,400
101046,0101046-08,M,354
101046,0101046-09,M,354
101046,0101046-10,F,400
101046,0101046-11,F,400
101046,0101046-12,F,400
101046,0101046-13,F,374
101046,0101046-14,F,374
101047,0101047-01,M,400
101047,0101047-02,M,400
101047,0101047-03,M,400
101047,0101047-04,M,400
101047,0101047-05,M,400
101047,0101047-06,M,400
101047,0101047-07,M,400
101047,0101047-08,M,400
101047,0101047-09,M,400
101047,0101047-10,M,357
101047,0101047-11,M,356
101047,0101047-12,F,400
101047,0101047-13,F,241
101047,0101047-14,F,240
101048,0101048-01,M,400
101048,0101048-02,M,400
101048,0101048-03,M,292
101048,0101048-04,M,291
101048,0101048-05,F,376
101048,0101048-06,F,376
101049,0101049-01,M,400
101049,0101049-02,M,400
101049,0101049-03,M,400
101049,0101049-04,M,371
101049,0101049-05,M,371
101049,0101049-06,F,400
101049,0101049-07,F,400
101049,0101049-08,F,230
101049,0101049-09,F,230
101050,0101050-01,M,400
101050,0101050-02,M,400
101050,0101050-03,M,400
101050,0101050-04,M,265
101050,0101050-05,M,265
101050,0101050-06,F,295
101050,0101050-07,F,294
101051,0101051-01,M,400
101051,0101051-02,M,205
101051,0101051-03,M,205
101051,0101051-04,F,267
101051,0101051-05,F,267
101052,0101052-01,M,400
101052,0101052-02,M,400
101052,0101052-03,M,325
101052,0101052-04,M,325
101052,0101052-05,F,284
101052,0101052-06,F,283
101053,0101053-01,M,325
101053,0101053-02,M,325
101053,0101053-03,F,220
101054,0101054-01,M,400
101054,0101054-02,M,400
101054,0101054-03,M,400
101054,0101054-04,M,223
101054,0101054-05,M,223
101054,0101054-06,F,281
101055,0101055-01,M,397
101055,0101055-02,M,396
101055,0101055-03,F,113
101056,0101056-01,M,400
101056,0101056-02,M,400
101056,0101056-03,M,400
101056,0101056-04,M,400
101056,0101056-05,M,265
101056,0101056-06,M,264
101056,0101056-07,F,274
101057,0101057-01,M,400
101057,0101057-02,M,400
101057,0101057-03,M,400
101057,0101057-04,M,400
101057,0101057-05,M,400
101057,0101057-06,M,237
101057,0101057-07,M,236
101057,0101057-08,F,400
101057,0101057-09,F,330
101057,0101057-10,F,329
101058,0101058-01,M,400
101058,0101058-02,M,400
101058,0101058-03,M,249
101058,0101058-04,M,248
101058,0101058-05,F,244
101058,0101058-06,F,243
101059,0101059-01,M,400
101059,0101059-02,M,400
101059,0101059-03,M,400
101059,0101059-04,M,400
101059,0101059-05,M,400
101059,0101059-06,M,400
101059,0101059-07,M,400
101059,0101059-08,M,400
101059,0101059-09,M,400
101059,0101059-10,M,400
101059,0101059-11,M,342
101059,0101059-12,M,342
101059,0101059-13,F,400
101059,0101059-14,F,400
101059,0101059-15,F,400
101059,0101059-16,F,400
101059,0101059-17,F,400
101059,0101059-18,F,373
101059,0101059-19,F,372
101060,0101060-01,M,400
101060,0101060-02,M,400
101060,0101060-03,M,400
101060,0101060-04,M,400
101060,0101060-05,M,390
101060,0101060-06,M,390
101060,0101060-07,F,400
101060,0101060-08,F,400
101060,0101060-09,F,215
101060,0101060-10,F,214
101061,0101061-01,M,400
101061,0101061-02,M,400
101061,0101061-03,M,400
101061,0101061-04,M,400
101061,0101061-05,M,400
101061,0101061-06,M,400
101061,0101061-07,M,400
101061,0101061-08,M,400
101061,0101061-09,M,400
101061,0101061-10,M,389
101061,0101061-11,M,388
101061,0101061-12,F,400
101061,0101061-13,F,400
101061,0101061-14,F,400
101061,0101061-15,F,400
101061,0101061-16,F,400
101061,0101061-17,F,400
101061,0101061-18,F,400
101061,0101061-19,F,320
101061,0101061-20,F,319
101062,0101062-01,M,400
101062,0101062-02,M,400
101062,0101062-03,M,400
101062,0101062-04,M,400
101062,0101062-05,M,400
101062,0101062-06,M,400
101062,0101062-07,M,400
101062,0101062-08,M,400
101062,0101062-09,M,261
101062,0101062-10,M,261
101062,0101062-11,F,400
101062,0101062-12,F,400
101062,0101062-13,F,400
101062,0101062-14,F,400
101062,0101062-15,F,386
101062,0101062-16,F,386
101063,0101063-01,M,400
101063,0101063-02,M,400
101063,0101063-03,M,400
101063,0101063-04,M,400
101063,0101063-05,M,314
101063,0101063-06,M,313
101063,0101063-07,F,400
101063,0101063-08,F,307
101063,0101063-09,F,307
101064,0101064-01,M,400
101064,0101064-02,M,400
101064,0101064-03,M,400
101064,0101064-04,M,400
101064,0101064-05,M,211
101064,0101064-06,M,211
101064,0101064-07,F,400
101064,0101064-08,F,333
101064,0101064-09,F,333
101065,0101065-01,M,400
101065,0101065-02,M,400
101065,0101065-03,M,400
101065,0101065-04,M,400
101065,0101065-05,M,400
101065,0101065-06,M,235
101065,0101065-07,M,234
101065,0101065-08,F,370
101065,0101065-09,F,370
101066,0101066-01,M,400
101066,0101066-02,M,400
101066,0101066-03,M,264
101066,0101066-04,M,263
101066,0101066-05,F,356
101067,0101067-01,M,400
101067,0101067-02,M,400
101067,0101067-03,M,400
101067,0101067-04,M,400
101067,0101067-05,M,289
101067,0101067-06,M,288
101067,0101067-07,F,260
101067,0101067-08,F,260
101068,0101068-01,M,400
101068,0101068-02,M,400
101068,0101068-03,M,400
101068,0101068-04,M,235
101068,0101068-05,M,235
101068,0101068-06,F,398
101069,0101069-01,M,400
101069,0101069-02,M,400
101069,0101069-03,M,388
101069,0101069-04,M,388
101069,0101069-05,F,297
101069,0101069-06,F,297
101070,0101070-01,M,400
101070,0101070-02,M,400
101070,0101070-03,M,400
101070,0101070-04,M,400
101070,0101070-05,M,304
101070,0101070-06,M,303
101070,0101070-07,F,400
101070,0101070-08,F,400
101070,0101070-09,F,400
101070,0101070-10,F,215
101070,0101070-11,F,215
101071,0101071-01,M,400
101071,0101071-02,M,400
101071,0101071-03,M,400
101071,0101071-04,M,400
101071,0101071-05,M,400
101071,0101071-06,M,298
101071,0101071-07,M,297
101071,0101071-08,F,400
101071,0101071-09,F,374
101071,0101071-10,F,373
101072,0101072-01,M,400
101072,0101072-02,M,400
101072,0101072-03,M,400
101072,0101072-04,M,332
101072,0101072-05,M,332
101072,0101072-06,F,399
101073,0101073-01,M,400
101073,0101073-02,M,400
101073,0101073-03,M,400
101073,0101073-04,M,400
101073,0101073-05,M,262
101073,0101073-06,M,261
101073,0101073-07,F,258
101073,0101073-08,F,258
101074,0101074-01,M,400
101074,0101074-02,M,400
101074,0101074-03,M,400
101074,0101074-04,M,400
101074,0101074-05,M,400
101074,0101074-06,M,381
101074,0101074-07,M,380
101074,0101074-08,F,400
101074,0101074-09,F,294
101074,0101074-10,F,294
101075,0101075-01,M,400
101075,0101075-02,M,299
101075,0101075-03,M,299
101075,0101075-04,F,255
101075,0101075-05,F,255
101076,0101076-01,M,400
101076,0101076-02,M,400
101076,0101076-03,M,400
101076,0101076-04,M,328
101076,0101076-05,M,327
101076,0101076-06,F,400
101076,0101076-07,F,358
101076,0101076-08,F,358
101077,0101077-01,M,400
101077,0101077-02,M,400
101077,0101077-03,M,400
101077,0101077-04,M,400
101077,0101077-05,M,333
101077,0101077-06,M,332
101077,0101077-07,F,400
101077,0101077-08,F,227
101077,0101077-09,F,227
101078,0101078-01,M,400
101078,0101078-02,M,400
101078,0101078-03,M,264
101078,0101078-04,M,264
101078,0101078-05,F,300
101078,0101078-06,F,299
101079,0101079-01,M,400
101079,0101079-02,M,400
101079,0101079-03,M,400
101079,0101079-04,M,314
101079,0101079-05,M,314
101079,0101079-06,F,321
101080,0101080-01,M,400
101080,0101080-02,M,400
101080,0101080-03,M,400
101080,0101080-04,M,312
101080,0101080-05,M,312
101080,0101080-06,F,400
101080,0101080-07,F,400
101080,0101080-08,F,268
101080,0101080-09,F,267
101081,0101081-01,M,400
101081,0101081-02,M,400
101081,0101081-03,M,400
101081,0101081-04,M,400
101081,0101081-05,M,264
101081,0101081-06,M,263
101081,0101081-07,F,400
101081,0101081-08,F,400
101081,0101081-09,F,240
101081,0101081-10,F,240
101082,0101082-01,M,400
101082,0101082-02,M,400
101082,0101082-03,M,400
101082,0101082-04,M,400
101082,0101082-05,M,400
101082,0101082-06,M,400
101082,0101082-07,M,400
101082,0101082-08,M,400
101082,0101082-09,M,400
101082,0101082-10,M,205
101082,0101082-11,M,204
101082,0101082-12,F,400
101082,0101082-13,F,400
101082,0101082-14,F,400
101082,0101082-15,F,400
101082,0101082-16,F,315
101082,0101082-17,F,315
101083,0101083-01,M,400
101083,0101083-02,M,400
101083,0101083-03,M,400
101083,0101083-04,M,400
101083,0101083-05,M,400
101083,0101083-06,M,400
101083,0101083-07,M,400
101083,0101083-08,M,400
101083,0101083-09,M,400
101083,0101083-10,M,400
101083,0101083-11,M,400
101083,0101083-12,M,284
101083,0101083-13,M,283
101083,0101083-14,F,400
101083,0101083-15,F,400
101083,0101083-16,F,400
101083,0101083-17,F,231
101083,0101083-18,F,231
101084,0101084-01,M,400
101084,0101084-02,M,400
101084,0101084-03,M,400
101084,0101084-04,M,236
101084,0101084-05,M,235
101084,0101084-06,F,400
101084,0101084-07,F,377
101084,0101084-08,F,376
101085,0101085-01,M,353
101085,0101085-02,M,352
101085,0101085-03,F,339
101086,0101086-01,M,400
101086,0101086-02,M,400
101086,0101086-03,M,400
101086,0101086-04,M,400
101086,0101086-05,M,318
101086,0101086-06,M,317
101086,0101086-07,F,381
101087,0101087-01,M,400
101087,0101087-02,M,400
101087,0101087-03,M,400
101087,0101087-04,M,400
101087,0101087-05,M,352
101087,0101087-06,M,351
101087,0101087-07,F,400
101087,0101087-08,F,303
101087,0101087-09,F,303
101088,0101088-01,M,400
101088,0101088-02,M,400
101088,0101088-03,M,400
101088,0101088-04,M,400
101088,0101088-05,M,400
101088,0101088-06,M,400
101088,0101088-07,M,400
101088,0101088-08,M,400
101088,0101088-09,M,400
101088,0101088-10,M,400
101088,0101088-11,M,400
101088,0101088-12,M,400
101088,0101088-13,M,400
101088,0101088-14,M,400
101088,0101088-15,M,400
101088,0101088-16,M,218
101088,0101088-17,M,217
101088,0101088-18,F,400
101088,0101088-19,F,400
101088,0101088-20,F,400
101088,0101088-21,F,376
101088,0101088-22,F,375
101089,0101089-01,M,400
101089,0101089-02,M,400
101089,0101089-03,M,400
101089,0101089-04,M,400
101089,0101089-05,M,340
101089,0101089-06,M,340
101089,0101089-07,F,292
101089,0101089-08,F,292
101090,0101090-01,M,400
101090,0101090-02,M,400
101090,0101090-03,M,218
101090,0101090-04,M,218
101090,0101090-05,F,400
101090,0101090-06,F,287
101090,0101090-07,F,286
101091,0101091-01,M,400
101091,0101091-02,M,400
101091,0101091-03,M,218
101091,0101091-04,M,218
101091,0101091-05,F,370
101091,0101091-06,F,369
101092,0101092-01,M,400
101092,0101092-02,M,400
101092,0101092-03,M,400
101092,0101092-04,M,400
101092,0101092-05,M,324
101092,0101092-06,M,323
101092,0101092-07,F,400
101092,0101092-08,F,400
101092,0101092-09,F,210
101092,0101092-10,F,210
101093,0101093-01,M,374
101093,0101093-02,M,373
101093,0101093-03,F,364
101093,0101093-04,F,364
101094,0101094-01,M,400
101094,0101094-02,M,400
101094,0101094-03,M,322
101094,0101094-04,M,322
101094,0101094-05,F,295
101094,0101094-06,F,294
101095,0101095-01,M,400
101095,0101095-02,M,377
101095,0101095-03,M,377
101095,0101095-04,F,400
101095,0101095-05,F,307
101095,0101095-06,F,307
101096,0101096-01,M,400
101096,0101096-02,M,400
101096,0101096-03,M,400
101096,0101096-04,M,400
101096,0101096-05,M,325
101096,0101096-06,M,325
101096,0101096-07,F,400
101096,0101096-08,F,259
101096,0101096-09,F,259
101097,0101097-01,M,400
101097,0101097-02,M,328
101097,0101097-03,M,327
101097,0101097-04,F,207
101097,0101097-05,F,207
101098,0101098-01,M,266
101098,0101098-02,M,265
101098,0101098-03,F,141
101099,0101099-01,M,400
101099,0101099-02,M,400
101099,0101099-03,M,400
101099,0101099-04,M,302
101099,0101099-05,M,302
101099,0101099-06,F,400
101099,0101099-07,F,400
101099,0101099-08,F,400
101099,0101099-09,F,234
101099,0101099-10,F,233
101100,0101100-01,M,400
101100,0101100-02,M,400
101100,0101100-03,M,400
101100,0101100-04,M,400
101100,0101100-05,M,365
101100,0101100-06,M,365
101100,0101100-07,F,400
101100,0101100-08,F,400
101100,0101100-09,F,400
101100,0101100-10,F,400
101100,0101100-11,F,400
101100,0101100-12,F,238
101100,0101100-13,F,238
101101,0101101-01,M,400
101101,0101101-02,M,400
101101,0101101-03,M,400
101101,0101101-04,M,400
101101,0101101-05,M,400
101101,0101101-06,M,400
101101,0101101-07,M,400
101101,0101101-08,M,400
101101,0101101-09,M,203
101101,0101101-10,M,202
101101,0101101-11,F,400
101101,0101101-12,F,400
101101,0101101-13,F,400
101101,0101101-14,F,400
101101,0101101-15,F,307
101101,0101101-16,F,306
101102,0101102-01,M,400
101102,0101102-02,M,400
101102,0101102-03,M,383
101102,0101102-04,M,383
101102,0101102-05,F,400
101102,0101102-06,F,348
101102,0101102-07,F,347
101103,0101103-01,M,400
101103,0101103-02,M,400
101103,0101103-03,M,400
101103,0101103-04,M,400
101103,0101103-05,M,233
101103,0101103-06,M,233
101103,0101103-07,F,400
101103,0101103-08,F,400
101103,0101103-09,F,400
101103,0101103-10,F,304
101103,0101103-11,F,303
101104,0101104-01,M,392
101104,0101104-02,M,392
101104,0101104-03,F,400
101104,0101104-04,F,233
101104,0101104-05,F,233
101105,0101105-01,M,400
101105,0101105-02,M,398
101105,0101105-03,M,397
101105,0101105-04,F,400
101105,0101105-05,F,292
101105,0101105-06,F,291
101106,0101106-01,M,400
101106,0101106-02,M,400
101106,0101106-03,M,297
101106,0101106-04,M,296
101106,0101106-05,F,394
101106,0101106-06,F,394
101107,0101107-01,M,400
101107,0101107-02,M,400
101107,0101107-03,M,206
101107,0101107-04,M,206
101107,0101107-05,F,399
101107,0101107-06,F,399
101108,0101108-01,M,400
101108,0101108-02,M,400
101108,0101108-03,M,400
101108,0101108-04,M,348
101108,0101108-05,M,348
101108,0101108-06,F,400
101108,0101108-07,F,400
101108,0101108-08,F,380
101108,0101108-09,F,379
101109,0101109-01,M,301
101109,0101109-02,M,300
101109,0101109-03,F,318
101109,0101109-04,F,318
101110,0101110-01,M,400
101110,0101110-02,M,400
101110,0101110-03,M,400
101110,0101110-04,M,400
101110,0101110-05,M,400
101110,0101110-06,M,226
101110,0101110-07,M,226
101110,0101110-08,F,400
101110,0101110-09,F,400
101110,0101110-10,F,283
101110,0101110-11,F,282
101111,0101111-01,M,400
101111,0101111-02,M,400
101111,0101111-03,M,400
101111,0101111-04,M,287
101111,0101111-05,M,287
101111,0101111-06,F,400
101111,0101111-07,F,400
101111,0101111-08,F,400
101111,0101111-09,F,209
101111,0101111-10,F,209
101112,0101112-01,M,400
101112,0101112-02,M,372
101112,0101112-03,M,372
101112,0101112-04,F,386
101112,0101112-05,F,385
101113,0101113-01,M,400
101113,0101113-02,M,400
101113,0101113-03,M,400
101113,0101113-04,M,400
101113,0101113-05,M,400
101113,0101113-06,M,400
101113,0101113-07,M,222
101113,0101113-08,M,221
101113,0101113-09,F,400
101113,0101113-10,F,400
101113,0101113-11,F,400
101113,0101113-12,F,210
101113,0101113-13,F,209
101114,0101114-01,M,400
101114,0101114-02,M,400
101114,0101114-03,M,400
101114,0101114-04,M,400
101114,0101114-05,M,400
101114,0101114-06,M,360
101114,0101114-07,M,360
101114,0101114-08,F,400
101114,0101114-09,F,232
101114,0101114-10,F,231
101115,0101115-01,M,400
101115,0101115-02,M,400
101115,0101115-03,M,400
101115,0101115-04,M,400
101115,0101115-05,M,386
101115,0101115-06,M,386
101115,0101115-07,F,400
101115,0101115-08,F,400
101115,0101115-09,F,400
101115,0101115-10,F,400
101115,0101115-11,F,400
101115,0101115-12,F,400
101115,0101115-13,F,257
101115,0101115-14,F,257
101116,0101116-01,M,400
101116,0101116-02,M,278
101116,0101116-03,M,277
101116,0101116-04,F,219
101116,0101116-05,F,218
101117,0101117-01,M,295
101117,0101117-02,F,128
101118,0101118-01,M,400
101118,0101118-02,M,400
101118,0101118-03,M,400
101118,0101118-04,M,400
101118,0101118-05,M,374
101118,0101118-06,M,374
101118,0101118-07,F,400
101118,0101118-08,F,400
101118,0101118-09,F,359
101118,0101118-10,F,358
101119,0101119-01,M,400
101119,0101119-02,M,400
101119,0101119-03,M,400
101119,0101119-04,M,219
101119,0101119-05,M,219
101119,0101119-06,F,400
101119,0101119-07,F,233
101119,0101119-08,F,233
101120,0101120-01,M,400
101120,0101120-02,M,400
101120,0101120-03,M,383
101120,0101120-04,M,382
101120,0101120-05,F,320
101120,0101120-06,F,319
101121,0101121-01,M,400
101121,0101121-02,M,400
101121,0101121-03,M,400
101121,0101121-04,M,400
101121,0101121-05,M,400
101121,0101121-06,M,400
101121,0101121-07,M,400
101121,0101121-08,M,400
101121,0101121-09,M,277
101121,0101121-10,M,277
101121,0101121-11,F,400
101121,0101121-12,F,400
101121,0101121-13,F,400
101121,0101121-14,F,323
101121,0101121-15,F,323
101122,0101122-01,M,400
101122,0101122-02,M,400
101122,0101122-03,M,400
101122,0101122-04,M,379
101122,0101122-05,M,378
101122,0101122-06,F,400
101122,0101122-07,F,400
101122,0101122-08,F,272
101122,0101122-09,F,272
101123,0101123-01,M,400
101123,0101123-02,M,400
101123,0101123-03,M,352
101123,0101123-04,M,352
101123,0101123-05,F,268
101123,0101123-06,F,268
101124,0101124-01,M,400
101124,0101124-02,M,400
101124,0101124-03,M,400
101124,0101124-04,M,400
101124,0101124-05,M,394
101124,0101124-06,M,394
101124,0101124-07,F,400
101124,0101124-08,F,400
101124,0101124-09,F,294
101124,0101124-10,F,293
101125,0101125-01,M,400
101125,0101125-02,M,400
101125,0101125-03,M,400
101125,0101125-04,M,400
101125,0101125-05,M,289
101125,0101125-06,M,288
101125,0101125-07,F,300
101125,0101125-08,F,299
101126,0101126-01,M,400
101126,0101126-02,M,400
101126,0101126-03,M,400
101126,0101126-04,M,283
101126,0101126-05,M,282
101126,0101126-06,F,400
101126,0101126-07,F,230
101126,0101126-08,F,229
101127,0101127-01,M,400
101127,0101127-02,M,400
101127,0101127-03,M,400
101127,0101127-04,M,400
101127,0101127-05,M,217
101127,0101127-06,M,217
101127,0101127-07,F,400
101127,0101127-08,F,243
101127,0101127-09,F,243
101128,0101128-01,M,400
101128,0101128-02,M,400
101128,0101128-03,M,400
101128,0101128-04,M,400
101128,0101128-05,M,400
101128,0101128-06,M,400
101128,0101128-07,M,266
101128,0101128-08,M,265
101128,0101128-09,F,400
101128,0101128-10,F,400
101128,0101128-11,F,400
101128,0101128-12,F,398
101128,0101128-13,F,397
101129,0101129-01,M,400
101129,0101129-02,M,400
101129,0101129-03,M,400
101129,0101129-04,M,400
101129,0101129-05,M,246
101129,0101129-06,M,245
101129,0101129-07,F,400
101129,0101129-08,F,400
101129,0101129-09,F,400
101129,0101129-10,F,387
101129,0101129-11,F,387
101130,0101130-01,M,400
101130,0101130-02,M,400
101130,0101130-03,M,264
101130,0101130-04,M,264
101130,0101130-05,F,400
101130,0101130-06,F,274
101130,0101130-07,F,274
101131,0101131-01,M,400
101131,0101131-02,M,400
101131,0101131-03,M,400
101131,0101131-04,M,313
101131,0101131-05,M,313
101131,0101131-06,F,305
101132,0101132-01,M,400
101132,0101132-02,M,400
101132,0101132-03,M,400
101132,0101132-04,M,283
101132,0101132-05,M,283
101132,0101132-06,F,400
101132,0101132-07,F,297
101132,0101132-08,F,296
101133,0101133-01,M,301
101133,0101133-02,F,202
101134,0101134-01,M,400
101134,0101134-02,M,400
101134,0101134-03,M,400
101134,0101134-04,M,400
101134,0101134-05,M,400
101134,0101134-06,M,400
101134,0101134-07,M,400
101134,0101134-08,M,400
101134,0101134-09,M,400
101134,0101134-10,M,205
101134,0101134-11,M,205
101134,0101134-12,F,400
101134,0101134-13,F,313
101134,0101134-14,F,312
101135,0101135-01,M,400
101135,0101135-02,M,277
101135,0101135-03,M,277
101135,0101135-04,F,241
101135,0101135-05,F,241
101136,0101136-01,M,400
101136,0101136-02,M,400
101136,0101136-03,M,400
101136,0101136-04,M,400
101136,0101136-05,M,400
101136,0101136-06,M,400
101136,0101136-07,M,400
101136,0101136-08,M,400
101136,0101136-09,M,400
101136,0101136-10,M,278
101136,0101136-11,M,278
101136,0101136-12,F,400
101136,0101136-13,F,400
101136,0101136-14,F,400
101136,0101136-15,F,400
101136,0101136-16,F,400
101136,0101136-17,F,400
101136,0101136-18,F,400
101136,0101136-19,F,396
101136,0101136-20,F,396
101137,0101137-01,M,400
101137,0101137-02,M,300
101137,0101137-03,M,299
101137,0101137-04,F,336
101137,0101137-05,F,336
101138,0101138-01,M,399
101138,0101138-02,M,399
101138,0101138-03,F,301
101138,0101138-04,F,301
101139,0101139-01,M,400
101139,0101139-02,M,400
101139,0101139-03,M,400
101139,0101139-04,M,400
101139,0101139-05,M,400
101139,0101139-06,M,400
101139,0101139-07,M,282
101139,0101139-08,M,281
101139,0101139-09,F,400
101139,0101139-10,F,400
101139,0101139-11,F,400
