"province_code","province_name_eng","district_code","district_name_eng","district_name_dari","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","provincial_capital","pc_code","pc_name_eng","pc_name_dari","pc_name_pashto","pc_location_eng","pc_location_dari","pc_location_pashto","planned_2019","prelim_results_2019","planned_ps_count_2019","prelim_reporting_ps_count_2019","incomplete_ps_reporting","planned_2018","prelim_results_2018","final_results_2018","prelim_ps_count_2018","final_ps_count_2018","vr_topup_location","vr_final_total_19","vr_final_male_19","vr_final_fem_19","vr_final_kuchi_19","vr_prelim_total_19","vr_prelim_male_19","vr_prelim_fem_19","vr_prelim_kuchi_19","vr_prelim_sikh_19","vr_final_total_18","vr_final_male_18","vr_final_fem_18","vr_final_kuchi_18","vr_final_sikh_18","vr_prelim_total_18"
"01","KABUL","0101","KABUL CITY","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","YES","0101029","Naderia High School","ليسه نادريه","ليسه نادريه","Kart e Parwan","کارته پروان","کارته پروان","YES","YES",13,13,"NO","YES","YES","YES",6,3,"YES",4875,3866,1009,29,3675,3020,621,29,5,3655,3002,620,29,4,3780
"01","KABUL","0101","KABUL CITY","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","YES","0101030","Omer Farooq Mosque","مسجد عمر فاروق","مسجد عمر فاروق","Kart e Parwan","کارته پروان","کارته پروان","YES","YES",8,7,"YES","YES","NO","YES",0,6,"NO",2751,2074,677,1,2706,2044,661,1,0,2680,2022,657,1,0,2825
"01","KABUL","0101","KABUL CITY","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","YES","0101031","Ma'az ibne Jabal Mosque","مسجد معاذ ابن جبل","مسجد معاذ ابن جبل","Kart e Parwan","کارته پروان","کارته پروان","YES","YES",3,3,"NO","YES","YES","YES",1,2,"NO",915,627,288,1,910,625,284,1,0,906,622,283,1,0,936
"01","KABUL","0101","KABUL CITY","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","YES","0101032","Abdullah bin Masoud Mosque","مسجد عبدالله بن مسعود","مسجد عبدالله بن مسعود","Bagh e Bala","باغ بالا","باغ بالا","YES","YES",6,6,"NO","YES","YES","YES",3,4,"NO",2069,1676,393,6,2011,1635,370,5,1,1994,1620,369,5,0,2177
"01","KABUL","0101","KABUL CITY","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","YES","0101033","Sayed Jamaluddin Experimental Secondary School","مکتب متوسطه تجربوی سید جمال الدین","مکتب متوسطه تجربوی سید جمال الدین","Sarai Ghazni","سرای غزنی","سرای غزنی","YES","YES",3,3,"NO","YES","YES","YES",3,4,"NO",1139,743,396,0,1089,707,381,0,1,1083,705,378,0,0,1122
"01","KABUL","0101","KABUL CITY","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","YES","0101034","Afghan Technology Institute","انستیتوت تکنالوژی افغان","انستیتوت تکنالوژی افغان","Kart e Chahar","کارته چهار","کارته چهار","YES","YES",6,6,"NO","YES","YES","YES",4,6,"YES",2102,1793,309,0,1823,1550,273,0,0,1817,1545,272,0,0,1920
"01","KABUL","0101","KABUL CITY","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","YES","0101035","Sayed Jamaluddin Secondary School","مکتب متوسطه سید جمال الدین","مکتب متوسطه سید جمال الدین","Kart e Chahar","کاراته چهار","کاراته چهار","YES","YES",9,9,"NO","YES","YES","YES",6,8,"NO",3250,2275,975,1,3190,2216,972,1,1,3183,2209,973,1,0,3334
"01","KABUL","0101","KABUL CITY","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","YES","0101036","Raabia Balkhi High School","لیسه رابعه بلخی","لیسه رابعه بلخی","Kart e Chahar","کاراته چهار","کاراته چهار","YES","YES",8,8,"NO","YES","YES","YES",1,2,"NO",2861,1745,1116,3,2792,1693,1096,3,0,2790,1694,1093,3,0,2886
"01","KABUL","0101","KABUL CITY","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","YES","0101037","Amir Dost Mohammad Khan School","مکتب امير دوست محمد خان","مکتب امير دوست محمد خان","Dehmazang","دهمزنگ","دهمزنگ","YES","YES",7,7,"NO","YES","YES","YES",5,4,"NO",2219,1639,580,3,2140,1624,513,3,0,2133,1617,513,3,0,2238
"01","KABUL","0101","KABUL CITY","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","YES","0101038","Hanzalla Mosque","مسجد حنظله","مسجد حنظله","Dehmazang","دهمزنگ","دهمزنگ","YES","YES",3,3,"NO","YES","YES","YES",3,2,"NO",1020,682,338,0,999,667,332,0,0,995,665,330,0,0,1074
"01","KABUL","0101","KABUL CITY","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","YES","0101039","Amir Hamza Secondary School","مکتب متوسطه امير حمزه","مکتب متوسطه امير حمزه","Nawabad Dehmazang","نو آباد دهمزنگ","نو آباد دهمزنگ","YES","YES",7,7,"NO","YES","YES","YES",4,6,"NO",2284,1710,574,0,2249,1686,559,0,4,2232,1669,563,0,0,2358
"01","KABUL","0101","KABUL CITY","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","YES","0101040","Mohammadia Mosque","مسجد محمدیه","مسجد محمدیه","Sarak e Awal","سرک اول","سرک اول","YES","YES",6,6,"NO","YES","YES","YES",3,2,"NO",1857,1310,547,0,1806,1272,533,1,0,1788,1255,532,1,0,1885
"01","KABUL","0101","KABUL CITY","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","YES","0101041","Jamal Mena, no. 13 Secondary School","مکتب متوسطه نمبر١٣ جمال مينه","مکتب متوسطه نمبر١٣ جمال مينه","Jamal Mena","جمال مينه","جمال مينه","YES","YES",6,6,"NO","YES","YES","YES",4,4,"NO",2220,1181,1039,0,2120,1130,990,0,0,2106,1116,990,0,0,2228
