"province_code","pc_code","ps_code","ps_type","audit_or_recount","prelim_results_reporting","ps_invalidated","ps_open","commission_decision"
"09","0901016","0901016-04","F","NO","NO",NA,NA,NA
"09","0901016","0901016-05","F","NO","NO",NA,NA,NA
"09","0901018","0901018-01","M","NO","NO",NA,NA,NA
"09","0901018","0901018-02","F","NO","NO",NA,NA,NA
"09","0901019","0901019-01","M","NO","NO",NA,NA,NA
"09","0901019","0901019-02","M","NO","NO",NA,NA,NA
"09","0901019","0901019-03","F","NO","NO",NA,NA,NA
"09","0901019","0901019-04","F","NO","NO",NA,NA,NA
"09","0901022","0901022-01","M","NO","NO",NA,NA,NA
"09","0901022","0901022-02","F","NO","NO",NA,NA,NA
"09","0901037","0901037-01","M","NO","NO",NA,NA,NA
"09","0901038","0901038-01","M","NO","NO",NA,NA,NA
"09","0901038","0901038-02","F","NO","NO",NA,NA,NA
"09","0901040","0901040-01","M","NO","NO",NA,NA,NA
"09","0901040","0901040-02","F","NO","NO",NA,NA,NA
"09","0901041","0901041-01","M","NO","NO",NA,NA,NA
"09","0901041","0901041-02","M","NO","NO",NA,NA,NA
"09","0901041","0901041-03","F","NO","NO",NA,NA,NA
"09","0903068","0903068-04","F","NO","NO",NA,NA,NA
"09","0903068","0903068-05","F","NO","NO",NA,NA,NA
"09","0903074","0903074-03","F","NO","NO",NA,NA,NA
"09","0903081","0903081-01","M","NO","NO",NA,NA,NA
"09","0903081","0903081-02","F","NO","NO",NA,NA,NA
"09","0903082","0903082-01","M","NO","NO",NA,NA,NA
"09","0903082","0903082-02","M","NO","NO",NA,NA,NA
"09","0903082","0903082-03","F","NO","NO",NA,NA,NA
"09","0903082","0903082-04","F","NO","NO",NA,NA,NA
"09","0903083","0903083-01","M","NO","NO",NA,NA,NA
"09","0903083","0903083-02","M","NO","NO",NA,NA,NA
"09","0903083","0903083-03","F","NO","NO",NA,NA,NA
"09","0903083","0903083-04","F","NO","NO",NA,NA,NA
"09","0903085","0903085-01","M","NO","NO",NA,NA,NA
"09","0903085","0903085-02","M","NO","NO",NA,NA,NA
"09","0903085","0903085-03","M","NO","NO",NA,NA,NA
"09","0903085","0903085-04","M","NO","NO",NA,NA,NA
"09","0903085","0903085-05","F","NO","NO",NA,NA,NA
"09","0903085","0903085-06","F","NO","NO",NA,NA,NA
"09","0903086","0903086-01","M","NO","NO",NA,NA,NA
"09","0903086","0903086-02","M","NO","NO",NA,NA,NA
"09","0903086","0903086-03","M","NO","NO",NA,NA,NA
"09","0903086","0903086-04","F","NO","NO",NA,NA,NA
"09","0903086","0903086-05","F","NO","NO",NA,NA,NA
"09","0903086","0903086-06","F","NO","NO",NA,NA,NA
"09","0903087","0903087-01","M","NO","NO",NA,NA,NA
"09","0903087","0903087-02","M","NO","NO",NA,NA,NA
"09","0903087","0903087-03","M","NO","NO",NA,NA,NA
"09","0903087","0903087-04","F","NO","NO",NA,NA,NA
"09","0903087","0903087-05","F","NO","NO",NA,NA,NA
"09","0903087","0903087-06","F","NO","NO",NA,NA,NA
"09","0903088","0903088-01","M","NO","NO",NA,NA,NA
"09","0903088","0903088-02","M","NO","NO",NA,NA,NA
"09","0903088","0903088-03","M","NO","NO",NA,NA,NA
"09","0903088","0903088-04","M","NO","NO",NA,NA,NA
"09","0903088","0903088-05","M","NO","NO",NA,NA,NA
"09","0903088","0903088-06","F","NO","NO",NA,NA,NA
"09","0903088","0903088-07","F","NO","NO",NA,NA,NA
"09","0903088","0903088-08","F","NO","NO",NA,NA,NA
"09","0903088","0903088-09","F","NO","NO",NA,NA,NA
"09","0903088","0903088-10","F","NO","NO",NA,NA,NA
"09","0903090","0903090-01","M","NO","NO",NA,NA,NA
"09","0903090","0903090-02","M","NO","NO",NA,NA,NA
"09","0903090","0903090-03","F","NO","NO",NA,NA,NA
"09","0903090","0903090-04","F","NO","NO",NA,NA,NA
"09","0903090","0903090-05","F","NO","NO",NA,NA,NA
"09","0904097","0904097-09","F","NO","NO",NA,NA,NA
"09","0904097","0904097-10","F","NO","NO",NA,NA,NA
"09","0904098","0904098-01","M","NO","NO",NA,NA,NA
"09","0904098","0904098-02","M","NO","NO",NA,NA,NA
"09","0904098","0904098-03","M","NO","NO",NA,NA,NA
"09","0904098","0904098-04","M","NO","NO",NA,NA,NA
"09","0904098","0904098-05","M","NO","NO",NA,NA,NA
"09","0904098","0904098-06","F","NO","NO",NA,NA,NA
"09","0904098","0904098-07","F","NO","NO",NA,NA,NA
"09","0904098","0904098-08","F","NO","NO",NA,NA,NA
"09","0904098","0904098-09","F","NO","NO",NA,NA,NA
"09","0904099","0904099-01","M","NO","NO",NA,NA,NA
"09","0904099","0904099-02","M","NO","NO",NA,NA,NA
"09","0904099","0904099-03","M","NO","NO",NA,NA,NA
"09","0904099","0904099-04","M","NO","NO",NA,NA,NA
"09","0904099","0904099-05","F","NO","NO",NA,NA,NA
"09","0904099","0904099-06","F","NO","NO",NA,NA,NA
"09","0904099","0904099-07","F","NO","NO",NA,NA,NA
"09","0904099","0904099-08","F","NO","NO",NA,NA,NA
"09","0904099","0904099-09","F","NO","NO",NA,NA,NA
"09","0904100","0904100-01","M","NO","NO",NA,NA,NA
"09","0904100","0904100-02","M","NO","NO",NA,NA,NA
"09","0904100","0904100-03","M","NO","NO",NA,NA,NA
"09","0904100","0904100-04","M","NO","NO",NA,NA,NA
"09","0904100","0904100-05","M","NO","NO",NA,NA,NA
"09","0904100","0904100-06","F","NO","NO",NA,NA,NA
"09","0904100","0904100-07","F","NO","NO",NA,NA,NA
"09","0904100","0904100-08","F","NO","NO",NA,NA,NA
"09","0904101","0904101-01","M","NO","NO",NA,NA,NA
"09","0904101","0904101-02","M","NO","NO",NA,NA,NA
"09","0904101","0904101-03","M","NO","NO",NA,NA,NA
"09","0904101","0904101-04","M","NO","NO",NA,NA,NA
"09","0904101","0904101-05","F","NO","NO",NA,NA,NA
"09","0904101","0904101-06","F","NO","NO",NA,NA,NA
"09","0904101","0904101-07","F","NO","NO",NA,NA,NA
