"province_code","pc_code","ps_code","ps_type","audit_or_recount","prelim_results_reporting","ps_invalidated","ps_open"
"01","0101015","0101015-02","M","NO","YES",NA,"YES"
"01","0101015","0101015-03","M","NO","YES",NA,"YES"
"01","0101015","0101015-04","M","YES","YES","NO","YES"
"01","0101015","0101015-05","M","NO","YES",NA,"YES"
"01","0101015","0101015-06","M","NO","YES",NA,"YES"
"01","0101015","0101015-07","F","NO","YES",NA,"YES"
"01","0101015","0101015-08","F","NO","YES",NA,"YES"
"01","0101015","0101015-09","F","NO","YES",NA,"YES"
"01","0101016","0101016-01","M","NO","YES",NA,"YES"
"01","0101016","0101016-02","M","NO","YES",NA,"YES"
"01","0101016","0101016-03","M","NO","YES",NA,"YES"
"01","0101016","0101016-04","F","NO","YES",NA,"YES"
"01","0101016","0101016-05","F","NO","YES",NA,"YES"
"01","0101017","0101017-01","M","NO","YES",NA,"YES"
"01","0101017","0101017-02","F","NO","YES",NA,"YES"
"01","0101018","0101018-01","M","NO","YES",NA,"YES"
"01","0101018","0101018-02","M","NO","YES",NA,"YES"
"01","0101018","0101018-03","M","YES","YES","NO","YES"
"01","0101018","0101018-04","M","NO","YES",NA,"YES"
"01","0101018","0101018-05","F","NO","YES",NA,"YES"
"01","0101018","0101018-06","F","NO","YES",NA,"YES"
"01","0101019","0101019-01","M","NO","YES",NA,"YES"
"01","0101019","0101019-02","M","NO","YES",NA,"YES"
"01","0101019","0101019-03","M","NO","YES",NA,"YES"
"01","0101019","0101019-04","M","NO","YES",NA,"YES"
"01","0101019","0101019-05","M","NO","YES",NA,"YES"
"01","0101019","0101019-06","M","NO","YES",NA,"YES"
"01","0101019","0101019-07","M","NO","YES",NA,"YES"
"01","0101019","0101019-08","F","NO","YES",NA,"YES"
"01","0101019","0101019-09","F","NO","YES",NA,"YES"
"01","0101019","0101019-10","F","NO","YES",NA,"YES"
"01","0101020","0101020-01","M","NO","YES",NA,"YES"
"01","0101020","0101020-02","M","NO","YES",NA,"YES"
"01","0101020","0101020-03","M","NO","YES",NA,"YES"
"01","0101020","0101020-04","F","NO","YES",NA,"YES"
"01","0101021","0101021-01","M","NO","YES",NA,"YES"
"01","0101021","0101021-02","M","NO","YES",NA,"YES"
"01","0101021","0101021-03","M","NO","YES",NA,"YES"
"01","0101021","0101021-04","M","NO","YES",NA,"YES"
"01","0101021","0101021-05","F","NO","YES",NA,"YES"
"01","0101022","0101022-01","M","NO","YES",NA,"YES"
"01","0101022","0101022-02","M","NO","YES",NA,"YES"
"01","0101022","0101022-03","M","NO","YES",NA,"YES"
"01","0101022","0101022-04","F","NO","YES",NA,"YES"
"01","0101023","0101023-01","M","NO","YES",NA,"YES"
"01","0101023","0101023-02","M","NO","YES",NA,"YES"
"01","0101023","0101023-03","M","NO","YES",NA,"YES"
"01","0101023","0101023-04","M","NO","YES",NA,"YES"
"01","0101023","0101023-05","M","YES","YES","NO","YES"
"01","0101023","0101023-06","F","NO","YES",NA,"YES"
"01","0101024","0101024-01","M","NO","YES",NA,"YES"
"01","0101024","0101024-02","M","NO","YES",NA,"YES"
"01","0101024","0101024-03","M","NO","YES",NA,"YES"
"01","0101024","0101024-04","M","NO","YES",NA,"YES"
"01","0101024","0101024-05","M","NO","YES",NA,"YES"
"01","0101024","0101024-06","M","NO","YES",NA,"YES"
"01","0101024","0101024-07","M","NO","YES",NA,"YES"
"01","0101024","0101024-08","F","NO","YES",NA,"YES"
"01","0101024","0101024-09","F","NO","YES",NA,"YES"
"01","0101024","0101024-10","F","NO","YES",NA,"YES"
"01","0101025","0101025-01","M","NO","YES",NA,"YES"
"01","0101025","0101025-02","M","NO","YES",NA,"YES"
"01","0101025","0101025-03","F","NO","YES",NA,"YES"
"01","0101025","0101025-04","F","NO","YES",NA,"YES"
"01","0101026","0101026-01","M","NO","YES",NA,"YES"
"01","0101026","0101026-02","M","NO","YES",NA,"YES"
"01","0101026","0101026-03","M","NO","YES",NA,"YES"
"01","0101026","0101026-04","M","NO","YES",NA,"YES"
"01","0101026","0101026-05","M","NO","YES",NA,"YES"
"01","0101026","0101026-06","M","NO","YES",NA,"YES"
"01","0101026","0101026-07","M","NO","YES",NA,"YES"
"01","0101026","0101026-08","M","NO","YES",NA,"YES"
"01","0101026","0101026-09","F","NO","YES",NA,"YES"
"01","0101026","0101026-10","F","NO","YES",NA,"YES"
"01","0101026","0101026-11","F","NO","YES",NA,"YES"
"01","0101027","0101027-01","M","NO","YES",NA,"YES"
"01","0101027","0101027-02","M","NO","YES",NA,"YES"
"01","0101027","0101027-03","F","NO","YES",NA,"YES"
"01","0101028","0101028-01","M","NO","YES",NA,"YES"
"01","0101028","0101028-02","M","NO","YES",NA,"YES"
"01","0101028","0101028-03","M","NO","YES",NA,"YES"
"01","0101028","0101028-04","F","NO","YES",NA,"YES"
"01","0101028","0101028-05","F","NO","YES",NA,"YES"
"01","0101029","0101029-01","M","NO","YES",NA,"YES"
"01","0101029","0101029-02","M","NO","YES",NA,"YES"
"01","0101029","0101029-03","M","NO","YES",NA,"YES"
"01","0101029","0101029-04","M","NO","YES",NA,"YES"
"01","0101029","0101029-05","M","NO","YES",NA,"YES"
"01","0101029","0101029-06","M","NO","YES",NA,"YES"
"01","0101029","0101029-07","M","NO","YES",NA,"YES"
"01","0101029","0101029-08","M","NO","YES",NA,"YES"
"01","0101029","0101029-09","M","NO","YES",NA,"YES"
"01","0101029","0101029-10","M","NO","YES",NA,"YES"
"01","0101029","0101029-11","F","NO","YES",NA,"YES"
"01","0101029","0101029-12","F","NO","YES",NA,"YES"
"01","0101029","0101029-13","F","NO","YES",NA,"YES"
"01","0101030","0101030-01","M","NO","YES",NA,"YES"
"01","0101030","0101030-02","M","NO","YES",NA,"YES"
"01","0101030","0101030-03","M","NO","YES",NA,"YES"
"01","0101030","0101030-04","M","NO","YES",NA,"YES"
"01","0101030","0101030-05","M","NO","YES",NA,"YES"
"01","0101030","0101030-06","M","NO","YES",NA,"YES"
"01","0101030","0101030-07","F","NO","YES",NA,"YES"
"01","0101030","0101030-08","F","YES","NO","YES","YES"
"01","0101031","0101031-01","M","NO","YES",NA,"YES"
"01","0101031","0101031-02","M","NO","YES",NA,"YES"
"01","0101031","0101031-03","F","YES","YES","NO","YES"
"01","0101032","0101032-01","M","NO","YES",NA,"YES"
"01","0101032","0101032-02","M","NO","YES",NA,"YES"
"01","0101032","0101032-03","M","NO","YES",NA,"YES"
"01","0101032","0101032-04","M","NO","YES",NA,"YES"
"01","0101032","0101032-05","M","NO","YES",NA,"YES"
"01","0101032","0101032-06","F","NO","YES",NA,"YES"
"01","0101033","0101033-01","M","NO","YES",NA,"YES"
"01","0101033","0101033-02","M","NO","YES",NA,"YES"
"01","0101033","0101033-03","F","NO","YES",NA,"YES"
"01","0101034","0101034-01","M","NO","YES",NA,"YES"
"01","0101034","0101034-02","M","NO","YES",NA,"YES"
"01","0101034","0101034-03","M","NO","YES",NA,"YES"
"01","0101034","0101034-04","M","NO","YES",NA,"YES"
"01","0101034","0101034-05","M","NO","YES",NA,"YES"
"01","0101034","0101034-06","F","NO","YES",NA,"YES"
"01","0101035","0101035-01","M","NO","YES",NA,"YES"
"01","0101035","0101035-02","M","NO","YES",NA,"YES"
"01","0101035","0101035-03","M","NO","YES",NA,"YES"
"01","0101035","0101035-04","M","YES","YES","NO","YES"
"01","0101035","0101035-05","M","NO","YES",NA,"YES"
"01","0101035","0101035-06","M","NO","YES",NA,"YES"
"01","0101035","0101035-07","F","NO","YES",NA,"YES"
"01","0101035","0101035-08","F","NO","YES",NA,"YES"
"01","0101035","0101035-09","F","NO","YES",NA,"YES"
"01","0101036","0101036-01","M","NO","YES",NA,"YES"
"01","0101036","0101036-02","M","NO","YES",NA,"YES"
"01","0101036","0101036-03","M","NO","YES",NA,"YES"
"01","0101036","0101036-04","M","NO","YES",NA,"YES"
"01","0101036","0101036-05","M","NO","YES",NA,"YES"
"01","0101036","0101036-06","F","NO","YES",NA,"YES"
"01","0101036","0101036-07","F","NO","YES",NA,"YES"
"01","0101036","0101036-08","F","NO","YES",NA,"YES"
"01","0101037","0101037-01","M","NO","YES",NA,"YES"
"01","0101037","0101037-02","M","NO","YES",NA,"YES"
"01","0101037","0101037-03","M","NO","YES",NA,"YES"
"01","0101037","0101037-04","M","NO","YES",NA,"YES"
"01","0101037","0101037-05","M","NO","YES",NA,"YES"
"01","0101037","0101037-06","F","NO","YES",NA,"YES"
"01","0101037","0101037-07","F","NO","YES",NA,"YES"
"01","0101038","0101038-01","M","NO","YES",NA,"YES"
"01","0101038","0101038-02","M","NO","YES",NA,"YES"
"01","0101038","0101038-03","F","NO","YES",NA,"YES"
"01","0101039","0101039-01","M","NO","YES",NA,"YES"
"01","0101039","0101039-02","M","NO","YES",NA,"YES"
"01","0101039","0101039-03","M","NO","YES",NA,"YES"
"01","0101039","0101039-04","M","NO","YES",NA,"YES"
"01","0101039","0101039-05","M","NO","YES",NA,"YES"
"01","0101039","0101039-06","F","NO","YES",NA,"YES"
"01","0101039","0101039-07","F","NO","YES",NA,"YES"
"01","0101040","0101040-01","M","NO","YES",NA,"YES"
"01","0101040","0101040-02","M","NO","YES",NA,"YES"
"01","0101040","0101040-03","M","NO","YES",NA,"YES"
"01","0101040","0101040-04","M","NO","YES",NA,"YES"
"01","0101040","0101040-05","F","NO","YES",NA,"YES"
"01","0101040","0101040-06","F","NO","YES",NA,"YES"
"01","0101041","0101041-01","M","YES","YES","YES","YES"
"01","0101041","0101041-02","M","NO","YES",NA,"YES"
"01","0101041","0101041-03","M","NO","YES",NA,"YES"
"01","0101041","0101041-04","F","NO","YES",NA,"YES"
"01","0101041","0101041-05","F","NO","YES",NA,"YES"
"01","0101041","0101041-06","F","NO","YES",NA,"YES"
"01","0101042","0101042-01","M","NO","YES",NA,"YES"
"01","0101042","0101042-02","M","NO","YES",NA,"YES"
"01","0101042","0101042-03","M","NO","YES",NA,"YES"
"01","0101042","0101042-04","M","NO","YES",NA,"YES"
"01","0101042","0101042-05","M","NO","YES",NA,"YES"
"01","0101042","0101042-06","M","NO","YES",NA,"YES"
"01","0101042","0101042-07","M","NO","YES",NA,"YES"
"01","0101042","0101042-08","M","NO","YES",NA,"YES"
"01","0101042","0101042-09","F","NO","YES",NA,"YES"
"01","0101042","0101042-10","F","NO","YES",NA,"YES"
"01","0101042","0101042-11","F","NO","YES",NA,"YES"
"01","0101042","0101042-12","F","NO","YES",NA,"YES"
"01","0101043","0101043-01","M","NO","YES",NA,"YES"
"01","0101043","0101043-02","M","NO","YES",NA,"YES"
"01","0101043","0101043-03","M","NO","YES",NA,"YES"
"01","0101043","0101043-04","M","NO","YES",NA,"YES"
"01","0101043","0101043-05","M","NO","YES",NA,"YES"
"01","0101043","0101043-06","M","NO","YES",NA,"YES"
"01","0101043","0101043-07","F","NO","YES",NA,"YES"
"01","0101043","0101043-08","F","NO","YES",NA,"YES"
"01","0101043","0101043-09","F","NO","YES",NA,"YES"
"01","0101044","0101044-01","M","NO","YES",NA,"YES"
"01","0101044","0101044-02","M","NO","YES",NA,"YES"
"01","0101044","0101044-03","M","NO","YES",NA,"YES"
"01","0101044","0101044-04","M","NO","YES",NA,"YES"
"01","0101044","0101044-05","M","NO","YES",NA,"YES"
"01","0101044","0101044-06","F","NO","YES",NA,"YES"
"01","0101044","0101044-07","F","NO","YES",NA,"YES"
"01","0101044","0101044-08","F","NO","YES",NA,"YES"
"01","0101045","0101045-01","M","YES","YES","NO","YES"
"01","0101045","0101045-02","M","NO","YES",NA,"YES"
"01","0101045","0101045-03","M","YES","YES","NO","YES"
"01","0101045","0101045-04","F","YES","YES","NO","YES"
"01","0101046","0101046-01","M","YES","YES","NO","YES"
"01","0101046","0101046-02","M","YES","YES","NO","YES"
"01","0101046","0101046-03","M","YES","YES","NO","YES"
"01","0101046","0101046-04","M","YES","YES","NO","YES"
"01","0101046","0101046-05","M","YES","YES","NO","YES"
"01","0101046","0101046-06","M","YES","YES","NO","YES"
"01","0101046","0101046-07","M","YES","YES","NO","YES"
"01","0101046","0101046-08","M","YES","YES","NO","YES"
"01","0101046","0101046-09","M","YES","YES","NO","YES"
"01","0101046","0101046-10","F","YES","YES","YES","YES"
"01","0101046","0101046-11","F","YES","YES","NO","YES"
"01","0101046","0101046-12","F","YES","YES","NO","YES"
"01","0101046","0101046-13","F","YES","YES","NO","YES"
"01","0101046","0101046-14","F","YES","YES","NO","YES"
"01","0101047","0101047-01","M","YES","YES","NO","YES"
"01","0101047","0101047-02","M","NO","YES",NA,"YES"
"01","0101047","0101047-03","M","NO","YES",NA,"YES"
"01","0101047","0101047-04","M","NO","YES",NA,"YES"
"01","0101047","0101047-05","M","NO","YES",NA,"YES"
"01","0101047","0101047-06","M","NO","YES",NA,"YES"
"01","0101047","0101047-07","M","NO","YES",NA,"YES"
"01","0101047","0101047-08","M","NO","YES",NA,"YES"
"01","0101047","0101047-09","M","NO","YES",NA,"YES"
"01","0101047","0101047-10","M","NO","YES",NA,"YES"
"01","0101047","0101047-11","M","NO","YES",NA,"YES"
"01","0101047","0101047-12","F","NO","YES",NA,"YES"
"01","0101047","0101047-13","F","NO","YES",NA,"YES"
"01","0101047","0101047-14","F","YES","YES","NO","YES"
"01","0101048","0101048-01","M","NO","YES",NA,"YES"
"01","0101048","0101048-02","M","NO","YES",NA,"YES"
"01","0101048","0101048-03","M","YES","YES","NO","YES"
"01","0101048","0101048-04","M","NO","YES",NA,"YES"
"01","0101048","0101048-05","F","YES","YES","NO","YES"
"01","0101048","0101048-06","F","NO","YES",NA,"YES"
"01","0101049","0101049-01","M","YES","YES","NO","YES"
"01","0101049","0101049-02","M","YES","YES","NO","YES"
"01","0101049","0101049-03","M","YES","YES","NO","YES"
"01","0101049","0101049-04","M","NO","YES",NA,"YES"
"01","0101049","0101049-05","M","YES","YES","NO","YES"
"01","0101049","0101049-06","F","YES","YES","NO","YES"
"01","0101049","0101049-07","F","YES","YES","NO","YES"
"01","0101049","0101049-08","F","NO","YES",NA,"YES"
"01","0101049","0101049-09","F","YES","YES","NO","YES"
"01","0101050","0101050-01","M","NO","YES",NA,"YES"
"01","0101050","0101050-02","M","NO","YES",NA,"YES"
"01","0101050","0101050-03","M","NO","YES",NA,"YES"
"01","0101050","0101050-04","M","NO","YES",NA,"YES"
"01","0101050","0101050-05","M","NO","YES",NA,"YES"
"01","0101050","0101050-06","F","NO","YES",NA,"YES"
"01","0101050","0101050-07","F","NO","YES",NA,"YES"
"01","0101051","0101051-01","M","NO","YES",NA,"YES"
"01","0101051","0101051-02","M","NO","YES",NA,"YES"
"01","0101051","0101051-03","M","NO","YES",NA,"YES"
"01","0101051","0101051-04","F","NO","YES",NA,"YES"
"01","0101051","0101051-05","F","NO","YES",NA,"YES"
"01","0101052","0101052-01","M","NO","YES",NA,"YES"
"01","0101052","0101052-02","M","NO","YES",NA,"YES"
"01","0101052","0101052-03","M","NO","YES",NA,"YES"
"01","0101052","0101052-04","M","NO","YES",NA,"YES"
"01","0101052","0101052-05","F","NO","YES",NA,"YES"
"01","0101052","0101052-06","F","NO","YES",NA,"YES"
"01","0101053","0101053-01","M","NO","YES",NA,"YES"
"01","0101053","0101053-02","M","NO","YES",NA,"YES"
"01","0101053","0101053-03","F","NO","YES",NA,"YES"
"01","0101054","0101054-01","M","NO","YES",NA,"YES"
"01","0101054","0101054-02","M","NO","YES",NA,"YES"
"01","0101054","0101054-03","M","NO","YES",NA,"YES"
"01","0101054","0101054-04","M","NO","YES",NA,"YES"
"01","0101054","0101054-05","M","NO","YES",NA,"YES"
"01","0101054","0101054-06","F","NO","YES",NA,"YES"
"01","0101055","0101055-01","M","NO","YES",NA,"YES"
"01","0101055","0101055-02","M","NO","YES",NA,"YES"
"01","0101055","0101055-03","F","NO","YES",NA,"YES"
"01","0101056","0101056-01","M","NO","YES",NA,"YES"
"01","0101056","0101056-02","M","NO","YES",NA,"YES"
"01","0101056","0101056-03","M","NO","YES",NA,"YES"
"01","0101056","0101056-04","M","NO","YES",NA,"YES"
"01","0101056","0101056-05","M","NO","YES",NA,"YES"
"01","0101056","0101056-06","M","YES","YES","NO","YES"
"01","0101056","0101056-07","F","NO","YES",NA,"YES"
"01","0101057","0101057-01","M","NO","YES",NA,"YES"
"01","0101057","0101057-02","M","NO","YES",NA,"YES"
"01","0101057","0101057-03","M","NO","YES",NA,"YES"
"01","0101057","0101057-04","M","NO","YES",NA,"YES"
"01","0101057","0101057-05","M","YES","YES","NO","YES"
"01","0101057","0101057-06","M","NO","YES",NA,"YES"
"01","0101057","0101057-07","M","NO","YES",NA,"YES"
"01","0101057","0101057-08","F","NO","YES",NA,"YES"
"01","0101057","0101057-09","F","YES","YES","NO","YES"
"01","0101057","0101057-10","F","NO","YES",NA,"YES"
"01","0101058","0101058-01","M","NO","YES",NA,"YES"
"01","0101058","0101058-02","M","NO","YES",NA,"YES"
"01","0101058","0101058-03","M","NO","YES",NA,"YES"
"01","0101058","0101058-04","M","NO","YES",NA,"YES"
"01","0101058","0101058-05","F","NO","YES",NA,"YES"
"01","0101058","0101058-06","F","NO","YES",NA,"YES"
"01","0101059","0101059-01","M","NO","YES",NA,"YES"
"01","0101059","0101059-02","M","YES","YES","NO","YES"
"01","0101059","0101059-03","M","YES","YES","NO","YES"
"01","0101059","0101059-04","M","YES","YES","NO","YES"
"01","0101059","0101059-05","M","NO","YES",NA,"YES"
"01","0101059","0101059-06","M","NO","YES",NA,"YES"
"01","0101059","0101059-07","M","YES","YES","NO","YES"
"01","0101059","0101059-08","M","YES","YES","NO","YES"
"01","0101059","0101059-09","M","NO","YES",NA,"YES"
"01","0101059","0101059-10","M","NO","YES",NA,"YES"
"01","0101059","0101059-11","M","YES","YES","NO","YES"
"01","0101059","0101059-12","M","YES","YES","NO","YES"
"01","0101059","0101059-13","F","YES","YES","NO","YES"
"01","0101059","0101059-14","F","YES","YES","NO","YES"
"01","0101059","0101059-15","F","YES","YES","NO","YES"
"01","0101059","0101059-16","F","NO","YES",NA,"YES"
"01","0101059","0101059-17","F","YES","YES","NO","YES"
"01","0101059","0101059-18","F","YES","YES","NO","YES"
"01","0101059","0101059-19","F","YES","NO","YES","YES"
"01","0101060","0101060-01","M","NO","YES",NA,"YES"
"01","0101060","0101060-02","M","NO","YES",NA,"YES"
"01","0101060","0101060-03","M","NO","YES",NA,"YES"
"01","0101060","0101060-04","M","NO","YES",NA,"YES"
"01","0101060","0101060-05","M","NO","YES",NA,"YES"
"01","0101060","0101060-06","M","NO","YES",NA,"YES"
"01","0101060","0101060-07","F","NO","YES",NA,"YES"
"01","0101060","0101060-08","F","NO","YES",NA,"YES"
"01","0101060","0101060-09","F","NO","YES",NA,"YES"
"01","0101060","0101060-10","F","NO","YES",NA,"YES"
"01","0101061","0101061-01","M","YES","YES","NO","YES"
"01","0101061","0101061-02","M","NO","YES",NA,"YES"
"01","0101061","0101061-03","M","NO","YES",NA,"YES"
"01","0101061","0101061-04","M","NO","YES",NA,"YES"
"01","0101061","0101061-05","M","NO","YES",NA,"YES"
"01","0101061","0101061-06","M","NO","YES",NA,"YES"
"01","0101061","0101061-07","M","NO","YES",NA,"YES"
"01","0101061","0101061-08","M","YES","YES","YES","YES"
"01","0101061","0101061-09","M","NO","YES",NA,"YES"
"01","0101061","0101061-10","M","NO","YES",NA,"YES"
"01","0101061","0101061-11","M","NO","YES",NA,"YES"
"01","0101061","0101061-12","F","NO","YES",NA,"YES"
"01","0101061","0101061-13","F","NO","YES",NA,"YES"
"01","0101061","0101061-14","F","NO","YES",NA,"YES"
"01","0101061","0101061-15","F","NO","YES",NA,"YES"
"01","0101061","0101061-16","F","NO","YES",NA,"YES"
"01","0101061","0101061-17","F","NO","YES",NA,"YES"
"01","0101061","0101061-18","F","NO","YES",NA,"YES"
"01","0101061","0101061-19","F","NO","YES",NA,"YES"
"01","0101061","0101061-20","F","NO","YES",NA,"YES"
"01","0101062","0101062-01","M","NO","YES",NA,"YES"
"01","0101062","0101062-02","M","NO","YES",NA,"YES"
"01","0101062","0101062-03","M","NO","YES",NA,"YES"
"01","0101062","0101062-04","M","NO","YES",NA,"YES"
"01","0101062","0101062-05","M","NO","YES",NA,"YES"
"01","0101062","0101062-06","M","NO","YES",NA,"YES"
"01","0101062","0101062-07","M","NO","YES",NA,"YES"
"01","0101062","0101062-08","M","NO","YES",NA,"YES"
"01","0101062","0101062-09","M","NO","YES",NA,"YES"
"01","0101062","0101062-10","M","YES","YES","NO","YES"
"01","0101062","0101062-11","F","NO","YES",NA,"YES"
"01","0101062","0101062-12","F","NO","YES",NA,"YES"
"01","0101062","0101062-13","F","YES","YES","YES","YES"
"01","0101062","0101062-14","F","NO","YES",NA,"YES"
"01","0101062","0101062-15","F","NO","YES",NA,"YES"
"01","0101062","0101062-16","F","YES","YES","NO","YES"
"01","0101063","0101063-01","M","NO","YES",NA,"YES"
"01","0101063","0101063-02","M","NO","YES",NA,"YES"
"01","0101063","0101063-03","M","NO","YES",NA,"YES"
"01","0101063","0101063-04","M","NO","YES",NA,"YES"
"01","0101063","0101063-05","M","NO","YES",NA,"YES"
"01","0101063","0101063-06","M","YES","YES","NO","YES"
"01","0101063","0101063-07","F","NO","YES",NA,"YES"
"01","0101063","0101063-08","F","NO","YES",NA,"YES"
"01","0101063","0101063-09","F","NO","YES",NA,"YES"
"01","0101064","0101064-01","M","NO","YES",NA,"YES"
"01","0101064","0101064-02","M","NO","YES",NA,"YES"
"01","0101064","0101064-03","M","NO","YES",NA,"YES"
"01","0101064","0101064-04","M","NO","YES",NA,"YES"
"01","0101064","0101064-05","M","NO","YES",NA,"YES"
"01","0101064","0101064-06","M","NO","YES",NA,"YES"
"01","0101064","0101064-07","F","NO","YES",NA,"YES"
"01","0101064","0101064-08","F","NO","YES",NA,"YES"
"01","0101064","0101064-09","F","NO","YES",NA,"YES"
"01","0101065","0101065-01","M","NO","YES",NA,"YES"
"01","0101065","0101065-02","M","NO","YES",NA,"YES"
"01","0101065","0101065-03","M","NO","YES",NA,"YES"
"01","0101065","0101065-04","M","NO","YES",NA,"YES"
"01","0101065","0101065-05","M","NO","YES",NA,"YES"
"01","0101065","0101065-06","M","YES","YES","NO","YES"
"01","0101065","0101065-07","M","NO","YES",NA,"YES"
"01","0101065","0101065-08","F","YES","YES","NO","YES"
"01","0101065","0101065-09","F","NO","YES",NA,"YES"
"01","0101066","0101066-01","M","YES","YES","NO","YES"
"01","0101066","0101066-02","M","NO","YES",NA,"YES"
"01","0101066","0101066-03","M","YES","YES","NO","YES"
"01","0101066","0101066-04","M","YES","YES","NO","YES"
"01","0101066","0101066-05","F","NO","YES",NA,"YES"
"01","0101067","0101067-01","M","NO","YES",NA,"YES"
"01","0101067","0101067-02","M","NO","YES",NA,"YES"
"01","0101067","0101067-03","M","NO","YES",NA,"YES"
"01","0101067","0101067-04","M","NO","YES",NA,"YES"
"01","0101067","0101067-05","M","NO","YES",NA,"YES"
"01","0101067","0101067-06","M","YES","YES","NO","YES"
"01","0101067","0101067-07","F","NO","YES",NA,"YES"
"01","0101067","0101067-08","F","NO","YES",NA,"YES"
"01","0101068","0101068-01","M","NO","YES",NA,"YES"
"01","0101068","0101068-02","M","NO","YES",NA,"YES"
"01","0101068","0101068-03","M","NO","YES",NA,"YES"
"01","0101068","0101068-04","M","NO","YES",NA,"YES"
"01","0101068","0101068-05","M","NO","YES",NA,"YES"
"01","0101068","0101068-06","F","NO","YES",NA,"YES"
"01","0101069","0101069-01","M","NO","YES",NA,"YES"
"01","0101069","0101069-02","M","YES","YES","NO","YES"
"01","0101069","0101069-03","M","YES","YES","NO","YES"
"01","0101069","0101069-04","M","YES","YES","NO","YES"
"01","0101069","0101069-05","F","NO","YES",NA,"YES"
"01","0101069","0101069-06","F","NO","YES",NA,"YES"
"01","0101070","0101070-01","M","YES","YES","NO","YES"
"01","0101070","0101070-02","M","YES","YES","NO","YES"
"01","0101070","0101070-03","M","NO","YES",NA,"YES"
"01","0101070","0101070-04","M","NO","YES",NA,"YES"
"01","0101070","0101070-05","M","NO","YES",NA,"YES"
"01","0101070","0101070-06","M","YES","YES","NO","YES"
"01","0101070","0101070-07","F","NO","YES",NA,"YES"
"01","0101070","0101070-08","F","NO","YES",NA,"YES"
"01","0101070","0101070-09","F","YES","YES","NO","YES"
"01","0101070","0101070-10","F","NO","YES",NA,"YES"
"01","0101070","0101070-11","F","NO","YES",NA,"YES"
"01","0101071","0101071-01","M","NO","YES",NA,"YES"
