"election_date","results_date","election_type","results_status","province_code","province_name_eng","province_name_dari","district_code","district_name_eng","district_name_dari","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","provincial_capital","candidate_code","ballot_position","candidate_name_eng","candidate_name_dari","candidate_gender","party_name_dari","past_winner","final_winner","male_ps_votes","fem_ps_votes","kuchi_ps_votes","votes"
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-04","KABUL NAHIA 04","کابل ناحيه 04","YES",4657143,4,"Eng. Moin-ul-din Ulfati","انجنير معين الدين الفتی","M","مستقل","NO","NO",5,4,0,9
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-05","KABUL NAHIA 05","کابل ناحيه 05","YES",4657143,4,"Eng. Moin-ul-din Ulfati","انجنير معين الدين الفتی","M","مستقل","NO","NO",12,5,1,18
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-06","KABUL NAHIA 06","کابل ناحيه 06","YES",4657143,4,"Eng. Moin-ul-din Ulfati","انجنير معين الدين الفتی","M","مستقل","NO","NO",49,41,0,90
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-07","KABUL NAHIA 07","کابل ناحيه 07","YES",4657143,4,"Eng. Moin-ul-din Ulfati","انجنير معين الدين الفتی","M","مستقل","NO","NO",68,24,0,92
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-08","KABUL NAHIA 08","کابل ناحيه 08","YES",4657143,4,"Eng. Moin-ul-din Ulfati","انجنير معين الدين الفتی","M","مستقل","NO","NO",9,3,0,12
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-09","KABUL NAHIA 09","کابل ناحيه 09","YES",4657143,4,"Eng. Moin-ul-din Ulfati","انجنير معين الدين الفتی","M","مستقل","NO","NO",11,3,0,14
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-10","KABUL NAHIA 10","کابل ناحيه 10","YES",4657143,4,"Eng. Moin-ul-din Ulfati","انجنير معين الدين الفتی","M","مستقل","NO","NO",21,12,0,33
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-11","KABUL NAHIA 11","کابل ناحيه 11","YES",4657143,4,"Eng. Moin-ul-din Ulfati","انجنير معين الدين الفتی","M","مستقل","NO","NO",10,5,0,15
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-12","KABUL NAHIA 12","کابل ناحيه 12","YES",4657143,4,"Eng. Moin-ul-din Ulfati","انجنير معين الدين الفتی","M","مستقل","NO","NO",3,0,0,3
2009-08-20,2009-09-16,"PRESIDENTIAL","PRELIMINARY","01","KABUL","کابل","0101","KABUL","کابل","0101-13","KABUL NAHIA 13","کابل ناحيه 13","YES",4657143,4,"Eng. Moin-ul-din Ulfati","انجنير معين الدين الفتی","M","مستقل","NO","NO",77,50,0,127
