"province_code","province_name_eng","district_sub_code","district_or_subdivision_name_eng","provincial_capital","ps_planned","ps_reporting","ps_audited","missing_bvv_ps_reporting","missing_bvv_new_votes","ps_reporting_zero_votes","ps_reporting_excess_turnout","ps_added_votes_in_audit","known_bvv_votes_under_audit","known_net_change_from_audit","total_vr","total_preliminary_votes","turnout","candidate_1","candidate_2","candidate_3","candidate_5","candidate_6","candidate_7","candidate_8","candidate_9","candidate_10","candidate_11","candidate_12","candidate_15","candidate_16","candidate_17"
"01","KABUL","0101-15","KABUL CITY NAHIA 15","YES",214,214,50,0,0,7,0,2,3298,-217,74102,16160,0.218077784675177,243,204,76,84,2,11,4565,10095,118,494,147,49,64,8
"01","KABUL","0101-16","KABUL CITY NAHIA 16","YES",126,126,14,0,0,2,0,1,1285,-80,44138,12688,0.287462050840546,127,192,47,32,2,27,7213,4217,76,576,53,4,114,8
"01","KABUL","0101-17","KABUL CITY NAHIA 17","YES",149,149,30,0,0,5,0,4,1332,-110,56287,7409,0.131628972942242,94,77,40,33,0,5,1966,4548,52,503,84,3,2,2
"01","KABUL","0101-18","KABUL CITY NAHIA 18","YES",42,42,5,0,0,0,0,0,239,-12,14715,2085,0.141692150866463,71,24,4,5,5,0,1072,758,8,83,3,1,50,1
"01","KABUL","0101-19","KABUL CITY NAHIA 19","YES",36,36,4,0,0,1,0,0,331,-13,13603,3399,0.249871351907667,10,7,4,0,0,3,3082,198,11,80,2,0,1,1
"01","KABUL","0101-21","KABUL CITY NAHIA 21","YES",173,172,79,1,0,32,0,11,1960,160,65103,4147,0.0636990614871819,3,24,0,0,1,8,3870,90,5,143,1,0,0,2
"01","KABUL","0101-22","KABUL CITY NAHIA 22","YES",19,19,0,0,0,0,0,0,0,0,7368,725,0.0983984799131379,5,3,0,1,0,2,649,33,4,27,0,0,1,0
"01","KABUL","0102","PAGHMAN","NO",176,176,6,0,0,3,0,1,13,8,60545,6800,0.11231315550417,69,122,22,6,4,43,4569,1302,37,602,6,0,17,1
"01","KABUL","0103","CHAHARASYAB","NO",100,100,8,1,1,1,0,1,620,-6,35880,5605,0.156215161649944,10,55,9,3,3,111,4514,363,24,503,6,2,1,1
"01","KABUL","0104","BAGRAMI","NO",239,239,51,1,27,8,0,15,3822,56,87785,13879,0.158102181466082,66,102,18,6,4,17,11224,1561,51,811,10,2,3,4
"01","KABUL","0105","DEHSABZ","NO",124,117,32,7,0,4,0,6,662,3,43744,4817,0.110117959034382,21,41,8,2,0,10,3048,1193,11,446,6,2,25,4
"01","KABUL","0106","SHAKARDARA","NO",118,117,13,1,0,2,0,2,662,-19,41788,6067,0.145185220637504,34,45,19,5,1,5,3301,2004,32,612,5,2,1,1
"01","KABUL","0107","MOSAHI","NO",80,59,37,6,0,20,0,3,506,-48,28636,1189,0.0415211621734879,1,5,0,0,0,1,1048,80,0,52,1,1,0,0
"01","KABUL","0108","MIRBACHAKOT","NO",69,69,3,0,0,1,0,1,53,4,22792,3645,0.159924534924535,22,22,15,4,0,0,430,2875,22,237,13,2,1,2
"01","KABUL","0109","KHAKEJABAR","NO",51,41,41,8,0,3,0,6,1939,-9,18417,2392,0.129880002171906,4,0,0,1,0,1,1873,342,1,168,0,1,1,0
"01","KABUL","0110","KALAKAN","NO",43,42,3,1,0,0,0,1,138,3,14327,3330,0.232428282264256,13,10,8,5,0,5,918,2029,19,307,14,1,0,1
"01","KABUL","0111","GULDARA","NO",28,28,1,0,0,0,0,1,88,8,8645,1244,0.143898207056102,9,7,10,3,0,3,543,538,10,114,6,0,0,1
"01","KABUL","0112","FARZA","NO",35,35,0,0,0,0,0,0,0,0,10750,2314,0.215255813953488,22,20,2,0,1,2,1534,456,4,268,2,2,0,1
"01","KABUL","0113","ISTALIF","NO",39,39,0,0,0,0,0,0,0,0,12835,2515,0.195948578106739,8,11,10,2,0,0,406,1660,6,403,0,4,2,3
"01","KABUL","0114","QARABAGH","NO",134,132,42,2,0,8,0,2,1180,-81,47825,5616,0.11742812336644,9,24,12,2,0,4,3604,1398,17,533,8,1,1,3
"01","KABUL","0115","SUROBI","NO",166,144,139,22,0,36,0,8,5141,-298,59080,5958,0.100846310088016,22,23,1,1,1,2,5537,179,12,178,1,0,0,1
"02","KAPISA","0201","MAHMODRAQI","YES",89,88,31,1,0,4,0,2,1425,-120,30174,3675,0.121793597136608,12,40,9,6,1,7,1546,1527,14,480,8,23,0,2
"02","KAPISA","0202","HISSA-E-DUWUMI KOHISTAN","NO",66,66,16,0,0,2,0,1,577,-11,23118,2343,0.101349597716065,11,19,11,6,0,1,279,1726,9,253,13,14,1,0
"02","KAPISA","0203","KOHBAND","NO",61,51,49,8,0,8,0,2,690,-49,21529,1017,0.047238608388685,7,13,2,8,0,0,355,493,5,127,1,6,0,0
"02","KAPISA","0204","HESE  AWAL KOHESTAN","NO",90,90,6,0,0,1,0,0,316,-38,29551,3101,0.104937227166593,15,22,26,29,0,0,226,2241,19,495,16,9,3,0
"02","KAPISA","0205","NEJRAB","NO",103,91,43,6,0,3,0,0,803,-65,33268,1968,0.0591559456534808,9,14,11,5,0,0,409,1023,11,347,19,120,0,0
"02","KAPISA","0206","TAGAB","NO",60,48,44,12,0,7,0,2,1365,-64,19665,1930,0.0981439105008899,2,12,0,0,1,6,1746,42,8,109,0,4,0,0
"02","KAPISA","0207","ALASAY","NO",12,2,0,0,0,1,0,0,0,0,3513,80,0.0227725590663251,0,1,0,0,0,0,38,37,0,3,0,0,1,0
"03","PARWAN","0301","CHARIKAR","YES",177,176,13,1,0,0,0,0,629,-32,54991,8627,0.156880216762743,64,129,86,27,0,4,964,6182,34,1067,48,16,3,3
"03","PARWAN","0302","BAGRAM","NO",148,148,10,0,0,2,0,0,443,-37,50466,8144,0.161375975904569,24,64,31,38,0,5,2110,4926,37,832,60,13,0,4
"03","PARWAN","0303","SHINWARI","NO",44,39,11,4,0,3,0,0,86,-8,15039,672,0.0446838220626371,1,10,2,0,0,0,384,114,4,157,0,0,0,0
"03","PARWAN","0304","SAYDKHEL","NO",64,62,19,2,0,2,1,0,556,-87,18953,2429,0.128159130480663,10,23,16,5,0,3,148,1890,10,313,6,4,0,1
"03","PARWAN","0305","JABALUSARAJ","NO",78,78,6,0,0,1,1,0,272,-21,22785,3673,0.161202545534343,48,27,27,17,1,1,627,2777,11,112,19,3,0,3
"03","PARWAN","0306","SALANG","NO",49,49,0,0,0,0,0,0,0,0,13902,3194,0.22975111494749,17,18,19,13,3,6,485,2488,18,100,12,6,3,6
"03","PARWAN","0307","GHORBAND (SIA GERD)","NO",39,39,19,0,0,1,0,1,818,55,13682,1537,0.112337377576378,15,17,2,3,1,3,1062,237,5,186,3,1,2,0
"03","PARWAN","0308","KOHESAFI","NO",25,20,8,5,0,2,0,0,62,-4,6207,978,0.157564040599323,0,5,0,3,0,1,780,33,1,155,0,0,0,0
"03","PARWAN","0309","SURKH PARSA","NO",45,45,16,0,0,2,0,0,793,-136,13106,2346,0.179001983824203,26,41,8,8,1,3,636,1230,18,308,11,39,16,1
"03","PARWAN","0310","SHIKHALI","NO",35,35,4,0,0,0,0,0,301,-5,9804,1611,0.164320685434517,52,23,12,4,0,4,587,571,9,94,6,0,246,3
"04","MAYDANWARDAK","0401","MAYDANSHAHR","YES",73,40,30,22,0,8,0,0,1,-1,22629,411,0.0181625348004773,12,3,2,0,0,2,220,36,1,135,0,0,0,0
"04","MAYDANWARDAK","0402","NIRKH","NO",49,1,31,30,0,0,0,0,40,0,15770,40,0.00253646163601776,0,0,0,0,0,0,32,2,0,6,0,0,0,0
"04","MAYDANWARDAK","0403","JALRIZ","NO",51,8,5,5,0,0,0,0,0,0,15836,568,0.0358676433442789,43,1,2,0,1,0,37,464,3,1,8,0,7,1
"04","MAYDANWARDAK","0404","CHAK","NO",70,7,33,28,0,5,0,0,238,-164,22768,75,0.00329409697821504,0,0,1,0,0,0,46,27,0,1,0,0,0,0
"04","MAYDANWARDAK","0405","SAYDABAD","NO",77,7,65,61,0,2,0,0,231,-34,26817,290,0.0108140358727673,28,2,1,0,0,0,96,49,0,108,4,2,0,0
"04","MAYDANWARDAK","0406","DAYMIRDAD","NO",16,8,0,0,0,0,0,0,0,0,5367,280,0.0521706726290293,2,0,1,0,0,0,12,247,0,2,1,0,15,0
"04","MAYDANWARDAK","0407","HISE AWAL BEHSOD","NO",46,45,13,1,0,2,0,0,940,-28,14950,4037,0.270033444816054,30,18,3,2,0,1,135,3763,11,4,5,5,56,4
"04","MAYDANWARDAK","0408","JAGHATO","NO",9,2,4,2,0,1,0,0,19,-7,3014,12,0.0039814200398142,2,0,0,0,0,0,10,0,0,0,0,0,0,0
"04","MAYDANWARDAK","0409","MARKAZ BIHSOD","NO",125,125,12,0,0,1,0,1,1257,-35,35093,14188,0.404297153278432,131,85,18,6,7,21,691,12551,46,17,14,18,569,14
"05","LOGAR","0501","PULE ALAM","YES",129,108,36,10,0,4,0,1,975,-47,43711,3240,0.0741232184118414,3,17,6,1,0,3,2919,228,3,52,7,0,0,1
"05","LOGAR","0502","BARAKIBARAK","NO",12,11,11,0,0,3,0,6,474,163,3296,647,0.19629854368932,0,0,0,0,0,0,642,4,0,1,0,0,0,0
"05","LOGAR","0503","CHARKH","NO",9,4,7,5,0,2,0,0,2,-2,2382,18,0.00755667506297229,0,0,0,0,0,0,18,0,0,0,0,0,0,0
"05","LOGAR","0504","KHOSHI","NO",35,35,29,0,0,5,0,16,1296,176,13349,1843,0.13806277623792,4,39,9,0,0,2,1485,200,6,94,1,3,0,0
"05","LOGAR","0505","MUHAMMADAGHA","NO",104,85,62,0,0,2,0,16,5467,-65,38464,6314,0.164153494176373,3,7,3,1,2,2,6183,60,4,45,3,0,0,1
"05","LOGAR","0506","KHARWAR","NO",1,1,0,0,0,0,0,0,0,0,171,52,0.304093567251462,0,0,0,0,0,0,45,0,0,7,0,0,0,0
"05","LOGAR","0507","AZRA","NO",20,20,7,0,0,1,0,0,604,-84,6186,2082,0.336566440349176,0,1,0,0,1,0,2052,11,0,17,0,0,0,0
"06","NANGARHAR","0601-01","JALALABAD NAHIA 01","YES",68,68,31,6,1071,1,0,2,2921,-42,24425,7694,0.315005117707267,10,20,5,8,1,110,7155,179,11,189,2,2,0,2
"06","NANGARHAR","0601-02","JALALABAD NAHIA 02","YES",81,81,6,1,117,0,0,0,666,-21,29766,10615,0.356614929785662,14,19,6,0,0,9,9970,161,7,425,2,0,0,2
"06","NANGARHAR","0601-03","JALALABAD NAHIA 03","YES",87,87,13,0,0,0,0,3,1797,-4,31838,10668,0.335071298448395,17,23,5,1,1,10,10023,140,20,423,2,0,0,3
"06","NANGARHAR","0601-04","JALALABAD NAHIA 04","YES",121,121,13,1,115,0,1,0,1228,-23,41712,13723,0.328994054468738,10,30,6,0,66,5,12772,159,13,657,0,0,0,5
"06","NANGARHAR","0601-05","JALALABAD NAHIA 05","YES",58,58,34,0,0,3,0,2,2790,-5,20070,5952,0.296562032884903,7,8,3,0,1,4,5607,89,6,226,0,0,1,0
"06","NANGARHAR","0601-06","JALALABAD NAHIA 06","YES",57,57,1,0,0,0,0,0,78,-3,21118,4522,0.214130125958898,1,5,1,0,2,4,4308,51,2,147,0,0,0,1
"06","NANGARHAR","0602","BIHSOD","NO",213,213,49,3,330,0,0,2,4104,-35,77575,21054,0.271401869158878,13,28,4,1,2,28,19565,315,22,1067,2,0,0,7
"06","NANGARHAR","0603","SURKHROD","NO",217,217,57,7,593,0,0,1,4316,-100,76839,19589,0.254935644659613,33,13,19,0,4,71,18214,210,25,987,3,3,0,7
"06","NANGARHAR","0604","CHAPARHAR","NO",108,87,108,26,233,8,0,1,5305,-165,33774,5350,0.158405874341209,4,11,0,0,0,1,4946,13,6,369,0,0,0,0
"06","NANGARHAR","0605","KAMA","NO",146,146,31,1,116,0,1,4,2391,-8,49640,16202,0.326390008058018,11,15,1,1,7,27,14740,349,18,1018,2,2,3,8
"06","NANGARHAR","0606","KOZ KUNAR","NO",115,115,9,1,125,0,0,1,701,-4,37794,11949,0.316161295443721,13,20,2,2,6,19,10550,520,12,800,4,0,0,1
"06","NANGARHAR","0607","RODAT","NO",131,131,60,2,167,1,0,1,3735,-68,45306,9229,0.203703703703704,4,14,4,0,1,9,8448,265,1,482,1,0,0,0
"06","NANGARHAR","0608","KHOGYANI","NO",163,149,94,18,830,16,0,4,3581,-406,54455,6693,0.122908823799467,2,3,0,2,1,3,6345,69,0,267,1,0,0,0
"06","NANGARHAR","0609","BATIKOT","NO",114,114,19,2,154,5,2,0,508,-21,35914,8374,0.233168123851423,4,6,2,0,2,11,7816,57,7,462,0,3,1,3
"06","NANGARHAR","0610","DEHBALA","NO",36,36,5,0,0,0,0,1,347,0,10564,2412,0.228322605073836,2,4,1,0,0,4,2249,23,2,126,1,0,0,0
"06","NANGARHAR","0611","PACHERAGAM","NO",61,61,34,4,186,0,0,0,1968,-56,19147,3581,0.187026688254035,3,7,0,0,0,4,3374,86,9,98,0,0,0,0
"06","NANGARHAR","0612","DARA NOOR","NO",109,101,46,11,88,3,0,1,1111,-65,36675,5149,0.140395364689843,30,11,2,13,0,5,3437,1373,4,268,3,2,0,1
"06","NANGARHAR","0613","KOT","NO",85,85,28,1,128,0,1,1,1538,-31,28016,4768,0.170188463735009,6,9,1,0,2,4,4385,49,9,302,0,0,0,1
"06","NANGARHAR","0614","GOSHTA","NO",72,69,22,4,122,3,0,1,1892,-33,22191,5508,0.248208733270245,13,5,0,2,1,9,5080,201,0,191,1,0,1,4
"06","NANGARHAR","0615","ACHEEN","NO",78,76,18,5,15,3,1,1,476,-11,23161,3040,0.131255127153404,6,5,1,1,2,4,2818,111,3,82,2,0,2,3
"06","NANGARHAR","0616","SHINWAR","NO",83,81,28,9,443,4,0,1,1671,-35,27714,6762,0.243992206105218,6,13,1,1,0,12,6460,49,3,215,0,0,0,2
"06","NANGARHAR","0617","MUHMAND DARA","NO",92,92,19,0,0,0,0,1,1926,9,31169,9337,0.299560460714171,3,13,0,0,1,8,8879,77,2,348,1,1,2,2
"06","NANGARHAR","0618","LAL POOR","NO",38,38,2,1,190,0,0,0,1,0,13963,4525,0.324070758433001,2,4,2,1,3,8,4384,39,2,74,0,1,1,4
"06","NANGARHAR","0619","SHIRZAD","NO",6,4,2,2,0,0,0,0,0,0,1774,86,0.04847801578354,0,0,0,0,0,0,73,10,1,1,1,0,0,0
"06","NANGARHAR","0620","NAZYAN","NO",52,51,7,1,0,1,0,0,252,-5,16834,2530,0.150291077581086,1,0,3,0,1,5,2400,28,3,86,0,0,0,3
"06","NANGARHAR","0621","HISARAK","NO",21,8,8,5,0,3,0,0,1,-1,5760,16,0.00277777777777778,0,0,0,0,0,0,16,0,0,0,0,0,0,0
"06","NANGARHAR","0622","DURBABA","NO",63,54,15,10,46,2,0,0,43,-1,21407,1725,0.0805811183257813,4,3,1,1,1,6,1346,266,4,91,1,1,0,0
"06","NANGARHAR","0623","SPIN GHAR","NO",59,56,17,3,0,0,0,1,1157,-7,17642,3303,0.187223670785625,2,5,0,11,0,3,3102,60,1,114,1,1,0,3
"07","LAGHMAN","0701","MEHTARLAM","YES",201,198,25,3,0,1,0,1,1430,-31,70479,13784,0.195575987173484,22,55,13,4,1,13,11886,221,28,1526,3,4,1,7
"07","LAGHMAN","0702","QARGHAYE","NO",182,182,14,0,0,0,0,1,527,-7,64038,11465,0.179034323370499,21,35,1,0,2,79,10380,163,7,762,4,1,1,9
"07","LAGHMAN","0703","ALISHENG","NO",39,16,6,4,0,1,0,0,12,-9,12282,195,0.0158768930141671,1,6,5,0,0,0,144,10,1,24,0,0,0,4
"07","LAGHMAN","0704","ALINGAR","NO",40,35,9,5,0,3,0,0,34,-1,12877,376,0.0291993476741477,1,0,0,0,0,1,315,34,0,24,0,0,0,1
"07","LAGHMAN","0705","DAWLATSHAH","NO",48,9,5,4,0,1,0,0,1,-1,13074,94,0.00718984243536791,1,0,0,0,0,0,39,41,0,13,0,0,0,0
"07","LAGHMAN","0706","BAD PAKH","NO",3,2,1,1,0,0,0,0,0,0,536,16,0.0298507462686567,0,0,0,0,0,0,5,0,0,11,0,0,0,0
"08","PANJSHIR","0801","BAZARAK","YES",44,43,3,1,0,1,0,0,54,-2,13239,2202,0.166326761840018,5,6,10,48,0,1,199,1912,3,2,16,0,0,0
"08","PANJSHIR","0802","RUKHA","NO",23,23,0,0,0,0,0,0,0,0,6036,1438,0.238237243207422,1,2,11,53,0,0,135,1222,5,4,4,0,0,1
"08","PANJSHIR","0803","DARA","NO",36,36,0,0,0,0,0,0,0,0,9099,2481,0.272667326079789,24,10,13,37,1,1,165,2187,4,7,29,3,0,0
"08","PANJSHIR","0804","KHENJ (HESAE AWAL)","NO",59,59,1,0,0,0,0,0,17,0,15624,3453,0.221006144393241,3,11,12,29,2,2,232,3103,7,35,14,3,0,0
"08","PANJSHIR","0805","ONABA","NO",41,41,3,0,0,2,0,0,122,-1,12166,2665,0.219053098799934,6,8,7,40,0,0,171,2384,16,14,16,3,0,0
"08","PANJSHIR","0806","SHUTUL","NO",21,20,1,1,0,0,0,0,0,0,5354,1340,0.250280164363093,2,1,7,16,1,0,118,1169,6,11,3,3,1,2
"08","PANJSHIR","0807","PARYAN","NO",39,39,1,0,0,1,1,0,0,0,8215,2792,0.339866098600122,15,5,3,122,0,10,575,1969,20,21,27,14,3,8
"08","PANJSHIR","0808","ABSHAR","NO",32,32,0,0,0,0,0,0,0,0,7572,2022,0.267036450079239,36,16,16,25,1,4,484,1397,5,16,11,9,1,1
"09","BAGHLAN","0901","PULE KHUMRI","YES",170,148,18,2,0,3,0,0,671,-55,57601,7859,0.136438603496467,119,59,47,24,2,4,2160,5039,55,252,77,1,16,4
"09","BAGHLAN","0903","DOSHI","NO",96,48,9,2,0,1,0,0,740,-53,30116,3372,0.111967060698632,11,26,16,1,0,2,352,2855,10,86,6,1,3,3
"09","BAGHLAN","0904","NAHREEN","NO",159,83,83,21,0,32,0,1,931,-62,55616,1189,0.0213787399309551,4,4,2,28,0,2,170,950,2,21,6,0,0,0
"09","BAGHLAN","0905","BAGHLAN JADID","NO",252,68,222,154,0,40,0,0,624,-118,87364,506,0.00579185934709949,4,8,1,1,0,1,269,139,3,79,1,0,0,0
"09","BAGHLAN","0906","KHINJAN","NO",39,39,1,0,0,0,0,0,86,-2,12761,3279,0.256954784107829,7,30,14,104,3,5,424,1841,14,802,27,4,0,4
"09","BAGHLAN","0907","ANDARAB","NO",38,36,18,2,0,0,0,0,998,-174,11386,1566,0.137537326541367,13,6,10,20,2,0,228,1192,9,68,15,1,1,1
"09","BAGHLAN","0908","DEHSALAH","NO",63,57,52,1,0,3,0,1,2630,-152,21104,2623,0.124289234268385,28,17,11,15,1,0,321,2121,20,68,21,0,0,0
"09","BAGHLAN","0909","KHWAJAHEJRAN","NO",69,23,24,2,0,3,0,0,1304,-126,22861,1249,0.0546345304229911,4,2,10,6,0,0,221,965,6,30,4,1,0,0
"09","BAGHLAN","0910","BORKA","NO",64,30,36,5,0,4,0,1,399,-52,22059,347,0.0157305408223401,3,0,1,5,0,1,55,269,5,8,0,0,0,0
"09","BAGHLAN","0911","TALA WA BARFAK","NO",100,69,83,15,0,31,0,2,1857,-621,35559,1254,0.0352653336708006,2,1,1,1,0,0,541,705,1,1,1,0,0,0
"09","BAGHLAN","0912","PULE HESAR","NO",60,53,38,7,0,10,0,0,817,-69,20593,1259,0.0611372796581363,13,3,2,7,0,1,167,1020,5,35,6,0,0,0
"09","BAGHLAN","0913","KHOST WA FERENG","NO",124,102,101,15,0,14,0,3,3043,-417,41130,3366,0.0818380743982495,72,32,40,60,1,2,568,2330,15,152,91,2,0,1
"09","BAGHLAN","0914","GUZARGAHE NOOR","NO",23,20,13,0,0,0,0,0,579,-26,7199,728,0.101125156271704,2,3,3,18,0,0,73,549,2,5,72,1,0,0
"09","BAGHLAN","0915","FIRING GHARO","NO",38,38,14,0,0,1,0,2,520,-22,11659,1671,0.143322754953255,29,9,5,13,3,2,285,1036,30,41,218,0,0,0
"10","BAMYAN","1001","BAMYAN","YES",138,138,4,0,0,1,0,0,452,-15,44191,22147,0.501165395668801,1970,371,99,68,20,44,3698,14356,92,272,68,41,1008,40
"10","BAMYAN","1002","SHEBAR","NO",41,38,3,1,0,2,0,0,2,-2,9316,3334,0.357878917990554,132,41,11,10,1,5,793,2212,19,54,8,1,43,4
"10","BAMYAN","1003","SAYGHAN","NO",49,48,1,1,0,0,0,0,0,0,11801,4010,0.339801711719346,117,54,47,34,8,8,1123,2165,12,330,25,3,79,5
"10","BAMYAN","1004","KAHMARD","NO",71,70,7,1,0,0,0,3,679,150,20748,6340,0.305571621361095,36,47,46,16,3,11,1409,3766,26,932,27,9,4,8
"10","BAMYAN","1005","YAKAWLANG","NO",93,93,0,0,0,0,0,0,0,0,25318,13100,0.517418437475314,800,275,31,17,9,22,2290,8959,49,160,25,19,423,21
"10","BAMYAN","1006","PANJAB","NO",76,76,0,0,0,0,0,0,0,0,17739,10601,0.597609786346468,437,122,34,14,2,20,1278,8075,41,29,31,16,487,15
"10","BAMYAN","1007","WARAS","NO",133,133,1,0,0,1,0,0,0,0,29509,16358,0.554339354095361,499,294,82,22,12,49,3378,11259,50,62,42,32,549,28
"10","BAMYAN","1008","YAKAWLANG NUMBER 2","NO",48,48,1,0,0,0,0,0,159,-4,12853,6562,0.510542285847662,129,135,17,11,4,15,1052,5003,25,20,14,12,114,11
"11","GHAZNI","1101","GHAZNI","YES",153,148,46,1,0,3,1,5,3291,-358,42561,11736,0.275745400718968,548,233,142,24,6,12,2253,7704,68,463,52,10,208,13
"11","GHAZNI","1102","WALEMUHAMMAD SHAHEED","NO",8,6,4,3,6,1,0,0,3,-3,871,39,0.0447761194029851,0,0,0,0,0,0,36,3,0,0,0,0,0,0
"11","GHAZNI","1103","KHWAJAUMARI","NO",8,7,3,1,0,2,0,0,0,0,2660,18,0.00676691729323308,0,0,0,0,0,0,12,6,0,0,0,0,0,0
"11","GHAZNI","1104","WAGHAZ","NO",12,7,9,5,0,1,0,1,168,11,2136,270,0.126404494382022,0,5,0,0,0,2,194,11,1,54,3,0,0,0
"11","GHAZNI","1105","DEHYAK","NO",18,3,17,12,0,1,0,0,31,-6,2835,18,0.00634920634920635,0,0,0,0,0,0,18,0,0,0,0,0,0,0
"11","GHAZNI","1107","ANDAR","NO",36,3,34,33,0,3,0,0,0,0,7279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","GHAZNI","1108","ZANAKHAN","NO",5,4,1,1,0,0,0,0,0,0,918,62,0.0675381263616558,2,0,0,0,0,0,46,11,0,3,0,0,0,0
"11","GHAZNI","1110","NAWUR","NO",157,145,71,12,21,23,0,7,2819,-848,53458,4966,0.0928953571027723,54,39,20,0,0,4,1052,3407,7,15,9,1,357,1
"11","GHAZNI","1111","QARABAGH","NO",19,10,11,9,0,2,0,0,3,-3,1704,58,0.034037558685446,0,0,0,0,0,0,51,2,0,5,0,0,0,0
"11","GHAZNI","1113","AB BAND","NO",19,7,18,6,0,5,0,0,105,-56,5701,11,0.00192948605507806,0,0,0,0,0,0,11,0,0,0,0,0,0,0
"11","GHAZNI","1114","JAGHORI","NO",169,165,22,2,0,4,0,3,2246,-196,50453,20525,0.40681426277922,1476,167,65,14,4,36,10843,7614,46,47,111,9,61,32
"11","GHAZNI","1115","MUQUR","NO",69,55,54,9,0,23,0,6,611,-133,19481,665,0.0341358246496586,3,10,3,0,0,0,560,34,1,52,1,0,0,1
"11","GHAZNI","1116","MALESTAN","NO",119,119,23,0,0,6,0,1,1812,-204,35160,13246,0.376734926052332,857,108,63,7,5,17,3885,8149,19,42,26,6,38,24
"11","GHAZNI","1117","GELAN","NO",36,15,33,9,0,5,0,3,792,-195,9996,309,0.0309123649459784,1,0,0,0,0,1,298,5,0,4,0,0,0,0
"12","PAKTIKA","1201","SHARAN","YES",74,66,25,8,0,1,0,1,1687,-123,20642,4812,0.233116946032361,11,14,3,2,2,13,4371,103,18,265,2,3,2,3
"12","PAKTIKA","1202","MATAKHAN","NO",45,41,21,4,0,5,0,2,889,-77,14559,1626,0.111683494745518,4,7,0,1,3,4,1503,14,0,86,0,1,0,3
"12","PAKTIKA","1203","YOSUFKHEL","NO",34,32,22,2,0,0,0,6,1880,-62,10293,2767,0.268823472262703,0,7,2,1,2,2,2703,17,0,30,1,0,0,2
"12","PAKTIKA","1204","YAHYAKHEL","NO",51,50,27,1,0,6,0,0,1589,-172,15835,2515,0.158825386801389,7,17,1,2,0,8,2375,31,1,66,1,0,2,4
