"province_code","2012_AGCHO_district_code","province_name_eng","district_name_eng","AGI","AGR","AGT","AGV","BRS","BSD","NFS","NHS","SNW","URB","WAT","fao_total","calculated_total","difference","check","pct_urban","pct_irrigated"
"11","1113","GHAZNI","Jaghuri",15831,341,2585,1,2173,0,36,185542,0,1045,1721,209274,209275,1,"ERROR",0.0049934296977661,0.0756468761199379
"11","1114","GHAZNI","Muqur",12264,9058,150,675,8640,0,119,52348,0,740,2647,86641,86641,0,"OK",0.00854099098579195,0.141549612769936
"11","1115","GHAZNI","Ab Band",13996,3802,79,406,15746,0,180,63460,0,739,2132,100539,100540,1,"ERROR",0.00735030833499105,0.139208275313308
"11","1116","GHAZNI","Ajrestan",7202,1001,80,0,8147,0,776,132662,0,170,2245,152283,152283,0,"OK",0.0011163425989769,0.047293525869598
"11","1117","GHAZNI","Malestan",7665,296,334,0,273,0,35,166967,0,650,1796,178016,178016,0,"OK",0.00365135718137695,0.0430579273773144
"11","1118","GHAZNI","Gelan",29662,3728,608,2673,14680,0,242,55877,0,1056,2550,111075,111076,1,"ERROR",0.00950700421333141,0.267042385393784
"11","1119","GHAZNI","Nawa",19935,42,668,399,37049,0,2732,78498,0,875,26364,166562,166562,0,"OK",0.0052532990718171,0.119685162281913
"12","1201","PAKTYA","Gardez",15808,457,304,25,2733,0,2133,46893,0,1824,610,70788,70787,-1,"ERROR",0.0257674431745942,0.223317840846483
"12","1202","PAKTYA","Sayedkaram",9086,1947,23,0,148,0,5889,27638,0,288,122,45140,45141,1,"ERROR",0.00638000930418024,0.201280432422853
"12","1203","PAKTYA","Ahmadaba",5426,1221,42,0,195,0,2232,31987,0,373,152,41627,41628,1,"ERROR",0.00896031517248006,0.130344960122994
"12","1204","PAKTYA","Zurmat",26868,594,268,259,14547,0,2794,93964,0,1206,881,141381,141381,0,"OK",0.00853014195684003,0.19003968001358
"12","1205","PAKTYA","Shawak",182,0,0,0,0,0,4024,6417,0,0,77,10699,10700,1,"ERROR",0,0.0170093457943925
"12","1206","PAKTYA","Zadran",718,0,5,0,0,0,20949,28282,0,26,332,50312,50312,0,"OK",0.000516775321990778,0.0142709492765145
"12","1207","PAKTYA","Lija Ahmad Khel",1533,127,31,0,4,0,16786,23365,0,92,335,42273,42273,0,"OK",0.0021763300451825,0.0362642821659215
"12","1208","PAKTYA","Alikhel (Jaji)",5356,292,35,0,1300,0,21887,30326,0,168,843,60208,60207,-1,"ERROR",0.00279037321241716,0.0889597555101566
"12","1209","PAKTYA","Janikhel",707,6,0,0,0,0,7796,5912,0,44,34,14498,14499,1,"ERROR",0.00303469204772743,0.0487619835850748
"12","1210","PAKTYA","Chamkani",2290,7,20,0,0,0,14329,12548,0,447,484,30124,30125,1,"ERROR",0.0148381742738589,0.0760165975103734
"12","1211","PAKTYA","Dand Wa Patan",2145,0,3,0,0,0,8401,9284,0,199,403,20436,20435,-1,"ERROR",0.00973819427452899,0.104966968436506
"13","1301","KUNAR","Asad Abad",1081,0,42,0,228,0,2010,4397,0,369,343,8468,8470,2,"ERROR",0.0435655253837072,0.127626918536009
"13","1302","KUNAR","Wata Pur",1821,0,2,0,1,0,13041,10140,0,93,140,25238,25238,0,"OK",0.00368491956573421,0.0721531024645376
"13","1303","KUNAR","Narang",1432,0,13,0,247,0,12817,3702,0,264,458,18934,18933,-1,"ERROR",0.0139439074631596,0.0756351344213807
"13","1304","KUNAR","Sarkani",2461,0,15,0,1491,0,8119,6835,0,205,717,19843,19843,0,"OK",0.010331099128156,0.124023585143375
"13","1305","KUNAR","Marawara",1457,0,0,0,40,0,9506,3421,0,53,193,14670,14670,0,"OK",0.00361281526925699,0.0993183367416496
"13","1306","KUNAR","Shigal Wa Sheltan",2351,0,5,0,0,0,29213,12078,0,101,214,43962,43962,0,"OK",0.00229743869705655,0.0534780037304945
"13","1307","KUNAR","Dara-e-Pech",1707,0,26,0,0,0,42053,10698,0,187,257,54927,54928,1,"ERROR",0.00340445674337314,0.0310770463151762
