"ps_code","post_audit_status","candidate_code","votes"
"0101555-05","Recounted","100_1_1",386
"0101555-05","Recounted","101_1_13",71
"0101555-06","Validated","100_1_1",344
"0101555-06","Validated","101_1_13",28
"0101556-01","Recounted","100_1_1",463
"0101556-01","Recounted","101_1_13",54
"0101556-02","Validated","100_1_1",479
"0101556-02","Validated","101_1_13",64
"0101556-03","Recounted","100_1_1",433
"0101556-03","Recounted","101_1_13",65
"0101556-04","Recounted","100_1_1",436
"0101556-04","Recounted","101_1_13",99
"0101557-01","Recounted","100_1_1",508
"0101557-01","Recounted","101_1_13",83
"0101557-02","Validated","100_1_1",506
"0101557-02","Validated","101_1_13",79
"0101557-03","Recounted","100_1_1",537
"0101557-03","Recounted","101_1_13",46
"0101557-04","Recounted","100_1_1",344
"0101557-04","Recounted","101_1_13",40
"0102398-01","Recounted","100_1_1",31
"0102398-01","Recounted","101_1_13",240
"0102398-02","Recounted","100_1_1",18
"0102398-02","Recounted","101_1_13",203
"0102398-03","Validated","100_1_1",24
"0102398-03","Validated","101_1_13",151
"0102398-04","Recounted","100_1_1",50
"0102398-04","Recounted","101_1_13",198
"0102398-05","Validated","100_1_1",8
"0102398-05","Validated","101_1_13",98
"0102398-06","Validated","100_1_1",9
"0102398-06","Validated","101_1_13",114
"0102399-01","Recounted","100_1_1",81
"0102399-01","Recounted","101_1_13",80
"0102399-02","Validated","100_1_1",38
"0102399-02","Validated","101_1_13",54
"0102399-03","Validated","100_1_1",36
"0102399-03","Validated","101_1_13",44
"0102399-04","Validated","100_1_1",25
"0102399-04","Validated","101_1_13",19
"0102399-05","Validated","100_1_1",3
"0102399-05","Validated","101_1_13",0
"0102399-06","Validated","100_1_1",4
"0102399-06","Validated","101_1_13",1
"0102399-07","Validated","100_1_1",7
"0102399-07","Validated","101_1_13",0
"0102400-01","Validated","100_1_1",35
"0102400-01","Validated","101_1_13",173
"0102400-02","Validated","100_1_1",49
"0102400-02","Validated","101_1_13",239
"0102400-03","Validated","100_1_1",35
"0102400-03","Validated","101_1_13",238
"0102400-04","Validated","100_1_1",43
"0102400-04","Validated","101_1_13",166
"0102400-05","Recounted","100_1_1",4
"0102400-05","Recounted","101_1_13",1
"0102400-06","Validated","100_1_1",4
"0102400-06","Validated","101_1_13",1
"0102401-01","Validated","100_1_1",217
"0102401-01","Validated","101_1_13",108
"0102401-02","Validated","100_1_1",216
"0102401-02","Validated","101_1_13",121
"0102401-03","Validated","100_1_1",205
"0102401-03","Validated","101_1_13",71
"0102402-01","Validated","100_1_1",80
"0102402-01","Validated","101_1_13",43
"0102402-02","Validated","100_1_1",57
"0102402-02","Validated","101_1_13",29
"0102402-03","Recounted","100_1_1",191
"0102402-03","Recounted","101_1_13",82
"0102402-04","Validated","100_1_1",80
"0102402-04","Validated","101_1_13",17
"0102402-05","Validated","100_1_1",107
"0102402-05","Validated","101_1_13",19
"0102403-01","Validated","100_1_1",146
"0102403-01","Validated","101_1_13",39
"0102403-02","Validated","100_1_1",119
"0102403-02","Validated","101_1_13",40
"0102403-03","Validated","100_1_1",86
"0102403-03","Validated","101_1_13",13
"0102403-04","Validated","100_1_1",64
"0102403-04","Validated","101_1_13",15
"0102404-01","Validated","100_1_1",110
"0102404-01","Validated","101_1_13",295
"0102404-02","Validated","100_1_1",158
"0102404-02","Validated","101_1_13",394
"0102404-03","Recounted","100_1_1",160
"0102404-03","Recounted","101_1_13",388
"0102404-04","Validated","100_1_1",330
"0102404-04","Validated","101_1_13",253
"0102405-01","Validated","100_1_1",252
"0102405-01","Validated","101_1_13",176
"0102405-02","Validated","100_1_1",89
"0102405-02","Validated","101_1_13",66
"0102405-03","Validated","100_1_1",150
"0102405-03","Validated","101_1_13",145
"0102405-04","Validated","100_1_1",92
"0102405-04","Validated","101_1_13",48
"0102406-01","Validated","100_1_1",77
"0102406-01","Validated","101_1_13",51
"0102406-02","Recounted","100_1_1",91
"0102406-02","Recounted","101_1_13",57
"0102406-03","Validated","100_1_1",153
"0102406-03","Validated","101_1_13",84
"0102406-04","Recounted","100_1_1",184
"0102406-04","Recounted","101_1_13",63
"0102407-01","Recounted","100_1_1",413
"0102407-01","Recounted","101_1_13",111
"0102407-02","Recounted","100_1_1",466
"0102407-02","Recounted","101_1_13",125
"0102407-03","Validated","100_1_1",239
"0102407-03","Validated","101_1_13",39
"0102407-04","Validated","100_1_1",218
"0102407-04","Validated","101_1_13",41
"0102407-05","Validated","100_1_1",55
"0102407-05","Validated","101_1_13",33
"0102408-01","Recounted","100_1_1",36
"0102408-01","Recounted","101_1_13",377
"0102408-02","Validated","100_1_1",16
"0102408-02","Validated","101_1_13",271
"0102408-03","Validated","100_1_1",12
"0102408-03","Validated","101_1_13",307
"0102408-04","Validated","100_1_1",0
"0102408-04","Validated","101_1_13",83
"0102408-05","Recounted","100_1_1",1
"0102408-05","Recounted","101_1_13",63
"0102409-01","Validated","100_1_1",292
"0102409-01","Validated","101_1_13",120
"0102409-02","Recounted","100_1_1",210
"0102409-02","Recounted","101_1_13",92
"0102409-03","Recounted","100_1_1",136
"0102409-03","Recounted","101_1_13",25
"0102409-04","Validated","100_1_1",128
"0102409-04","Validated","101_1_13",22
"0102410-01","Validated","100_1_1",187
"0102410-01","Validated","101_1_13",396
"0102410-02","Validated","100_1_1",176
"0102410-02","Validated","101_1_13",410
"0102410-03","Validated","100_1_1",140
"0102410-03","Validated","101_1_13",262
"0102410-04","Validated","100_1_1",89
"0102410-04","Validated","101_1_13",157
"0102411-01","Validated","100_1_1",148
"0102411-01","Validated","101_1_13",288
"0102411-02","Recounted","100_1_1",96
"0102411-02","Recounted","101_1_13",285
"0102411-03","Recounted","100_1_1",156
"0102411-03","Recounted","101_1_13",314
"0102411-04","Validated","100_1_1",112
"0102411-04","Validated","101_1_13",246
"0102412-01","Recounted","100_1_1",70
"0102412-01","Recounted","101_1_13",512
"0102412-02","Recounted","100_1_1",88
"0102412-02","Recounted","101_1_13",494
"0102412-03","Validated","100_1_1",80
"0102412-03","Validated","101_1_13",508
"0102412-04","Validated","100_1_1",3
"0102412-04","Validated","101_1_13",33
"0102413-01","Validated","100_1_1",95
"0102413-01","Validated","101_1_13",157
"0102413-02","Validated","100_1_1",50
"0102413-02","Validated","101_1_13",127
"0102413-03","Validated","100_1_1",47
"0102413-03","Validated","101_1_13",70
"0102414-01","Validated","100_1_1",12
"0102414-01","Validated","101_1_13",184
"0102414-02","Validated","100_1_1",16
"0102414-02","Validated","101_1_13",155
"0102414-03","Validated","100_1_1",4
"0102414-03","Validated","101_1_13",190
"0102414-04","Validated","100_1_1",10
"0102414-04","Validated","101_1_13",122
"0102414-05","Validated","100_1_1",1
"0102414-05","Validated","101_1_13",17
"0102414-06","Validated","100_1_1",0
"0102414-06","Validated","101_1_13",17
"0102415-01","Validated","100_1_1",129
"0102415-01","Validated","101_1_13",120
"0102415-02","Recounted","100_1_1",107
"0102415-02","Recounted","101_1_13",120
"0102415-03","Validated","100_1_1",95
"0102415-03","Validated","101_1_13",37
"0102416-01","Validated","100_1_1",22
"0102416-01","Validated","101_1_13",102
"0102416-02","Validated","100_1_1",24
"0102416-02","Validated","101_1_13",121
"0102416-03","Recounted","100_1_1",85
"0102416-03","Recounted","101_1_13",208
"0102417-01","Validated","100_1_1",8
"0102417-01","Validated","101_1_13",150
"0102417-02","Validated","100_1_1",23
"0102417-02","Validated","101_1_13",265
"0102417-03","Invalidated","100_1_1",9
"0102417-03","Invalidated","101_1_13",120
"0102417-04","Validated","100_1_1",1
"0102417-04","Validated","101_1_13",148
"0102418-01","Validated","100_1_1",32
"0102418-01","Validated","101_1_13",154
"0102418-02","Validated","100_1_1",28
"0102418-02","Validated","101_1_13",141
"0102418-03","Validated","100_1_1",1
"0102418-03","Validated","101_1_13",49
"0103419-01","Validated","100_1_1",4
"0103419-01","Validated","101_1_13",99
"0103419-02","Recounted","100_1_1",3
"0103419-02","Recounted","101_1_13",272
"0103419-03","Validated","100_1_1",1
"0103419-03","Validated","101_1_13",125
"0103419-04","Validated","100_1_1",6
"0103419-04","Validated","101_1_13",203
"0103419-05","Recounted","100_1_1",1
"0103419-05","Recounted","101_1_13",351
"0103420-01","Recounted","100_1_1",16
"0103420-01","Recounted","101_1_13",484
"0103420-02","Validated","100_1_1",9
"0103420-02","Validated","101_1_13",472
"0103420-03","Recounted","100_1_1",10
"0103420-03","Recounted","101_1_13",424
"0103420-04","Recounted","100_1_1",7
"0103420-04","Recounted","101_1_13",551
"0103421-01","Validated","100_1_1",48
"0103421-01","Validated","101_1_13",127
"0103421-02","Recounted","100_1_1",56
"0103421-02","Recounted","101_1_13",89
"0103421-03","Validated","100_1_1",37
"0103421-03","Validated","101_1_13",93
"0103421-04","Validated","100_1_1",21
"0103421-04","Validated","101_1_13",87
"0103421-05","Validated","100_1_1",11
"0103421-05","Validated","101_1_13",39
"0103422-01","Recounted","100_1_1",11
"0103422-01","Recounted","101_1_13",303
"0103422-02","Recounted","100_1_1",5
"0103422-02","Recounted","101_1_13",429
"0103422-03","Recounted","100_1_1",2
"0103422-03","Recounted","101_1_13",146
"0103423-01","Validated","100_1_1",44
"0103423-01","Validated","101_1_13",156
"0103423-02","Validated","100_1_1",38
"0103423-02","Validated","101_1_13",136
"0103423-03","Validated","100_1_1",27
"0103423-03","Validated","101_1_13",75
"0103424-01","Recounted","100_1_1",18
"0103424-01","Recounted","101_1_13",460
"0103424-02","Validated","100_1_1",4
"0103424-02","Validated","101_1_13",110
"0103425-01","Recounted","100_1_1",51
"0103425-01","Recounted","101_1_13",511
"0103425-02","Validated","100_1_1",58
"0103425-02","Validated","101_1_13",346
"0103425-03","Validated","100_1_1",8
"0103425-03","Validated","101_1_13",108
"0103425-04","Validated","100_1_1",9
"0103425-04","Validated","101_1_13",118
"0103425-05","Validated","100_1_1",7
"0103425-05","Validated","101_1_13",82
"0103426-01","Validated","100_1_1",33
"0103426-01","Validated","101_1_13",98
"0103426-02","Validated","100_1_1",4
"0103426-02","Validated","101_1_13",21
"0103427-01","Recounted","100_1_1",12
"0103427-01","Recounted","101_1_13",130
"0103427-02","Validated","100_1_1",9
"0103427-02","Validated","101_1_13",50
"0103428-01","Validated","100_1_1",28
"0103428-01","Validated","101_1_13",161
"0103428-02","Validated","100_1_1",4
"0103428-02","Validated","101_1_13",26
"0103429-01","Validated","100_1_1",71
"0103429-01","Validated","101_1_13",29
"0103429-02","Validated","100_1_1",69
"0103429-02","Validated","101_1_13",70
"0103429-03","Validated","100_1_1",41
"0103429-03","Validated","101_1_13",11
"0103429-04","Recounted","100_1_1",12
"0103429-04","Recounted","101_1_13",421
"0103429-05","Recounted","100_1_1",5
"0103429-05","Recounted","101_1_13",379
"0103494-01","Validated","100_1_1",185
"0103494-01","Validated","101_1_13",216
"0103494-02","Validated","100_1_1",157
"0103494-02","Validated","101_1_13",191
"0103494-03","Validated","100_1_1",157
"0103494-03","Validated","101_1_13",189
"0103494-04","Validated","100_1_1",170
"0103494-04","Validated","101_1_13",179
"0103536-01","Validated","100_1_1",3
"0103536-01","Validated","101_1_13",214
"0103536-02","Invalidated","100_1_1",6
"0103536-02","Invalidated","101_1_13",361
"0103536-03","Validated","100_1_1",0
"0103536-03","Validated","101_1_13",279
"0103537-01","Validated","100_1_1",10
"0103537-01","Validated","101_1_13",244
"0103537-02","Validated","100_1_1",5
"0103537-02","Validated","101_1_13",218
"0103537-03","Validated","100_1_1",9
"0103537-03","Validated","101_1_13",375
"0104450-01","Validated","100_1_1",112
"0104450-01","Validated","101_1_13",87
"0104450-02","Recounted","100_1_1",109
"0104450-02","Recounted","101_1_13",71
"0104450-03","Validated","100_1_1",90
"0104450-03","Validated","101_1_13",47
"0104450-04","Validated","100_1_1",127
"0104450-04","Validated","101_1_13",120
"0104451-01","Recounted","100_1_1",291
"0104451-01","Recounted","101_1_13",288
"0104451-02","Recounted","100_1_1",85
"0104451-02","Recounted","101_1_13",69
"0104451-03","Validated","100_1_1",13
"0104451-03","Validated","101_1_13",19
"0104451-04","Validated","100_1_1",17
"0104451-04","Validated","101_1_13",22
"0104452-01","Validated","100_1_1",162
"0104452-01","Validated","101_1_13",325
"0104452-02","Validated","100_1_1",110
"0104452-02","Validated","101_1_13",274
"0104452-03","Validated","100_1_1",103
"0104452-03","Validated","101_1_13",207
"0104452-04","Validated","100_1_1",67
"0104452-04","Validated","101_1_13",175
"0104453-01","Validated","100_1_1",273
"0104453-01","Validated","101_1_13",318
"0104453-02","Invalidated","100_1_1",54
"0104453-02","Invalidated","101_1_13",63
"0104453-03","Validated","100_1_1",64
"0104453-03","Validated","101_1_13",86
"0104453-04","Validated","100_1_1",98
"0104453-04","Validated","101_1_13",136
"0104454-01","Recounted","100_1_1",439
"0104454-01","Recounted","101_1_13",131
"0104454-02","Recounted","100_1_1",444
"0104454-02","Recounted","101_1_13",115
"0104454-03","Validated","100_1_1",231
"0104454-03","Validated","101_1_13",39
"0104454-04","Validated","100_1_1",251
"0104454-04","Validated","101_1_13",25
"0104455-01","Recounted","100_1_1",29
"0104455-01","Recounted","101_1_13",533
"0104455-02","Recounted","100_1_1",56
"0104455-02","Recounted","101_1_13",522
"0104455-03","Validated","100_1_1",78
"0104455-03","Validated","101_1_13",512
"0104455-04","Validated","100_1_1",29
"0104455-04","Validated","101_1_13",377
"0104455-05","Recounted","100_1_1",10
"0104455-05","Recounted","101_1_13",80
"0104455-06","Recounted","100_1_1",19
"0104455-06","Recounted","101_1_13",396
"0104455-07","Recounted","100_1_1",12
"0104455-07","Recounted","101_1_13",315
"0104456-01","Validated","100_1_1",125
"0104456-01","Validated","101_1_13",460
"0104456-02","Validated","100_1_1",156
"0104456-02","Validated","101_1_13",424
"0104456-03","Validated","100_1_1",157
"0104456-03","Validated","101_1_13",424
"0104456-04","Validated","100_1_1",86
"0104456-04","Validated","101_1_13",309
"0104456-05","Recounted","100_1_1",107
"0104456-05","Recounted","101_1_13",380
"0104456-06","Validated","100_1_1",102
"0104456-06","Validated","101_1_13",177
"0104457-01","Validated","100_1_1",250
"0104457-01","Validated","101_1_13",116
"0104457-02","Validated","100_1_1",149
"0104457-02","Validated","101_1_13",78
"0104457-03","Validated","100_1_1",145
"0104457-03","Validated","101_1_13",91
"0104457-04","Validated","100_1_1",145
"0104457-04","Validated","101_1_13",78
"0104458-01","Recounted","100_1_1",21
"0104458-01","Recounted","101_1_13",58
"0104458-02","Recounted","100_1_1",138
"0104458-02","Recounted","101_1_13",437
"0104458-03","Validated","100_1_1",73
"0104458-03","Validated","101_1_13",331
"0104459-01","Validated","100_1_1",100
"0104459-01","Validated","101_1_13",404
"0104459-02","Validated","100_1_1",100
"0104459-02","Validated","101_1_13",396
"0104459-03","Validated","100_1_1",42
"0104459-03","Validated","101_1_13",113
"0104459-04","Validated","100_1_1",48
"0104459-04","Validated","101_1_13",109
"0104460-01","Validated","100_1_1",3
"0104460-01","Validated","101_1_13",240
"0104460-02","Validated","100_1_1",3
"0104460-02","Validated","101_1_13",330
"0104460-03","Validated","100_1_1",1
"0104460-03","Validated","101_1_13",326
"0104461-01","Recounted","100_1_1",15
"0104461-01","Recounted","101_1_13",570
"0104461-02","Recounted","100_1_1",27
"0104461-02","Recounted","101_1_13",557
"0104461-03","Validated","100_1_1",4
"0104461-03","Validated","101_1_13",97
"0104461-04","Validated","100_1_1",5
"0104461-04","Validated","101_1_13",583
"0104461-05","Validated","100_1_1",9
"0104461-05","Validated","101_1_13",582
"0104462-01","Validated","100_1_1",113
"0104462-01","Validated","101_1_13",378
"0104462-02","Validated","100_1_1",57
"0104462-02","Validated","101_1_13",159
"0104462-03","Validated","100_1_1",72
"0104462-03","Validated","101_1_13",179
"0104462-04","Recounted","100_1_1",42
"0104462-04","Recounted","101_1_13",173
"0104538-01","Recounted","100_1_1",46
"0104538-01","Recounted","101_1_13",537
"0104538-02","Recounted","100_1_1",23
"0104538-02","Recounted","101_1_13",551
"0104538-03","Validated","100_1_1",29
"0104538-03","Validated","101_1_13",127
"0104539-01","Validated","100_1_1",183
"0104539-01","Validated","101_1_13",327
"0104539-02","Validated","100_1_1",139
"0104539-02","Validated","101_1_13",335
"0104539-03","Validated","100_1_1",24
"0104539-03","Validated","101_1_13",286
"0104540-01","Recounted","100_1_1",27
"0104540-01","Recounted","101_1_13",453
"0104540-02","Recounted","100_1_1",38
"0104540-02","Recounted","101_1_13",544
"0104540-03","Validated","100_1_1",11
"0104540-03","Validated","101_1_13",242
"0104540-04","Recounted","100_1_1",30
"0104540-04","Recounted","101_1_13",408
"0104540-05","Validated","100_1_1",20
"0104540-05","Validated","101_1_13",264
"0105330-01","Recounted","100_1_1",31
"0105330-01","Recounted","101_1_13",528
"0105330-02","Recounted","100_1_1",18
"0105330-02","Recounted","101_1_13",467
"0105330-03","Recounted","100_1_1",17
"0105330-03","Recounted","101_1_13",414
"0105330-04","Validated","100_1_1",21
"0105330-04","Validated","101_1_13",284
"0105330-05","Validated","100_1_1",21
"0105330-05","Validated","101_1_13",188
"0105330-06","Validated","100_1_1",9
"0105330-06","Validated","101_1_13",212
"0105330-07","Validated","100_1_1",5
"0105330-07","Validated","101_1_13",117
"0105463-01","Validated","100_1_1",276
"0105463-01","Validated","101_1_13",32
"0105463-02","Validated","100_1_1",151
"0105463-02","Validated","101_1_13",9
"0105463-03","Validated","100_1_1",61
"0105463-03","Validated","101_1_13",8
"0105463-04","Validated","100_1_1",43
"0105463-04","Validated","101_1_13",6
"0105463-05","Validated","100_1_1",63
"0105463-05","Validated","101_1_13",130
"0105463-06","Validated","100_1_1",50
"0105463-06","Validated","101_1_13",3
"0105463-07","Validated","100_1_1",67
"0105463-07","Validated","101_1_13",9
"0105463-08","Validated","100_1_1",69
"0105463-08","Validated","101_1_13",1
"0105464-01","Validated","100_1_1",136
"0105464-01","Validated","101_1_13",115
"0105464-02","Recounted","100_1_1",159
"0105464-02","Recounted","101_1_13",129
"0105464-03","Validated","100_1_1",82
"0105464-03","Validated","101_1_13",90
"0105464-04","Validated","100_1_1",26
"0105464-04","Validated","101_1_13",6
"0105464-05","Recounted","100_1_1",68
"0105464-05","Recounted","101_1_13",26
"0105464-06","Validated","100_1_1",24
"0105464-06","Validated","101_1_13",9
"0105465-01","Validated","100_1_1",21
"0105465-01","Validated","101_1_13",176
"0105465-02","Recounted","100_1_1",25
"0105465-02","Recounted","101_1_13",231
"0105465-03","Recounted","100_1_1",16
"0105465-03","Recounted","101_1_13",23
"0105465-04","Validated","100_1_1",4
"0105465-04","Validated","101_1_13",38
"0105466-01","Invalidated","100_1_1",486
"0105466-01","Invalidated","101_1_13",111
"0105466-02","Recounted","100_1_1",477
"0105466-02","Recounted","101_1_13",111
"0105466-03","Recounted","100_1_1",329
"0105466-03","Recounted","101_1_13",57
"0105467-01","Recounted","100_1_1",13
"0105467-01","Recounted","101_1_13",152
"0105467-02","Validated","100_1_1",47
"0105467-02","Validated","101_1_13",150
"0105467-03","Validated","100_1_1",39
"0105467-03","Validated","101_1_13",195
"0105467-04","Validated","100_1_1",2
"0105467-04","Validated","101_1_13",13
"0105467-05","Validated","100_1_1",5
"0105467-05","Validated","101_1_13",9
"0105468-01","Validated","100_1_1",111
"0105468-01","Validated","101_1_13",127
"0105468-02","Validated","100_1_1",97
"0105468-02","Validated","101_1_13",198
"0105468-03","Validated","100_1_1",82
"0105468-03","Validated","101_1_13",299
"0105468-04","Validated","100_1_1",26
"0105468-04","Validated","101_1_13",41
"0105468-05","Validated","100_1_1",7
"0105468-05","Validated","101_1_13",80
"0105468-06","Validated","100_1_1",22
"0105468-06","Validated","101_1_13",36
"0105468-07","Validated","100_1_1",30
"0105468-07","Validated","101_1_13",68
"0105468-08","Validated","100_1_1",16
"0105468-08","Validated","101_1_13",54
"0105468-09","Validated","100_1_1",166
"0105468-09","Validated","101_1_13",144
"0105468-10","Validated","100_1_1",25
"0105468-10","Validated","101_1_13",175
"0105469-01","Recounted","100_1_1",492
"0105469-01","Recounted","101_1_13",64
"0105469-02","Validated","100_1_1",44
"0105469-02","Validated","101_1_13",378
"0105469-03","Validated","100_1_1",31
"0105469-03","Validated","101_1_13",309
"0105469-04","Recounted","100_1_1",45
"0105469-04","Recounted","101_1_13",343
"0105470-01","Validated","100_1_1",31
"0105470-01","Validated","101_1_13",401
"0105470-02","Validated","100_1_1",16
"0105470-02","Validated","101_1_13",185
"0105470-03","Validated","100_1_1",9
"0105470-03","Validated","101_1_13",161
"0105470-04","Validated","100_1_1",8
"0105470-04","Validated","101_1_13",86
"0105470-05","Validated","100_1_1",10
"0105470-05","Validated","101_1_13",39
"0105471-01","Validated","100_1_1",7
"0105471-01","Validated","101_1_13",154
"0105471-02","Recounted","100_1_1",9
"0105471-02","Recounted","101_1_13",43
"0105471-03","Validated","100_1_1",9
"0105471-03","Validated","101_1_13",58
"0105471-04","Validated","100_1_1",7
"0105471-04","Validated","101_1_13",70
"0105471-05","Validated","100_1_1",0
"0105471-05","Validated","101_1_13",39
"0105471-06","Validated","100_1_1",5
"0105471-06","Validated","101_1_13",19
"0105472-01","Recounted","100_1_1",75
"0105472-01","Recounted","101_1_13",154
"0105472-02","Validated","100_1_1",10
"0105472-02","Validated","101_1_13",9
"0105474-01","Validated","100_1_1",8
"0105474-01","Validated","101_1_13",89
"0105474-02","Validated","100_1_1",22
"0105474-02","Validated","101_1_13",109
"0105474-03","Validated","100_1_1",0
"0105474-03","Validated","101_1_13",5
"0105474-04","Validated","100_1_1",0
"0105474-04","Validated","101_1_13",3
"0105475-01","Validated","100_1_1",27
"0105475-01","Validated","101_1_13",90
"0105475-02","Validated","100_1_1",46
"0105475-02","Validated","101_1_13",109
"0105475-03","Validated","100_1_1",0
"0105475-03","Validated","101_1_13",30
"0105475-04","Validated","100_1_1",3
"0105475-04","Validated","101_1_13",25
"0105533-01","Recounted","100_1_1",76
"0105533-01","Recounted","101_1_13",391
"0105533-02","Recounted","100_1_1",60
"0105533-02","Recounted","101_1_13",372
"0105533-03","Validated","100_1_1",0
"0105533-03","Validated","101_1_13",16
"0105541-01","Validated","100_1_1",22
"0105541-01","Validated","101_1_13",60
"0105541-02","Validated","100_1_1",25
"0105541-02","Validated","101_1_13",60
"0105541-03","Validated","100_1_1",13
"0105541-03","Validated","101_1_13",4
"0106386-01","Validated","100_1_1",100
"0106386-01","Validated","101_1_13",60
"0106386-02","Validated","100_1_1",79
"0106386-02","Validated","101_1_13",37
"0106386-03","Validated","100_1_1",68
"0106386-03","Validated","101_1_13",32
"0106386-04","Invalidated","100_1_1",92
"0106386-04","Invalidated","101_1_13",9
"0106387-01","Validated","100_1_1",276
"0106387-01","Validated","101_1_13",21
"0106387-02","Validated","100_1_1",269
"0106387-02","Validated","101_1_13",18
"0106387-03","Validated","100_1_1",208
"0106387-03","Validated","101_1_13",19
"0106387-04","Validated","100_1_1",182
"0106387-04","Validated","101_1_13",16
"0106387-05","Validated","100_1_1",68
"0106387-05","Validated","101_1_13",2
"0106387-06","Validated","100_1_1",70
"0106387-06","Validated","101_1_13",2
"0106388-01","Validated","100_1_1",111
"0106388-01","Validated","101_1_13",393
"0106388-02","Validated","100_1_1",83
"0106388-02","Validated","101_1_13",240
"0106388-03","Validated","100_1_1",93
"0106388-03","Validated","101_1_13",366
"0106388-04","Validated","100_1_1",10
"0106388-04","Validated","101_1_13",40
"0106388-05","Recounted","100_1_1",8
"0106388-05","Recounted","101_1_13",16
"0106388-06","Validated","100_1_1",7
"0106388-06","Validated","101_1_13",16
"0106389-01","Validated","100_1_1",77
"0106389-01","Validated","101_1_13",156
"0106389-02","Validated","100_1_1",69
"0106389-02","Validated","101_1_13",193
"0106389-03","Recounted","100_1_1",80
"0106389-03","Recounted","101_1_13",176
"0106389-04","Validated","100_1_1",33
"0106389-04","Validated","101_1_13",36
"0106389-05","Validated","100_1_1",47
"0106389-05","Validated","101_1_13",33
"0106390-01","Validated","100_1_1",104
"0106390-01","Validated","101_1_13",16
"0106390-02","Validated","100_1_1",119
"0106390-02","Validated","101_1_13",12
"0106390-03","Validated","100_1_1",77
"0106390-03","Validated","101_1_13",24
"0106390-04","Validated","100_1_1",62
"0106390-04","Validated","101_1_13",13
"0106390-05","Validated","100_1_1",35
"0106390-05","Validated","101_1_13",14
"0106390-06","Validated","100_1_1",71
"0106390-06","Validated","101_1_13",9
"0106391-01","Validated","100_1_1",284
"0106391-01","Validated","101_1_13",303
"0106391-02","Validated","100_1_1",226
"0106391-02","Validated","101_1_13",245
"0106391-03","Validated","100_1_1",134
"0106391-03","Validated","101_1_13",129
"0106391-04","Recounted","100_1_1",47
"0106391-04","Recounted","101_1_13",114
"0106392-01","Validated","100_1_1",94
"0106392-01","Validated","101_1_13",108
"0106392-02","Recounted","100_1_1",110
"0106392-02","Recounted","101_1_13",94
"0106392-03","Validated","100_1_1",120
"0106392-03","Validated","101_1_13",105
"0106392-04","Validated","100_1_1",20
"0106392-04","Validated","101_1_13",32
"0106392-05","Validated","100_1_1",31
"0106392-05","Validated","101_1_13",37
"0106393-01","Validated","100_1_1",196
"0106393-01","Validated","101_1_13",39
"0106393-02","Validated","100_1_1",122
"0106393-02","Validated","101_1_13",29
"0106393-03","Validated","100_1_1",146
"0106393-03","Validated","101_1_13",20
"0106393-04","Validated","100_1_1",127
"0106393-04","Validated","101_1_13",2
"0106393-05","Validated","100_1_1",89
"0106393-05","Validated","101_1_13",11
"0106393-06","Recounted","100_1_1",53
"0106393-06","Recounted","101_1_13",7
"0106394-01","Validated","100_1_1",91
"0106394-01","Validated","101_1_13",275
"0106394-02","Validated","100_1_1",53
"0106394-02","Validated","101_1_13",146
"0106394-03","Validated","100_1_1",38
"0106394-03","Validated","101_1_13",98
"0106394-04","Validated","100_1_1",50
"0106394-04","Validated","101_1_13",79
"0106394-05","Validated","100_1_1",15
"0106394-05","Validated","101_1_13",25
"0106394-06","Recounted","100_1_1",22
"0106394-06","Recounted","101_1_13",18
"0106394-07","Recounted","100_1_1",10
"0106394-07","Recounted","101_1_13",22
"0106395-01","Recounted","100_1_1",389
"0106395-01","Recounted","101_1_13",90
"0106395-02","Validated","100_1_1",260
"0106395-02","Validated","101_1_13",70
"0106395-03","Validated","100_1_1",316
"0106395-03","Validated","101_1_13",79
"0106395-04","Validated","100_1_1",92
"0106395-04","Validated","101_1_13",23
"0106395-05","Validated","100_1_1",81
"0106395-05","Validated","101_1_13",22
"0106395-06","Validated","100_1_1",87
"0106395-06","Validated","101_1_13",21
"0106396-01","Validated","100_1_1",269
"0106396-01","Validated","101_1_13",129
"0106396-02","Validated","100_1_1",228
"0106396-02","Validated","101_1_13",118
"0106396-03","Recounted","100_1_1",201
"0106396-03","Recounted","101_1_13",141
"0106396-04","Recounted","100_1_1",219
"0106396-04","Recounted","101_1_13",120
"0106396-05","Validated","100_1_1",239
"0106396-05","Validated","101_1_13",51
"0106397-01","Validated","100_1_1",319
"0106397-01","Validated","101_1_13",51
"0106397-02","Recounted","100_1_1",314
"0106397-02","Recounted","101_1_13",50
"0106397-03","Validated","100_1_1",202
"0106397-03","Validated","101_1_13",35
"0106397-04","Validated","100_1_1",239
"0106397-04","Validated","101_1_13",44
"0106397-05","Validated","100_1_1",157
"0106397-05","Validated","101_1_13",23
"0106397-06","Validated","100_1_1",110
"0106397-06","Validated","101_1_13",17
"0106397-07","Validated","100_1_1",110
"0106397-07","Validated","101_1_13",12
"0106542-01","Validated","100_1_1",69
"0106542-01","Validated","101_1_13",33
"0106542-02","Validated","100_1_1",52
"0106542-02","Validated","101_1_13",11
"0106542-03","Validated","100_1_1",13
"0106542-03","Validated","101_1_13",11
"0106543-01","Validated","100_1_1",12
"0106543-01","Validated","101_1_13",94
"0106543-02","Validated","100_1_1",9
"0106543-02","Validated","101_1_13",89
"0106543-03","Validated","100_1_1",4
