"election_date","results_date","election_type","results_status","province_code","province_name_eng","ballot_position","candidate_name_eng","party_name_eng_transliterated","candidate_gender","final_winner","votes"
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","03","Baghlan",18,"Abdul Rashid Dostum","Independent","M","NO",16437
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","04","Balkh",1,"Abdul Latif Pedram","Hezb-e-Congra-e-Mili Afghanistan","M","NO",5482
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","04","Balkh",2,"Hamid Karzai","Independent","M","YES",114460
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","04","Balkh",3,"Hamayon Shah Asifi","Independent","M","NO",1205
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","04","Balkh",4,"Mir Mohammad Mahfouz Nedaee","Independent","M","NO",994
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","04","Balkh",5,"Haji Mohammad Mohaqiq","Independent","M","NO",55306
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","04","Balkh",6,"Syed Ishaq Gilani","Nuhzat-e-Hambastagee Mili Afghanistan","M","NO",3843
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","04","Balkh",7,"Abdul Satar Serat","Independent","M","NO",1465
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","04","Balkh",8,"Abdul Hafiz Mansoor","Independent","M","NO",1243
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","04","Balkh",9,"Ghulam Farooq Nijrabi","Hezb-e-Istiqlal-e-Afghanistan","M","NO",541
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","04","Balkh",10,"Ahmad Shah Ahmadzai","Independent","M","NO",1135
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","04","Balkh",11,"Abdul Hasseb Aryan","Independent","M","NO",752
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","04","Balkh",12,"Wakil Mangal","Independent","M","NO",715
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","04","Balkh",13,"Abdul Hadi Khalilzai","Independent","M","NO",943
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","04","Balkh",14,"Mohammad Ebrahim Rashid","Independent","M","NO",921
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","04","Balkh",15,"Yonous Qanooni","Hezb-e-Nuhzhat-e-Mili Afghanistan","M","NO",98939
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","04","Balkh",16,"Massooda Jalal","Independent","F","NO",4498
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","04","Balkh",17,"Syed Abdul Hadi Dabir","Independent","M","NO",1510
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","04","Balkh",18,"Abdul Rashid Dostum","Independent","M","NO",89567
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","05","Bamyan",1,"Abdul Latif Pedram","Hezb-e-Congra-e-Mili Afghanistan","M","NO",487
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","05","Bamyan",2,"Hamid Karzai","Independent","M","YES",11826
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","05","Bamyan",3,"Hamayon Shah Asifi","Independent","M","NO",270
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","05","Bamyan",4,"Mir Mohammad Mahfouz Nedaee","Independent","M","NO",485
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","05","Bamyan",5,"Haji Mohammad Mohaqiq","Independent","M","NO",100813
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","05","Bamyan",6,"Syed Ishaq Gilani","Nuhzat-e-Hambastagee Mili Afghanistan","M","NO",413
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","05","Bamyan",7,"Abdul Satar Serat","Independent","M","NO",236
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","05","Bamyan",8,"Abdul Hafiz Mansoor","Independent","M","NO",198
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","05","Bamyan",9,"Ghulam Farooq Nijrabi","Hezb-e-Istiqlal-e-Afghanistan","M","NO",109
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","05","Bamyan",10,"Ahmad Shah Ahmadzai","Independent","M","NO",206
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","05","Bamyan",11,"Abdul Hasseb Aryan","Independent","M","NO",88
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","05","Bamyan",12,"Wakil Mangal","Independent","M","NO",79
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","05","Bamyan",13,"Abdul Hadi Khalilzai","Independent","M","NO",170
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","05","Bamyan",14,"Mohammad Ebrahim Rashid","Independent","M","NO",235
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","05","Bamyan",15,"Yonous Qanooni","Hezb-e-Nuhzhat-e-Mili Afghanistan","M","NO",15421
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","05","Bamyan",16,"Massooda Jalal","Independent","F","NO",1297
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","05","Bamyan",17,"Syed Abdul Hadi Dabir","Independent","M","NO",130
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","05","Bamyan",18,"Abdul Rashid Dostum","Independent","M","NO",118
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","06","Daikondi",1,"Abdul Latif Pedram","Hezb-e-Congra-e-Mili Afghanistan","M","NO",483
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","06","Daikondi",2,"Hamid Karzai","Independent","M","YES",21394
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","06","Daikondi",3,"Hamayon Shah Asifi","Independent","M","NO",390
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","06","Daikondi",4,"Mir Mohammad Mahfouz Nedaee","Independent","M","NO",487
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","06","Daikondi",5,"Haji Mohammad Mohaqiq","Independent","M","NO",136829
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","06","Daikondi",6,"Syed Ishaq Gilani","Nuhzat-e-Hambastagee Mili Afghanistan","M","NO",351
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","06","Daikondi",7,"Abdul Satar Serat","Independent","M","NO",198
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","06","Daikondi",8,"Abdul Hafiz Mansoor","Independent","M","NO",164
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","06","Daikondi",9,"Ghulam Farooq Nijrabi","Hezb-e-Istiqlal-e-Afghanistan","M","NO",89
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","06","Daikondi",10,"Ahmad Shah Ahmadzai","Independent","M","NO",299
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","06","Daikondi",11,"Abdul Hasseb Aryan","Independent","M","NO",88
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","06","Daikondi",12,"Wakil Mangal","Independent","M","NO",81
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","06","Daikondi",13,"Abdul Hadi Khalilzai","Independent","M","NO",139
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","06","Daikondi",14,"Mohammad Ebrahim Rashid","Independent","M","NO",170
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","06","Daikondi",15,"Yonous Qanooni","Hezb-e-Nuhzhat-e-Mili Afghanistan","M","NO",971
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","06","Daikondi",16,"Massooda Jalal","Independent","F","NO",680
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","06","Daikondi",17,"Syed Abdul Hadi Dabir","Independent","M","NO",92
2004-10-09,2004-11-03,"PRESIDENTIAL","FINAL","06","Daikondi",18,"Abdul Rashid Dostum","Independent","M","NO",80
