"province_code","province_name_eng","province_name_dari","district_code","district_name_eng","district_name_dari","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","provincial_capital","pc_code","pc_name_eng","pc_location_eng","pc_name_dari","pc_location_dari","planned_2014","ps_planned_count","ps_male","ps_fem","prelim_first_round_results_reporting","final_first_round_results_reporting","prelim_run_off_results_reporting","final_run_off_results_reporting","lat","lon"
"01","KABUL","کابل","0101","KABUL","كابل","0101-04","KABUL NAHIA 04","كابل - ناحيه 04","YES","0101049","Malalai Girls High School","Sedarat Square","ليسه نسوان ملالي","جهار راهي صدارت","YES",6,2,4,"YES","YES","YES","YES",34.5266232500001,69.1676697400001
"01","KABUL","کابل","0101","KABUL","كابل","0101-04","KABUL NAHIA 04","كابل - ناحيه 04","YES","0101050","Tajwar Sultana Girls High School","Taimani Square","ليسه نسوان تاجور سلطانه","جهار راهي تايعني","YES",8,3,5,"YES","YES","YES","YES",34.5504746500001,69.1419158900001
"01","KABUL","کابل","0101","KABUL","كابل","0101-04","KABUL NAHIA 04","كابل - ناحيه 04","YES","0101051","Jomat Khana-e- Ismailia","Taimani Square","جومات خانه اسماعيليه","جهار راهي تايعني","YES",5,3,2,"YES","YES","YES","YES",34.5532714200001,69.1460216200001
"01","KABUL","کابل","0101","KABUL","كابل","0101-04","KABUL NAHIA 04","كابل - ناحيه 04","YES","0101052","Musa Kalimullah Mosque","Taimani Square","مسجد موسي کليم الله","جهار راهي تايعني","YES",4,2,2,"YES","YES","YES","YES",34.546578,69.146885
"01","KABUL","کابل","0101","KABUL","كابل","0101-04","KABUL NAHIA 04","كابل - ناحيه 04","YES","0101053","Naser Khusraw Balkh School","Taimani Square","مکتب متوسطه ناصر خسرو بلخي","جهار راهي تايعني","YES",8,4,4,"YES","YES","YES","YES",34.5482057700001,69.14712215
"01","KABUL","کابل","0101","KABUL","كابل","0101-04","KABUL NAHIA 04","كابل - ناحيه 04","YES","0101054","Rabia High School","Kart-E-Parwan","ليسه رابيا","كارته يروان","YES",8,4,4,"YES","YES","YES","YES",34.5426150200001,69.1420652
"01","KABUL","کابل","0101","KABUL","كابل","0101-04","KABUL NAHIA 04","كابل - ناحيه 04","YES","0101055","Amir Shir Ali Khan Secondary School","Kart-E-Parwan","مکتب متوسطه امیرشیرعلی خان","كارته يروان","YES",6,3,3,"YES","YES","YES","YES",34.5346842900001,69.1433601
"01","KABUL","کابل","0101","KABUL","كابل","0101-04","KABUL NAHIA 04","كابل - ناحيه 04","YES","0101056","Wazir Mohammad Akbar Khan Secondary School","Kart-E-Parwan","مکتب متوسطه وزير محمد اکبر خان","كارته يروان","YES",6,3,3,"YES","YES","YES","YES",34.53278,69.14578
"01","KABUL","کابل","0101","KABUL","كابل","0101-04","KABUL NAHIA 04","كابل - ناحيه 04","YES","0101057","Baba Nanak High School","Kart-E-Parwan","ليسه بابه نانک","كارته يروان","YES",7,4,3,"YES","YES","YES","YES",34.5343,69.1354
"01","KABUL","کابل","0101","KABUL","كابل","0101-04","KABUL NAHIA 04","كابل - ناحيه 04","YES","0101058","Naderia High School","Kart-E-Parwan","ليسه نادريه","كارته يروان","YES",7,4,3,"YES","YES","YES","YES",34.53454481,69.14022635
"01","KABUL","کابل","0101","KABUL","كابل","0101-04","KABUL NAHIA 04","كابل - ناحيه 04","YES","0101059","Imam Reza e Ghareeb Mosque","Kolula Pushta","مسجد امام رضاي غريب","كلوله بشته","YES",6,3,3,"YES","YES","YES","YES",34.5390762700001,69.1572067500001
"01","KABUL","کابل","0101","KABUL","كابل","0101-04","KABUL NAHIA 04","كابل - ناحيه 04","YES","0101060","Dehkepak Girls High School","Naw Abad Dehkepak","لیسه نسوان ده کیپک","نو اباد ده كييكط","YES",8,3,5,"YES","YES","YES","YES",34.5444570000001,69.12468
"01","KABUL","کابل","0101","KABUL","كابل","0101-04","KABUL NAHIA 04","كابل - ناحيه 04","YES","0101061","Number One Kindergarten","Proja-E- Wazir Abad","کودکستان نمبر١","بروزه وزير اباد","YES",4,2,2,"YES","YES","YES","YES",34.5605912400001,69.15716011
