pc_code,candidate_name_eng,ps_number_1,ps_number_2,ps_number_3,ps_number_4,ps_number_5,ps_number_6,ps_number_7,ps_number_8,ps_number_9,ps_number_10,ps_count
1202049,Abdul Majid Samim,0,1,0,0,,,,,,,4
1202049,Mrs. Shahla Ata,0,0,0,0,,,,,,,4
1202049,Dr. Ghulam Faroq Nijrabi,0,0,0,0,,,,,,,4
1202049,Alhaj Abdul Ghafor Zori,0,0,0,0,,,,,,,4
1202049,Mohammad Hashim Tawfiqi,0,1,0,0,,,,,,,4
1202049,Hamed Karzai,286,250,354,496,,,,,,,4
1202049,Dr. Abdullah Abdullah,6,10,0,0,,,,,,,4
1202049,Dr. Frozan Fana,1,2,8,2,,,,,,,4
1202049,Abdul Jabar Sabit,2,1,0,1,,,,,,,4
1202049,Hidayat Amin Arsala,0,0,0,0,,,,,,,4
1202049,Gul Ahmmad Yama ,0,0,0,0,,,,,,,4
1409113,Haji Rahim Jan Shinzad,0,0,0,0,0,,,,,,5
1409113,Mohammad Sarwar Ahmadzai,0,0,0,0,0,,,,,,5
1409113,Eng. Moin‐ul‐din Ulfati,0,0,0,0,0,,,,,,5
1409113,Dr. Habib Mangal,0,0,0,0,0,,,,,,5
1409113,Zabih‐U‐llah Ghazi Noristani,0,0,0,0,0,,,,,,5
1409113,Sayed Jalal Karim,0,1,0,1,0,,,,,,5
1409113,Mirwais Yasini,0,0,0,5,1,,,,,,5
1409113,Bismillah Shir,0,0,0,0,0,,,,,,5
1409113,Bashir Ahmad Bizhan,0,0,0,0,0,,,,,,5
1409113,Motasim Billah Mazhabi,1,1,1,0,0,,,,,,5
1409113,Ashraf Ghani Ahmadzai,0,0,0,3,0,,,,,,5
1409113,Abdul Latif Pedram,6,5,6,6,12,,,,,,5
1409113,Shahnawaz Tanai,0,0,0,0,0,,,,,,5
1409113,Mulla Abdul Salam Rakity,0,0,0,1,0,,,,,,5
1409113,Zia‐ul‐haq Hafizi,0,0,0,0,0,,,,,,5
1409113,Mohammad Akbar Oria,1,0,1,0,0,,,,,,5
1409113,Sangin Mohammad Rahmani,0,0,0,0,0,,,,,,5
1409113,Mahbob‐U‐lah Koshani,0,3,0,0,0,,,,,,5
1409113,Abdul Hasib Arian,0,0,0,0,1,,,,,,5
1409113,Mulla Ghulam Mohammad Rigi,0,0,0,0,0,,,,,,5
1409113,Ramazan Bashardost,1,4,1,1,3,,,,,,5
1409113,Abdul Majid Samim,0,0,0,0,0,,,,,,5
