"pc_code_18","2018_IEC_district_code","pc_name_eng_18","pc_name_dari_18","assessment_status","planned_2018","2019_matched_to_2014_IEC_district_code","matched_by"
"0105429","0105","Kakarr Jame Mosque","مسجد جامع کاکړ","New","YES","0105",NA
"0105432","0105","Khwaja Ghar Secondary School","متوسطه خواجه غار","New","YES","0105",NA
"0105434","0105","Baba Qashqar vocational School","مکتب حرفوی بابه قشقار","Relocated","YES","0105",NA
"0105435","0105","Aabdara High School","لیسه آبدره","New","YES","0105",NA
"0105437","0105","Shiekh Saduddin Mohammad Ansari Secondary School","متوسطه شیخ سعدالدین محمد انصاری","New","YES","0105",NA
"0105443","0105","Pul e Sangi Health Clinic","کلینک صحی پل سنکی","New","YES","0105",NA
"0106445","0106","Kochi Secondary School","مکتب متوسط کوچی","Relocated","YES","0106",NA
"0107459","0107","Shenkai Dashtak Village Jame Mosque","مسجد جامع قریه شینکی دشتک","Old","YES","0107",NA
"0107462","0107","Sang e Naweshta Mosque","مسجد سنگ  نوشته","New","YES","0107",NA
"0107463","0107","Qalla E Janan Girls Secondary School","مکتب متوسطه نسوان قلعه جانان","Relocated","YES","0107",NA
"0107464","0107","Rahmat Abad Secondary School","مکتب متوسطه رحمت آباد","New","YES","0107",NA
"0107465","0107","Mosahi Ulya High School","لیسه موسهی علیا","Old","YES","0107",NA
"0107466","0107","Miakhil Clinic","کلینیک میاخیل","Relocated","YES","0107",NA
"0108471","0108","Hawashinasi (Meteorology)","هواشناسی","Relocated","YES","0108",NA
"0108472","0108","Qalam Chaq Primary School","مکتب ابتدایه قلم چاق","Relocated","YES","0108",NA
"0109485","0109","Mullah Omer Primary School","مکتب ابتدائیه ملاعمر","New","YES","0109",NA
"0110493","0110","Karendah High School","لیسه کارنده","Relocated","YES","0110",NA
"0110494","0110","Mashwanni Secondary School","مکتب متوسطه مشوانی","Relocated","YES","0110",NA
"0110560","0110","Mir Darwish Kohdamani High School","ل ی س ه م ر ي د ر و ی ش ک و ه د ا م ین",NA,"YES","0110",NA
"0111495","0111","Dasht e Guldarah High School","لیسه دشت گلدره","Relocated","YES","0111",NA
"0111500","0111","Khurasan School","مکتب خراسان","Relocated","YES","0111",NA
"0112505","0112","Qalla e Mir Afghan School","مکتب قلعه میرا فغان","Relocated","YES","0112",NA
"0112507","0112","Jame Mosque","مسجد جامع","Relocated","YES","0112",NA
"0115537","0115","Sarchashma Girls Secondary School","متوسطه نسوان سرچشمه","Relocated","YES","0115",NA
"0115544","0115","Mia Rasoul Baba Mosque","مسجد میارسول بابا","New","YES","0115",NA
"0115549","0115","Gaz Ulya School","مکتب گاز علیا","Old","YES","0115",NA
"0115550","0115","Yakhdand School","مکتب یخدند","New","YES","0115",NA
"0115551","0115","Husain Khil High School","لیسه حسین خیل","New","YES","0115",NA
"0201004","0201","Zakozai Mosque","مسجد جامع زکوزائی","New","YES","0201",NA
"0201005","0201","Late Sayed Mir Jan Mosque","مسجدمرحوم سید میرجان","New","YES","0201",NA
"0201011","0201","Qari Mir Usman Shaheed Girls High School","لیسه نسوان قاری میرعثمان شهید","Relocated","YES","0201",NA
"0201013","0201","Qazi Khil Girls High School","لیسه نسوان قاضی خیل","New","YES","0201",NA
"0201016","0201","Malik Gee Khil Mosque","مسجد ملک جی خیل","New","YES","0201",NA
"0202017","0202","Alhaj Ghulam Sakhi Girls Secondary School","مکتب متوسطه نسوان الحاج غلام سخی","Relocated","YES","0202",NA
"0202018","0202","Haji Mohammad Hakim Shaheed Secondary School","مکتب متوسطه حاجی محمد حکیم شهید","New","YES","0202",NA
"0202020","0202","Mohammad Anwar Shaheed Primary School","لیسه ذکور محمد انور شهید","Relocated","YES","0202",NA
"0202094","0202","Mullah Muhammad Shahid School","مکتب ملامحمد شهید",NA,"YES","0202",NA
"0203026","0203","Qalla e Atta Khan Girls Primary School","مکتب ابتدایه نسوان قلعه عطلخان","New","YES","0203",NA
"0203028","0203","Habib Khil Mosque","مسجد حبیب خیل","Old","YES","0203",NA
"0204034","0204","Ilhaqya Qalla e Mir School","مکتب الحاقیه قلعه میر","New","YES","0204",NA
"0204035","0204","Abdul Shukoor Khan Secondary School","مکتب متوسطه عبدالشکورخان","Relocated","YES","0204",NA
"0204039","0204","Naser Khan Khil Secondary School","مکتب متوسطه ناصرخانخیل","New","YES","0204",NA
"0205048","0205","Kahloot Secondary School","مکتب متوسطه کهلوت","New","YES","0205",NA
"0205050","0205","Qalla e Ghani Girls School","مکتب نسوان قلعه غنی","Relocated","YES","0205",NA
"0205060","0205","Sabat Mosque","مسجد سابات","Relocated","YES","0205",NA
"0205062","0205","Bagh e Aman Mosque","مسجد باغ امان","Old","YES","0205",NA
"0205065","0205","Weeshar Mosque","مسجد ویشار","Old","YES","0205",NA
"0205068","0205","Abdul Salam Shaheed Primary School","مکتب  ابتدائیه عبدالسلام شهید","Old","NO","0205",NA
"0206074","0206","Tatar Khil Mosque","مسجد تتر خیل","Old","NO","0206",NA
"0206075","0206","Ghazi Amanullah High School","لیسه غازی امان الله","Not Assessed","NO","0206",NA
"0206076","0206","Shaheed Hafeezullah Secondary School","متوسطه شهید حفیظ الله","Old","YES","0206",NA
"0206078","0206","Aman Shaheed Primary School","مکتب ابتدائیه امان شهید","Old","NO","0206",NA
"0206079","0206","Rod Khushk Mosque","مسجد رود خشک","Old","NO","0206",NA
"0206080","0206","Sofyan Mosque","مسجد صوفیان","Not Assessed","NO","0206",NA
"0206081","0206","Shaheed Anwar Khil High School","لیسه شهید انور خیل","Not Assessed","NO","0206",NA
"0206082","0206","Chayee Khil Primary School","مکتب ابتدائیه چایی خیل","Old","NO","0206",NA
"0206083","0206","Nowrozkhil Jame Mosque","مسجد جامع نوروز خیل","Old","NO","0206",NA
"0206084","0206","Shalwati Mosque","مسجد شلواتی","Not Assessed","YES","0206",NA
"0206085","0206","Payenda Khil School","مکتب پاینده خیل","Old","YES","0206",NA
"0207087","0207","Sultan Khil Mosque","مسجد سلطانخیل","Not Assessed","YES","0207",NA
"0207088","0207","Hayatullah Shaheed High School","لیسه حیات الله شهید","Old","YES","0207",NA
"0207089","0207","Hassan Shaheed Primary School","مکتب ابتدائیه حسن شهید","Not Assessed","YES","0207",NA
"0207090","0207","Chayee Khil Primary School","مکتب ابتدائیه چایی خیل","Old","NO","0207",NA
"0207091","0207","Kondi High School","لسیه کوندی","Old","NO","0207",NA
"0207092","0207","Hassan Abad Primary School","مکتب ابتدائیه حسن آباد","Not Assessed","NO","0207",NA
"0207093","0207","Koti Primary School","مکتب ابتدائیه  کوتی","Not Assessed","NO","0207",NA
"0301004","0301","Bibi Safia Jame Mosque","مسجد جامع بی بی صفیه","New","YES","0301",NA
"0301005","0301","Omer Farouq Jame Mosque","مسجد جامع عمر فاروق","Relocated","YES","0301",NA
