"province_code","province_name_eng","district_code","district_name_eng","district_name_dari","district_name_pashto","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","district_or_subdivision_name_pashto","provincial_capital","pc_code","pc_name_eng","pc_name_dari","pc_name_pashto","pc_location_eng","pc_location_dari","pc_location_pashto","planned_2018","prelim_ps_count","final_ps_count","prelim_results_reporting","final_results_reporting","pc_change_initial_final_plan","assessment_status","vr_prelim","vr_total_removed","vr_removed_spoiled_IDs","vr_removed_no_tazkera","vr_removed_no_DOB","vr_removed_closed_PC","vr_removed_lost_book","vr_removed_duplicates","vr_removed_underage","vr_general_total","vr_general_male","vr_general_fem","vr_final_kuchi","vr_final_sikh","vr_final_all_male","vr_final_all_fem","vr_final_all_total"
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","كابل ناحیه 02","YES","0101023","Isteqlal High School","ليسه استقلال","ليسه استقلال","Park e Zarnigar","پارک زرنگار","پارک زرنگار","YES",1,2,"YES","YES","no change","Old",2334,71,14,0,11,0,0,32,14,2255,1951,304,8,0,1959,304,2263
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","كابل ناحیه 02","YES","0101024","Nayeb Salar Mosque","مسجد نایب سالار","مسجد نایب سالار","Qoul e Aab Chakan","قول آب چکان","قول آب چکان","YES",4,0,"YES","NO","no change","Old",3480,144,17,0,11,0,0,27,89,3332,2504,828,4,0,2507,829,3336
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","كابل ناحیه 02","YES","0101025","Imam Azam Mosque","مسجد امام اعظم","مسجد امام اعظم","Gardanah e Sakhi","گردنه سخی","گردنه سخی","YES",3,2,"YES","YES","no change","New",1414,117,14,0,6,0,0,55,42,1296,754,542,1,0,754,543,1297
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","كابل ناحیه 02","YES","0101026","Zabihullah Shaheed High School","لیسه عالی ذبیح الله شهید","لیسه عالی ذبیح الله شهید","Kart e Aryana","کارته آريانا","کارته آريانا","YES",5,8,"YES","YES","no change","Old",3798,126,24,0,23,0,0,41,38,3669,2778,891,3,0,2781,891,3672
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","كابل ناحیه 02","YES","0101027","Sa'ad bin Abi Waqas Mosque","مسجد سعد بن ابی وقاص","مسجد سعد بن ابی وقاص","Sharq e Kart e Parwan","شرق کارته پروان","شرق کارته پروان","YES",NA,NA,"NO","NO","no change","New",1110,68,11,0,4,0,0,32,21,1042,673,369,0,0,673,369,1042
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","كابل ناحیه 02","YES","0101028","Wazeer Mohammad Akbar Khan Secondary School","مکتب متوسطه وزير محمد اکبر خان","مکتب متوسطه وزير محمد اکبر خان","Kart e Parwan","کارته پروان","کارته پروان","YES",1,2,"YES","YES","no change","Old",1584,69,20,0,5,0,0,24,20,1514,1052,462,1,0,1052,463,1515
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","كابل ناحیه 02","YES","0101029","Naderia High School","ليسه نادريه","ليسه نادريه","Kart e Parwan","کارته پروان","کارته پروان","YES",6,3,"YES","YES","no change","Old",3780,125,11,0,10,0,0,71,33,3622,3002,620,29,4,3025,630,3655
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","كابل ناحیه 02","YES","0101030","Omer Farooq Mosque","مسجد عمر فاروق","مسجد عمر فاروق","Kart e Parwan","کارته پروان","کارته پروان","YES",0,6,"NO","YES","no change","Old",2825,145,23,0,18,0,0,48,56,2679,2022,657,1,0,2023,657,2680
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","كابل ناحیه 02","YES","0101031","Ma'az ibne Jabal Mosque","مسجد معاذ ابن جبل","مسجد معاذ ابن جبل","Kart e Parwan","کارته پروان","کارته پروان","YES",1,2,"YES","YES","no change","Old",936,30,8,0,3,0,0,11,8,905,622,283,1,0,623,283,906
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-02","KABUL CITY NAHIA 02","كابل ناحیه 02","كابل ناحیه 02","YES","0101032","Abdullah bin Masoud Mosque","مسجد عبدالله بن مسعود","مسجد عبدالله بن مسعود","Bagh e Bala","باغ بالا","باغ بالا","YES",3,4,"YES","YES","no change","Old",2177,183,11,0,32,0,0,80,60,1989,1620,369,5,0,1623,371,1994
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","كابل ناحیه 03","YES","0101033","Sayed Jamaluddin Experimental Secondary School","مکتب متوسطه تجربوی سید جمال الدین","مکتب متوسطه تجربوی سید جمال الدین","Sarai Ghazni","سرای غزنی","سرای غزنی","YES",3,4,"YES","YES","no change","Old",1122,39,15,0,3,0,0,12,9,1083,705,378,0,0,705,378,1083
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","كابل ناحیه 03","YES","0101034","Afghan Technology Institute","انستیتوت تکنالوژی افغان","انستیتوت تکنالوژی افغان","Kart e Chahar","کارته چهار","کارته چهار","YES",4,6,"YES","YES","no change","Old",1920,103,15,0,11,0,0,46,31,1817,1545,272,0,0,1545,272,1817
"01","KABUL","0101","KABUL CITY","كابل","كابل","0101-03","KABUL CITY NAHIA 03","كابل ناحیه 03","كابل ناحیه 03","YES","0101035","Sayed Jamaluddin Secondary School","مکتب متوسطه سید جمال الدین","مکتب متوسطه سید جمال الدین","Kart e Chahar","کاراته چهار","کاراته چهار","YES",6,8,"YES","YES","no change","Old",3334,151,38,0,19,0,0,61,33,3182,2209,973,1,0,2210,973,3183
