pc_code_18,pc_code_14,site_2018,site_2014,matched,matched_by,center_status,dropped_from_14,code_change,merger,pc_name_eng_18,pc_name_dari_18,iec_2018_assessment_report_status,pc_name_eng_14,pc_name_dari_14,lat_14,lon_14,coord_14_18_discrepancy_in_meters
0101085,0101081,YES,YES,YES,LOCATION NAME AND DISTRICT MATCH,Existing Site,NO,YES,NA,Shah e Awlya Mosque,مسجد شاه اوليا,Old,Shah-e- Awlia Mosque,مسجد شاه اوليا,34.54291778,69.0541872700001,2.82875759566941
0101086,0101078,YES,YES,YES,LOCATION NAME AND DISTRICT MATCH,Existing Site,NO,YES,NA,Hazrat Bilal Mosque,مسجد حضرت بلال,Old,Hazrat Bilal Mosque,مسجد حضرت بلال,34.5254069200001,69.0455371600001,18.9082807888452
0101087,NA,YES,NO,NO,NO MATCH / NEW LOCATION,New Site,NO,NA,NA,Hazrat Mohammad (pbuh) Mosque,مسجد حضرت محمد ص,Relocated,NA,NA,NA,NA,NA
0101088,0101073,YES,YES,YES,LOCATION NAME AND DISTRICT MATCH,Existing Site,NO,YES,NA,Qalla e Kashif High School,ليسه قلعه کاشف,Old,Qala- e- Kashif High School,ليسه قلعه کاشف,34.52486973,69.05411655,28.9679326010651
0101089,0101085,YES,YES,YES,LOCATION NAME AND DISTRICT MATCH,Existing Site,NO,YES,NA,Shaheed Mosque,مسجد شهيد,Old,Shaheed Mosque,مسجد شهيد,34.52865732,69.058329,7.02765469484153
0101090,0101108,YES,YES,YES,LOCATION NAME AND DISTRICT MATCH,Existing Site,NO,YES,NA,Sar Aasyab Girls High School,ليسه نسوان سر آسياب,Old,Sar Asiab Girls High School,ليسه نسوان سر آسياب,34.4606583400001,69.12801439,12.890444152603
0101091,0101105,YES,YES,YES,LOCATION NAME AND DISTRICT MATCH,Existing Site,NO,YES,NA,Shah E Welayat Ma'ab Mosque,مسجد شاه ولايت ماب,Old,Shah Wolayat Maab Mosque,مسجد شاه ولايت ماب,34.46565378,69.11072483,10.3821475202134
0101092,0101104,YES,YES,YES,LOCATION NAME AND DISTRICT MATCH,Existing Site,NO,YES,NA,Qalla e Bakhtyar High School,لیسه قلعه بختیار,Relocated,Qala-e-Bakhtiar High School,لیسه قلعه بختیار,34.4716938600001,69.1143885000001,30.7084856466445
0101093,0101112,YES,YES,YES,LOCATION NAME AND DISTRICT MATCH,Existing Site,NO,YES,NA,Tuberculosis Institute,انستيتوت توبرکلوز,Old,Tubercloses Institute,انستيتوت توبرکلوز,34.4761045900001,69.1179633700001,51.8565466216668
0101094,0101109,YES,YES,YES,LOCATION NAME AND DISTRICT MATCH,Existing Site,NO,YES,NA,Finance and Accounting Institute (Mali wa Hesabi *,انستیتوت مالی و حسابی,Old,Financial and Economics Institute,انستیتوت مالی و حسابی,34.4792701600001,69.1228510300001,36.038225008708
0101095,0101111,YES,YES,YES,LOCATION NAME AND DISTRICT MATCH,Existing Site,NO,YES,NA,Jafaria Mosque,مسجد جعفريه,Old,Jafaria Mosque,مسجد جعفريه,34.4889166600001,69.1288888800001,537.898520332591
0101096,0101122,YES,YES,YES,LOCATION NAME AND DISTRICT MATCH,Existing Site,NO,YES,NA,Mohammadia Mosque,مسجد محمديه,Old,Mohammadia Mosque,مسجد محمديه,34.4952211400001,69.13705316,16.4016895664025
0101097,0101120,YES,YES,YES,LOCATION NAME AND DISTRICT MATCH,Existing Site,NO,YES,NA,Abdul Ghani Mostaghni High School,ليسه عبدالغني مستغني,Old,Abdul Ghani Mustaghni High School,ليسه عبدالغني مستغني,34.4998515200001,69.13978599,2.48136976174489
0101098,0101119,YES,YES,YES,LOCATION NAME AND DISTRICT MATCH,Existing Site,NO,YES,NA,Markaz Nahia e Shashum (Nahia 6 Center),مرکز ناحيه ششم,Old,6th Nahia Center,مرکز ناحيه ششم,34.5030761600001,69.1363485,18.8381532631288
0101099,0101123,YES,YES,YES,LOCATION NAME AND DISTRICT MATCH,Existing Site,NO,YES,NA,Resalat Madrassah,مدرسه رسالت,Old,Resalat Madrassa,مدرسه رسالت,34.499387,69.1319405400001,563.802339376637
0101100,0101124,YES,YES,YES,LOCATION NAME AND DISTRICT MATCH,Existing Site,NO,YES,NA,Safed Mosque (White Mosque),مسجد سفيد,Old,Safid Mosque,مسجد سفيد,34.4925901500001,69.1236166300001,7.90729829048711
0101101,0101101,YES,YES,YES,LOCATION NAME AND DISTRICT MATCH,Existing Site,NO,NO,NA,Ahmadi Mosque,مسجد احمدي,Old,Ahmadi Mosque,مسجد احمدي,34.4944902600001,69.1146284500001,3.19720540585192
0101102,0101117,YES,YES,YES,LOCATION NAME AND DISTRICT MATCH,Existing Site,NO,YES,NA,Wahdat Takya Khanahh,تکيه خانه وحدت,Old,Takia Khana-e-Wahdat,تکيه خانه وحدت,34.50269632,69.12557806,4.4678819547105
0101103,0101118,YES,YES,YES,LOCATION NAME AND DISTRICT MATCH,Existing Site,NO,YES,NA,Ummul Baneen High School,لیسه ام البنین,Old,Ummulbanin High School,لیسه ام البنین,34.50246264,69.12148858,62.5376281270795
0101104,0101115,YES,YES,YES,LOCATION NAME AND DISTRICT MATCH,Existing Site,NO,YES,NA,Jamia Al Islam Madrassah,مدرسه جامعۀ الاسلام,Old,Jamia Islam Madrassa,مدرسه جامعۀ الاسلام,34.5043839000001,69.11778594,7.42209756634514
0101105,NA,YES,NO,NO,NO MATCH / NEW LOCATION,New Site,NO,NA,NA,Wali Aser Jame Mosque,مسجد جامع ولی عصر,Relocated,NA,NA,NA,NA,NA
0101106,0101098,YES,YES,YES,LOCATION NAME AND DISTRICT MATCH,Existing Site,NO,YES,NA,Mohammad Asef Mael High School,ليسه محمد آصف مايل,Old,Mohammad Asif Mayel High School,ليسه محمد آصف مايل,34.5056111100001,69.1060555500001,77.4529821150216
0101107,0101097,YES,YES,YES,LOCATION NAME AND DISTRICT MATCH,Existing Site,NO,YES,NA,Khatemul Anbya Madrassah,مدرسه خاتم الانبيا,Relocated,Khatamul Anbia Madrassa,مدرسه خاتم الانبيا,34.50416285,69.10449717,10.3151775003028
