"election_date","results_date","election_type","results_status","province_code","province_name_eng","province_name_dari","candidate_code","ballot_position","candidate_name_eng","candidate_name_dari","candidate_gender","party_name_dari","past_winner","final_winner","male_ps_votes","fem_ps_votes","kuchi_ps_votes","votes"
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",6359797,12,"Ashraf Ghani Ahmadzai","اشرف غنی احمدزی","M","مستقل","NO","NO",139,28,7,174
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",860263,13,"Abdul Latif Pedram","عبداللطیف پدرام","M","حزب کنگره ملی افغانستان","NO","NO",44,13,1,58
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",3010205,14,"Shahnawaz Tanai","شهنواز تڼی","M","د افغانستان د سولی غورځنګ ګوند","NO","NO",26,8,1,35
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",6189430,16,"Mulla Abdul Salam Rakity","ملا عبد السلام راکتی","M","مستقل","NO","NO",74,20,2,96
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",6350715,17,"Zia-ul-haq Hafizi","ضیا الحق حافظی","M","مستقل","NO","NO",10,1,0,11
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",6189294,18,"Mohammad Akbar Oria","محمد اکبر اوریا","M","مستقل","NO","NO",18,3,0,21
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",977770,20,"Sangin Mohammad Rahmani","سنگین محمد رحمانی","M","مستقل","NO","NO",3,2,0,5
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",3010270,21,"Mahbob-U-lah Koshani","محبوب الله کوشانی","M","حزب آزادگان افغانستان","NO","NO",4,0,0,4
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",3788581,23,"Abdul Hasib Arian","عبدالحسیب آرین","M","مستقل","NO","NO",15,4,0,19
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",6178408,24,"Mulla Ghulam Mohammad Rigi","ملا غلام محمد ریگی","M","مستقل","NO","NO",10,1,0,11
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",997138,25,"Ramazan Bashardost","رمضان بشردوست","M","مستقل","NO","NO",665,168,9,842
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",12223481,27,"Abdul Majid Samim","عبدالمجید صمیم","M","مستقل","NO","NO",14,3,0,17
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",6370916,30,"Mrs. Shahla Ata","شهلا عطا","F","مستقل","NO","NO",76,16,2,94
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",6358651,31,"Dr. Ghulam Faroq Nijrabi","پروفیسور دوکتور غلام فاروق نجرابی","M","حزب استقلال افغانستان","NO","NO",963,386,24,1373
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",7263746,32,"Alhaj Abdul Ghafor Zori","الحاج عبد الغفور زوری","M","مستقل","NO","NO",9,3,1,13
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",6155279,33,"Mohammad Hashim Tawfiqi","محمد هاشم توفیقی","M","مستقل","NO","NO",12,1,1,14
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",983418,35,"Hamed Karzai","حامد کرزی","M","مستقل","YES","YES",6985,2849,434,10268
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",1004871,37,"Dr. Abdullah Abdullah","داکتر عبد الله عبدالله","M","مستقل","NO","NO",21515,9101,65,30681
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",6371180,38,"Dr. Frozan Fana","داکتر فروزان فنا","F","مستقل","NO","NO",122,140,3,265
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",5109208,39,"Abdul Jabar Sabit","عبدالجبار ثابت","M","مستقل","NO","NO",21,1,2,24
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",11348474,40,"Hidayat Amin Arsala","هدایت امین ارسلا","M","مستقل","NO","NO",7,3,1,11
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",2,"KAPISA","کاپيسا",7849401,41,"Gul Ahmmad Yama","گل احمد یما","M","مستقل","NO","NO",17,9,0,26
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",1095147,1,"Haji Rahim Jan Shinzad","الحاج رحیم جان شیرزاد فی سبیل الله","M","مستقل","NO","NO",97,21,0,118
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",6359413,3,"Mohammad Sarwar Ahmadzai","محمد سرور احمدزی","M","مستقل","NO","NO",86,23,0,109
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",4657143,4,"Eng. Moin-ul-din Ulfati","انجنیر معین الدین الفتی","M","مستقل","NO","NO",59,16,0,75
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",6350379,5,"Dr. Habib Mangal","داکتر حبیب منگل","M","حزب نھضت فراگير دموکراسی وترقی افغانستان","NO","NO",117,62,0,179
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",7822442,6,"Zabih-U-llah Ghazi Noristani","ذبیح الله غازی نورستانی","M","مستقل","NO","NO",46,17,0,63
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",7770491,7,"Sayed Jalal Karim","سید جلال کریم","M","مستقل","NO","NO",115,53,0,168
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",6359075,8,"Mirwais Yasini","میرویس یاسینی","M","مستقل","NO","NO",166,80,0,246
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",3907996,9,"Bismillah Shir","بسم الله شیر","M","مستقل","NO","NO",41,26,0,67
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",2287256,10,"Bashir Ahmad Bizhan","بشیر احمد بیژن","M","مستقل","NO","NO",22,7,0,29
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",8894180,11,"Motasim Billah Mazhabi","معتصم بالله مذهبی","M","مستقل","NO","NO",203,78,0,281
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",6359797,12,"Ashraf Ghani Ahmadzai","اشرف غنی احمدزی","M","مستقل","NO","NO",536,183,1,720
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",860263,13,"Abdul Latif Pedram","عبداللطیف پدرام","M","حزب کنگره ملی افغانستان","NO","NO",80,30,0,110
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",3010205,14,"Shahnawaz Tanai","شهنواز تڼی","M","د افغانستان د سولی غورځنګ ګوند","NO","NO",88,22,0,110
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",6189430,16,"Mulla Abdul Salam Rakity","ملا عبد السلام راکتی","M","مستقل","NO","NO",468,88,1,557
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",6350715,17,"Zia-ul-haq Hafizi","ضیا الحق حافظی","M","مستقل","NO","NO",33,10,0,43
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",6189294,18,"Mohammad Akbar Oria","محمد اکبر اوریا","M","مستقل","NO","NO",23,10,0,33
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",977770,20,"Sangin Mohammad Rahmani","سنگین محمد رحمانی","M","مستقل","NO","NO",32,8,0,40
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",3010270,21,"Mahbob-U-lah Koshani","محبوب الله کوشانی","M","حزب آزادگان افغانستان","NO","NO",21,12,0,33
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",3788581,23,"Abdul Hasib Arian","عبدالحسیب آرین","M","مستقل","NO","NO",44,18,0,62
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",6178408,24,"Mulla Ghulam Mohammad Rigi","ملا غلام محمد ریگی","M","مستقل","NO","NO",49,10,0,59
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",997138,25,"Ramazan Bashardost","رمضان بشردوست","M","مستقل","NO","NO",3794,1164,1,4959
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",12223481,27,"Abdul Majid Samim","عبدالمجید صمیم","M","مستقل","NO","NO",37,6,1,44
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",6370916,30,"Mrs. Shahla Ata","شهلا عطا","F","مستقل","NO","NO",120,38,1,159
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",6358651,31,"Dr. Ghulam Faroq Nijrabi","پروفیسور دوکتور غلام فاروق نجرابی","M","حزب استقلال افغانستان","NO","NO",105,23,0,128
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",7263746,32,"Alhaj Abdul Ghafor Zori","الحاج عبد الغفور زوری","M","مستقل","NO","NO",23,9,0,32
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",6155279,33,"Mohammad Hashim Tawfiqi","محمد هاشم توفیقی","M","مستقل","NO","NO",39,18,1,58
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",983418,35,"Hamed Karzai","حامد کرزی","M","مستقل","YES","YES",18347,7412,58,25817
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",1004871,37,"Dr. Abdullah Abdullah","داکتر عبد الله عبدالله","M","مستقل","NO","NO",43749,16902,1,60652
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",6371180,38,"Dr. Frozan Fana","داکتر فروزان فنا","F","مستقل","NO","NO",236,134,0,370
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",5109208,39,"Abdul Jabar Sabit","عبدالجبار ثابت","M","مستقل","NO","NO",161,40,0,201
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",11348474,40,"Hidayat Amin Arsala","هدایت امین ارسلا","M","مستقل","NO","NO",11,8,0,19
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",3,"PARWAN","پروان",7849401,41,"Gul Ahmmad Yama","گل احمد یما","M","مستقل","NO","NO",34,25,0,59
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",1095147,1,"Haji Rahim Jan Shinzad","الحاج رحیم جان شیرزاد فی سبیل الله","M","مستقل","NO","NO",18,14,0,32
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",6359413,3,"Mohammad Sarwar Ahmadzai","محمد سرور احمدزی","M","مستقل","NO","NO",36,34,0,70
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",4657143,4,"Eng. Moin-ul-din Ulfati","انجنیر معین الدین الفتی","M","مستقل","NO","NO",16,9,0,25
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",6350379,5,"Dr. Habib Mangal","داکتر حبیب منگل","M","حزب نھضت فراگير دموکراسی وترقی افغانستان","NO","NO",14,7,0,21
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",7822442,6,"Zabih-U-llah Ghazi Noristani","ذبیح الله غازی نورستانی","M","مستقل","NO","NO",14,17,0,31
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",7770491,7,"Sayed Jalal Karim","سید جلال کریم","M","مستقل","NO","NO",20,21,0,41
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",6359075,8,"Mirwais Yasini","میرویس یاسینی","M","مستقل","NO","NO",258,34,5,297
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",3907996,9,"Bismillah Shir","بسم الله شیر","M","مستقل","NO","NO",19,13,0,32
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",2287256,10,"Bashir Ahmad Bizhan","بشیر احمد بیژن","M","مستقل","NO","NO",16,10,0,26
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",8894180,11,"Motasim Billah Mazhabi","معتصم بالله مذهبی","M","مستقل","NO","NO",15,9,5,29
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",6359797,12,"Ashraf Ghani Ahmadzai","اشرف غنی احمدزی","M","مستقل","NO","NO",1119,160,1534,2813
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",860263,13,"Abdul Latif Pedram","عبداللطیف پدرام","M","حزب کنگره ملی افغانستان","NO","NO",75,48,2,125
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",3010205,14,"Shahnawaz Tanai","شهنواز تڼی","M","د افغانستان د سولی غورځنګ ګوند","NO","NO",34,23,0,57
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",6189430,16,"Mulla Abdul Salam Rakity","ملا عبد السلام راکتی","M","مستقل","NO","NO",96,23,17,136
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",6350715,17,"Zia-ul-haq Hafizi","ضیا الحق حافظی","M","مستقل","NO","NO",8,10,0,18
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",6189294,18,"Mohammad Akbar Oria","محمد اکبر اوریا","M","مستقل","NO","NO",14,7,0,21
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",977770,20,"Sangin Mohammad Rahmani","سنگین محمد رحمانی","M","مستقل","NO","NO",4,6,0,10
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",3010270,21,"Mahbob-U-lah Koshani","محبوب الله کوشانی","M","حزب آزادگان افغانستان","NO","NO",7,8,0,15
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",3788581,23,"Abdul Hasib Arian","عبدالحسیب آرین","M","مستقل","NO","NO",6,9,0,15
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",6178408,24,"Mulla Ghulam Mohammad Rigi","ملا غلام محمد ریگی","M","مستقل","NO","NO",14,11,0,25
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",997138,25,"Ramazan Bashardost","رمضان بشردوست","M","مستقل","NO","NO",6546,4134,0,10680
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",12223481,27,"Abdul Majid Samim","عبدالمجید صمیم","M","مستقل","NO","NO",10,3,0,13
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",6370916,30,"Mrs. Shahla Ata","شهلا عطا","F","مستقل","NO","NO",72,62,8,142
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",6358651,31,"Dr. Ghulam Faroq Nijrabi","پروفیسور دوکتور غلام فاروق نجرابی","M","حزب استقلال افغانستان","NO","NO",8,3,0,11
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",7263746,32,"Alhaj Abdul Ghafor Zori","الحاج عبد الغفور زوری","M","مستقل","NO","NO",7,14,0,21
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",6155279,33,"Mohammad Hashim Tawfiqi","محمد هاشم توفیقی","M","مستقل","NO","NO",12,14,0,26
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",983418,35,"Hamed Karzai","حامد کرزی","M","مستقل","YES","YES",13938,8488,312,22738
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",1004871,37,"Dr. Abdullah Abdullah","داکتر عبد الله عبدالله","M","مستقل","NO","NO",2080,1206,2,3288
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",6371180,38,"Dr. Frozan Fana","داکتر فروزان فنا","F","مستقل","NO","NO",114,103,18,235
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",5109208,39,"Abdul Jabar Sabit","عبدالجبار ثابت","M","مستقل","NO","NO",16,16,2,34
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",11348474,40,"Hidayat Amin Arsala","هدایت امین ارسلا","M","مستقل","NO","NO",3,1,0,4
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",4,"WARDAK","وردک",7849401,41,"Gul Ahmmad Yama","گل احمد یما","M","مستقل","NO","NO",9,12,0,21
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",5,"LOGAR","لوگر",1095147,1,"Haji Rahim Jan Shinzad","الحاج رحیم جان شیرزاد فی سبیل الله","M","مستقل","NO","NO",16,0,0,16
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",5,"LOGAR","لوگر",6359413,3,"Mohammad Sarwar Ahmadzai","محمد سرور احمدزی","M","مستقل","NO","NO",4257,576,17,4850
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",5,"LOGAR","لوگر",4657143,4,"Eng. Moin-ul-din Ulfati","انجنیر معین الدین الفتی","M","مستقل","NO","NO",8,2,7,17
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",5,"LOGAR","لوگر",6350379,5,"Dr. Habib Mangal","داکتر حبیب منگل","M","حزب نھضت فراگير دموکراسی وترقی افغانستان","NO","NO",7,1,0,8
"2009-08-20","2009-10-21","PRESIDENTIAL","FINAL",5,"LOGAR","لوگر",7822442,6,"Zabih-U-llah Ghazi Noristani","ذبیح الله غازی نورستانی","M","مستقل","NO","NO",4,1,1,6
