"results_date","results_status","election_type","province_code","province_name_eng","candidate_code","ballot_position","candidate_name_eng","candidate_name_dari","candidate_gender","withdrawn","invalidated","past_winners","final_winner","votes"
2019-02-18,"FINAL","PRESIDENTIAL","02","KAPISA","1012-32-7",3,"Dr. Faramarz Tamana","دکتور فرامرز تمنا","M","NO","NO","NO","NO",59
2019-02-18,"FINAL","PRESIDENTIAL","02","KAPISA","1035-8-11",5,"Ahmad Wali Masood","احمد ولی مسعود","M","NO","NO","NO","NO",54
2019-02-18,"FINAL","PRESIDENTIAL","02","KAPISA","1025-5-16",6,"Noor Rahman Lewal","نور رحمان لٻوال","M","NO","NO","NO","NO",2
2019-02-18,"FINAL","PRESIDENTIAL","02","KAPISA","1033-4-8",7,"Mohammad Shahab Hakimi","محمد شهاب حکيمی","M","NO","NO","NO","NO",14
2019-02-18,"FINAL","PRESIDENTIAL","02","KAPISA","1055-5-15",8,"Mohammad Ashraf Ghani","محمد اشرف غنی","M","NO","NO","YES","YES",4599
2019-02-18,"FINAL","PRESIDENTIAL","02","KAPISA","1052-1-14",9,"Dr. Abdullah Abdullah","دکتور عبدالله عبدالله","M","NO","NO","NO","NO",7089
2019-02-18,"FINAL","PRESIDENTIAL","02","KAPISA","1037-1-2",10,"Mohammad Hakim Torsan","محمد حکيم تورسن","M","NO","NO","NO","NO",66
2019-02-18,"FINAL","PRESIDENTIAL","02","KAPISA","1042-19-10",11,"Gulbedin Hekmatyar","گلبدين حکمتيار","M","NO","NO","NO","NO",1814
2019-02-18,"FINAL","PRESIDENTIAL","02","KAPISA","1002-17-1",12,"Abdul Latif Pedram","عبداللطيف پدرام","M","NO","NO","NO","NO",57
2019-02-18,"FINAL","PRESIDENTIAL","02","KAPISA","1007-2-18",15,"Professor Dr. Ghulam Farooq Najrabi","پوهاند پروفيسور دوکتور غلام فاروق نجرابی","M","NO","NO","NO","NO",176
2019-02-18,"FINAL","PRESIDENTIAL","02","KAPISA","1029-4-4",16,"Enayatullah Hafiz","عنايت الله حفيظ","M","NO","NO","NO","NO",5
2019-02-18,"FINAL","PRESIDENTIAL","02","KAPISA","1058-7-9",17,"Mohammad Hanif Atmar","محمد حنيف اتمر","M","YES","NO","NO","NO",2
2019-02-18,"FINAL","PRESIDENTIAL","03","PARWAN","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",257
2019-02-18,"FINAL","PRESIDENTIAL","03","PARWAN","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",357
2019-02-18,"FINAL","PRESIDENTIAL","03","PARWAN","1012-32-7",3,"Dr. Faramarz Tamana","دکتور فرامرز تمنا","M","NO","NO","NO","NO",203
2019-02-18,"FINAL","PRESIDENTIAL","03","PARWAN","1035-8-11",5,"Ahmad Wali Masood","احمد ولی مسعود","M","NO","NO","NO","NO",118
2019-02-18,"FINAL","PRESIDENTIAL","03","PARWAN","1025-5-16",6,"Noor Rahman Lewal","نور رحمان لٻوال","M","NO","NO","NO","NO",6
2019-02-18,"FINAL","PRESIDENTIAL","03","PARWAN","1033-4-8",7,"Mohammad Shahab Hakimi","محمد شهاب حکيمی","M","NO","NO","NO","NO",30
2019-02-18,"FINAL","PRESIDENTIAL","03","PARWAN","1055-5-15",8,"Mohammad Ashraf Ghani","محمد اشرف غنی","M","NO","NO","YES","YES",7783
2019-02-18,"FINAL","PRESIDENTIAL","03","PARWAN","1052-1-14",9,"Dr. Abdullah Abdullah","دکتور عبدالله عبدالله","M","NO","NO","NO","NO",20448
2019-02-18,"FINAL","PRESIDENTIAL","03","PARWAN","1037-1-2",10,"Mohammad Hakim Torsan","محمد حکيم تورسن","M","NO","NO","NO","NO",147
2019-02-18,"FINAL","PRESIDENTIAL","03","PARWAN","1042-19-10",11,"Gulbedin Hekmatyar","گلبدين حکمتيار","M","NO","NO","NO","NO",3324
2019-02-18,"FINAL","PRESIDENTIAL","03","PARWAN","1002-17-1",12,"Abdul Latif Pedram","عبداللطيف پدرام","M","NO","NO","NO","NO",165
2019-02-18,"FINAL","PRESIDENTIAL","03","PARWAN","1007-2-18",15,"Professor Dr. Ghulam Farooq Najrabi","پوهاند پروفيسور دوکتور غلام فاروق نجرابی","M","NO","NO","NO","NO",82
2019-02-18,"FINAL","PRESIDENTIAL","03","PARWAN","1029-4-4",16,"Enayatullah Hafiz","عنايت الله حفيظ","M","NO","NO","NO","NO",270
2019-02-18,"FINAL","PRESIDENTIAL","03","PARWAN","1058-7-9",17,"Mohammad Hanif Atmar","محمد حنيف اتمر","M","YES","NO","NO","NO",21
2019-02-18,"FINAL","PRESIDENTIAL","04","MAYDANWARDAK","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",248
2019-02-18,"FINAL","PRESIDENTIAL","04","MAYDANWARDAK","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",109
2019-02-18,"FINAL","PRESIDENTIAL","04","MAYDANWARDAK","1012-32-7",3,"Dr. Faramarz Tamana","دکتور فرامرز تمنا","M","NO","NO","NO","NO",28
2019-02-18,"FINAL","PRESIDENTIAL","04","MAYDANWARDAK","1035-8-11",5,"Ahmad Wali Masood","احمد ولی مسعود","M","NO","NO","NO","NO",8
2019-02-18,"FINAL","PRESIDENTIAL","04","MAYDANWARDAK","1025-5-16",6,"Noor Rahman Lewal","نور رحمان لٻوال","M","NO","NO","NO","NO",8
2019-02-18,"FINAL","PRESIDENTIAL","04","MAYDANWARDAK","1033-4-8",7,"Mohammad Shahab Hakimi","محمد شهاب حکيمی","M","NO","NO","NO","NO",24
2019-02-18,"FINAL","PRESIDENTIAL","04","MAYDANWARDAK","1055-5-15",8,"Mohammad Ashraf Ghani","محمد اشرف غنی","M","NO","NO","YES","YES",1279
2019-02-18,"FINAL","PRESIDENTIAL","04","MAYDANWARDAK","1052-1-14",9,"Dr. Abdullah Abdullah","دکتور عبدالله عبدالله","M","NO","NO","NO","NO",17139
2019-02-18,"FINAL","PRESIDENTIAL","04","MAYDANWARDAK","1037-1-2",10,"Mohammad Hakim Torsan","محمد حکيم تورسن","M","NO","NO","NO","NO",61
2019-02-18,"FINAL","PRESIDENTIAL","04","MAYDANWARDAK","1042-19-10",11,"Gulbedin Hekmatyar","گلبدين حکمتيار","M","NO","NO","NO","NO",274
2019-02-18,"FINAL","PRESIDENTIAL","04","MAYDANWARDAK","1002-17-1",12,"Abdul Latif Pedram","عبداللطيف پدرام","M","NO","NO","NO","NO",32
2019-02-18,"FINAL","PRESIDENTIAL","04","MAYDANWARDAK","1007-2-18",15,"Professor Dr. Ghulam Farooq Najrabi","پوهاند پروفيسور دوکتور غلام فاروق نجرابی","M","NO","NO","NO","NO",25
2019-02-18,"FINAL","PRESIDENTIAL","04","MAYDANWARDAK","1029-4-4",16,"Enayatullah Hafiz","عنايت الله حفيظ","M","NO","NO","NO","NO",647
2019-02-18,"FINAL","PRESIDENTIAL","04","MAYDANWARDAK","1058-7-9",17,"Mohammad Hanif Atmar","محمد حنيف اتمر","M","YES","NO","NO","NO",19
2019-02-18,"FINAL","PRESIDENTIAL","05","LOGAR","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",10
2019-02-18,"FINAL","PRESIDENTIAL","05","LOGAR","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",64
2019-02-18,"FINAL","PRESIDENTIAL","05","LOGAR","1012-32-7",3,"Dr. Faramarz Tamana","دکتور فرامرز تمنا","M","NO","NO","NO","NO",18
2019-02-18,"FINAL","PRESIDENTIAL","05","LOGAR","1035-8-11",5,"Ahmad Wali Masood","احمد ولی مسعود","M","NO","NO","NO","NO",2
2019-02-18,"FINAL","PRESIDENTIAL","05","LOGAR","1025-5-16",6,"Noor Rahman Lewal","نور رحمان لٻوال","M","NO","NO","NO","NO",3
2019-02-18,"FINAL","PRESIDENTIAL","05","LOGAR","1033-4-8",7,"Mohammad Shahab Hakimi","محمد شهاب حکيمی","M","NO","NO","NO","NO",7
2019-02-18,"FINAL","PRESIDENTIAL","05","LOGAR","1055-5-15",8,"Mohammad Ashraf Ghani","محمد اشرف غنی","M","NO","NO","YES","YES",13344
2019-02-18,"FINAL","PRESIDENTIAL","05","LOGAR","1052-1-14",9,"Dr. Abdullah Abdullah","دکتور عبدالله عبدالله","M","NO","NO","NO","NO",503
2019-02-18,"FINAL","PRESIDENTIAL","05","LOGAR","1037-1-2",10,"Mohammad Hakim Torsan","محمد حکيم تورسن","M","NO","NO","NO","NO",13
2019-02-18,"FINAL","PRESIDENTIAL","05","LOGAR","1042-19-10",11,"Gulbedin Hekmatyar","گلبدين حکمتيار","M","NO","NO","NO","NO",216
2019-02-18,"FINAL","PRESIDENTIAL","05","LOGAR","1002-17-1",12,"Abdul Latif Pedram","عبداللطيف پدرام","M","NO","NO","NO","NO",11
2019-02-18,"FINAL","PRESIDENTIAL","05","LOGAR","1007-2-18",15,"Professor Dr. Ghulam Farooq Najrabi","پوهاند پروفيسور دوکتور غلام فاروق نجرابی","M","NO","NO","NO","NO",3
2019-02-18,"FINAL","PRESIDENTIAL","05","LOGAR","1029-4-4",16,"Enayatullah Hafiz","عنايت الله حفيظ","M","NO","NO","NO","NO",0
2019-02-18,"FINAL","PRESIDENTIAL","05","LOGAR","1058-7-9",17,"Mohammad Hanif Atmar","محمد حنيف اتمر","M","YES","NO","NO","NO",2
2019-02-18,"FINAL","PRESIDENTIAL","06","NANGARHAR","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",221
2019-02-18,"FINAL","PRESIDENTIAL","06","NANGARHAR","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",294
2019-02-18,"FINAL","PRESIDENTIAL","06","NANGARHAR","1012-32-7",3,"Dr. Faramarz Tamana","دکتور فرامرز تمنا","M","NO","NO","NO","NO",70
2019-02-18,"FINAL","PRESIDENTIAL","06","NANGARHAR","1035-8-11",5,"Ahmad Wali Masood","احمد ولی مسعود","M","NO","NO","NO","NO",45
2019-02-18,"FINAL","PRESIDENTIAL","06","NANGARHAR","1025-5-16",6,"Noor Rahman Lewal","نور رحمان لٻوال","M","NO","NO","NO","NO",105
2019-02-18,"FINAL","PRESIDENTIAL","06","NANGARHAR","1033-4-8",7,"Mohammad Shahab Hakimi","محمد شهاب حکيمی","M","NO","NO","NO","NO",383
2019-02-18,"FINAL","PRESIDENTIAL","06","NANGARHAR","1055-5-15",8,"Mohammad Ashraf Ghani","محمد اشرف غنی","M","NO","NO","YES","YES",188462
2019-02-18,"FINAL","PRESIDENTIAL","06","NANGARHAR","1052-1-14",9,"Dr. Abdullah Abdullah","دکتور عبدالله عبدالله","M","NO","NO","NO","NO",4949
2019-02-18,"FINAL","PRESIDENTIAL","06","NANGARHAR","1037-1-2",10,"Mohammad Hakim Torsan","محمد حکيم تورسن","M","NO","NO","NO","NO",193
2019-02-18,"FINAL","PRESIDENTIAL","06","NANGARHAR","1042-19-10",11,"Gulbedin Hekmatyar","گلبدين حکمتيار","M","NO","NO","NO","NO",9515
2019-02-18,"FINAL","PRESIDENTIAL","06","NANGARHAR","1002-17-1",12,"Abdul Latif Pedram","عبداللطيف پدرام","M","NO","NO","NO","NO",30
2019-02-18,"FINAL","PRESIDENTIAL","06","NANGARHAR","1007-2-18",15,"Professor Dr. Ghulam Farooq Najrabi","پوهاند پروفيسور دوکتور غلام فاروق نجرابی","M","NO","NO","NO","NO",16
2019-02-18,"FINAL","PRESIDENTIAL","06","NANGARHAR","1029-4-4",16,"Enayatullah Hafiz","عنايت الله حفيظ","M","NO","NO","NO","NO",11
2019-02-18,"FINAL","PRESIDENTIAL","06","NANGARHAR","1058-7-9",17,"Mohammad Hanif Atmar","محمد حنيف اتمر","M","YES","NO","NO","NO",62
2019-02-18,"FINAL","PRESIDENTIAL","07","LAGHMAN","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",46
2019-02-18,"FINAL","PRESIDENTIAL","07","LAGHMAN","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",96
2019-02-18,"FINAL","PRESIDENTIAL","07","LAGHMAN","1012-32-7",3,"Dr. Faramarz Tamana","دکتور فرامرز تمنا","M","NO","NO","NO","NO",19
2019-02-18,"FINAL","PRESIDENTIAL","07","LAGHMAN","1035-8-11",5,"Ahmad Wali Masood","احمد ولی مسعود","M","NO","NO","NO","NO",4
2019-02-18,"FINAL","PRESIDENTIAL","07","LAGHMAN","1025-5-16",6,"Noor Rahman Lewal","نور رحمان لٻوال","M","NO","NO","NO","NO",3
2019-02-18,"FINAL","PRESIDENTIAL","07","LAGHMAN","1033-4-8",7,"Mohammad Shahab Hakimi","محمد شهاب حکيمی","M","NO","NO","NO","NO",93
2019-02-18,"FINAL","PRESIDENTIAL","07","LAGHMAN","1055-5-15",8,"Mohammad Ashraf Ghani","محمد اشرف غنی","M","NO","NO","YES","YES",22769
2019-02-18,"FINAL","PRESIDENTIAL","07","LAGHMAN","1052-1-14",9,"Dr. Abdullah Abdullah","دکتور عبدالله عبدالله","M","NO","NO","NO","NO",469
2019-02-18,"FINAL","PRESIDENTIAL","07","LAGHMAN","1037-1-2",10,"Mohammad Hakim Torsan","محمد حکيم تورسن","M","NO","NO","NO","NO",36
2019-02-18,"FINAL","PRESIDENTIAL","07","LAGHMAN","1042-19-10",11,"Gulbedin Hekmatyar","گلبدين حکمتيار","M","NO","NO","NO","NO",2360
2019-02-18,"FINAL","PRESIDENTIAL","07","LAGHMAN","1002-17-1",12,"Abdul Latif Pedram","عبداللطيف پدرام","M","NO","NO","NO","NO",7
2019-02-18,"FINAL","PRESIDENTIAL","07","LAGHMAN","1007-2-18",15,"Professor Dr. Ghulam Farooq Najrabi","پوهاند پروفيسور دوکتور غلام فاروق نجرابی","M","NO","NO","NO","NO",5
2019-02-18,"FINAL","PRESIDENTIAL","07","LAGHMAN","1029-4-4",16,"Enayatullah Hafiz","عنايت الله حفيظ","M","NO","NO","NO","NO",2
2019-02-18,"FINAL","PRESIDENTIAL","07","LAGHMAN","1058-7-9",17,"Mohammad Hanif Atmar","محمد حنيف اتمر","M","YES","NO","NO","NO",21
2019-02-18,"FINAL","PRESIDENTIAL","08","PANJSHIR","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",92
2019-02-18,"FINAL","PRESIDENTIAL","08","PANJSHIR","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",59
2019-02-18,"FINAL","PRESIDENTIAL","08","PANJSHIR","1012-32-7",3,"Dr. Faramarz Tamana","دکتور فرامرز تمنا","M","NO","NO","NO","NO",79
2019-02-18,"FINAL","PRESIDENTIAL","08","PANJSHIR","1035-8-11",5,"Ahmad Wali Masood","احمد ولی مسعود","M","NO","NO","NO","NO",370
2019-02-18,"FINAL","PRESIDENTIAL","08","PANJSHIR","1025-5-16",6,"Noor Rahman Lewal","نور رحمان لٻوال","M","NO","NO","NO","NO",5
2019-02-18,"FINAL","PRESIDENTIAL","08","PANJSHIR","1033-4-8",7,"Mohammad Shahab Hakimi","محمد شهاب حکيمی","M","NO","NO","NO","NO",18
2019-02-18,"FINAL","PRESIDENTIAL","08","PANJSHIR","1055-5-15",8,"Mohammad Ashraf Ghani","محمد اشرف غنی","M","NO","NO","YES","YES",2079
2019-02-18,"FINAL","PRESIDENTIAL","08","PANJSHIR","1052-1-14",9,"Dr. Abdullah Abdullah","دکتور عبدالله عبدالله","M","NO","NO","NO","NO",15343
2019-02-18,"FINAL","PRESIDENTIAL","08","PANJSHIR","1037-1-2",10,"Mohammad Hakim Torsan","محمد حکيم تورسن","M","NO","NO","NO","NO",66
2019-02-18,"FINAL","PRESIDENTIAL","08","PANJSHIR","1042-19-10",11,"Gulbedin Hekmatyar","گلبدين حکمتيار","M","NO","NO","NO","NO",110
2019-02-18,"FINAL","PRESIDENTIAL","08","PANJSHIR","1002-17-1",12,"Abdul Latif Pedram","عبداللطيف پدرام","M","NO","NO","NO","NO",120
2019-02-18,"FINAL","PRESIDENTIAL","08","PANJSHIR","1007-2-18",15,"Professor Dr. Ghulam Farooq Najrabi","پوهاند پروفيسور دوکتور غلام فاروق نجرابی","M","NO","NO","NO","NO",35
2019-02-18,"FINAL","PRESIDENTIAL","08","PANJSHIR","1029-4-4",16,"Enayatullah Hafiz","عنايت الله حفيظ","M","NO","NO","NO","NO",5
2019-02-18,"FINAL","PRESIDENTIAL","08","PANJSHIR","1058-7-9",17,"Mohammad Hanif Atmar","محمد حنيف اتمر","M","YES","NO","NO","NO",12
2019-02-18,"FINAL","PRESIDENTIAL","09","BAGHLAN","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",311
2019-02-18,"FINAL","PRESIDENTIAL","09","BAGHLAN","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",198
2019-02-18,"FINAL","PRESIDENTIAL","09","BAGHLAN","1012-32-7",3,"Dr. Faramarz Tamana","دکتور فرامرز تمنا","M","NO","NO","NO","NO",163
2019-02-18,"FINAL","PRESIDENTIAL","09","BAGHLAN","1035-8-11",5,"Ahmad Wali Masood","احمد ولی مسعود","M","NO","NO","NO","NO",303
2019-02-18,"FINAL","PRESIDENTIAL","09","BAGHLAN","1025-5-16",6,"Noor Rahman Lewal","نور رحمان لٻوال","M","NO","NO","NO","NO",12
2019-02-18,"FINAL","PRESIDENTIAL","09","BAGHLAN","1033-4-8",7,"Mohammad Shahab Hakimi","محمد شهاب حکيمی","M","NO","NO","NO","NO",20
2019-02-18,"FINAL","PRESIDENTIAL","09","BAGHLAN","1055-5-15",8,"Mohammad Ashraf Ghani","محمد اشرف غنی","M","NO","NO","YES","YES",5830
2019-02-18,"FINAL","PRESIDENTIAL","09","BAGHLAN","1052-1-14",9,"Dr. Abdullah Abdullah","دکتور عبدالله عبدالله","M","NO","NO","NO","NO",21009
2019-02-18,"FINAL","PRESIDENTIAL","09","BAGHLAN","1037-1-2",10,"Mohammad Hakim Torsan","محمد حکيم تورسن","M","NO","NO","NO","NO",177
2019-02-18,"FINAL","PRESIDENTIAL","09","BAGHLAN","1042-19-10",11,"Gulbedin Hekmatyar","گلبدين حکمتيار","M","NO","NO","NO","NO",1646
2019-02-18,"FINAL","PRESIDENTIAL","09","BAGHLAN","1002-17-1",12,"Abdul Latif Pedram","عبداللطيف پدرام","M","NO","NO","NO","NO",545
2019-02-18,"FINAL","PRESIDENTIAL","09","BAGHLAN","1007-2-18",15,"Professor Dr. Ghulam Farooq Najrabi","پوهاند پروفيسور دوکتور غلام فاروق نجرابی","M","NO","NO","NO","NO",11
2019-02-18,"FINAL","PRESIDENTIAL","09","BAGHLAN","1029-4-4",16,"Enayatullah Hafiz","عنايت الله حفيظ","M","NO","NO","NO","NO",20
2019-02-18,"FINAL","PRESIDENTIAL","09","BAGHLAN","1058-7-9",17,"Mohammad Hanif Atmar","محمد حنيف اتمر","M","YES","NO","NO","NO",13
2019-02-18,"FINAL","PRESIDENTIAL","10","BAMYAN","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",4120
2019-02-18,"FINAL","PRESIDENTIAL","10","BAMYAN","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",1339
2019-02-18,"FINAL","PRESIDENTIAL","10","BAMYAN","1012-32-7",3,"Dr. Faramarz Tamana","دکتور فرامرز تمنا","M","NO","NO","NO","NO",367
2019-02-18,"FINAL","PRESIDENTIAL","10","BAMYAN","1035-8-11",5,"Ahmad Wali Masood","احمد ولی مسعود","M","NO","NO","NO","NO",192
2019-02-18,"FINAL","PRESIDENTIAL","10","BAMYAN","1025-5-16",6,"Noor Rahman Lewal","نور رحمان لٻوال","M","NO","NO","NO","NO",59
2019-02-18,"FINAL","PRESIDENTIAL","10","BAMYAN","1033-4-8",7,"Mohammad Shahab Hakimi","محمد شهاب حکيمی","M","NO","NO","NO","NO",174
2019-02-18,"FINAL","PRESIDENTIAL","10","BAMYAN","1055-5-15",8,"Mohammad Ashraf Ghani","محمد اشرف غنی","M","NO","NO","YES","YES",15021
2019-02-18,"FINAL","PRESIDENTIAL","10","BAMYAN","1052-1-14",9,"Dr. Abdullah Abdullah","دکتور عبدالله عبدالله","M","NO","NO","NO","NO",55795
2019-02-18,"FINAL","PRESIDENTIAL","10","BAMYAN","1037-1-2",10,"Mohammad Hakim Torsan","محمد حکيم تورسن","M","NO","NO","NO","NO",314
2019-02-18,"FINAL","PRESIDENTIAL","10","BAMYAN","1042-19-10",11,"Gulbedin Hekmatyar","گلبدين حکمتيار","M","NO","NO","NO","NO",1859
2019-02-18,"FINAL","PRESIDENTIAL","10","BAMYAN","1002-17-1",12,"Abdul Latif Pedram","عبداللطيف پدرام","M","NO","NO","NO","NO",240
2019-02-18,"FINAL","PRESIDENTIAL","10","BAMYAN","1007-2-18",15,"Professor Dr. Ghulam Farooq Najrabi","پوهاند پروفيسور دوکتور غلام فاروق نجرابی","M","NO","NO","NO","NO",133
2019-02-18,"FINAL","PRESIDENTIAL","10","BAMYAN","1029-4-4",16,"Enayatullah Hafiz","عنايت الله حفيظ","M","NO","NO","NO","NO",2707
2019-02-18,"FINAL","PRESIDENTIAL","10","BAMYAN","1058-7-9",17,"Mohammad Hanif Atmar","محمد حنيف اتمر","M","YES","NO","NO","NO",132
2019-02-18,"FINAL","PRESIDENTIAL","11","GHAZNI","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",2941
2019-02-18,"FINAL","PRESIDENTIAL","11","GHAZNI","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",562
2019-02-18,"FINAL","PRESIDENTIAL","11","GHAZNI","1012-32-7",3,"Dr. Faramarz Tamana","دکتور فرامرز تمنا","M","NO","NO","NO","NO",293
2019-02-18,"FINAL","PRESIDENTIAL","11","GHAZNI","1035-8-11",5,"Ahmad Wali Masood","احمد ولی مسعود","M","NO","NO","NO","NO",45
2019-02-18,"FINAL","PRESIDENTIAL","11","GHAZNI","1025-5-16",6,"Noor Rahman Lewal","نور رحمان لٻوال","M","NO","NO","NO","NO",15
2019-02-18,"FINAL","PRESIDENTIAL","11","GHAZNI","1033-4-8",7,"Mohammad Shahab Hakimi","محمد شهاب حکيمی","M","NO","NO","NO","NO",72
2019-02-18,"FINAL","PRESIDENTIAL","11","GHAZNI","1055-5-15",8,"Mohammad Ashraf Ghani","محمد اشرف غنی","M","NO","NO","YES","YES",19259
2019-02-18,"FINAL","PRESIDENTIAL","11","GHAZNI","1052-1-14",9,"Dr. Abdullah Abdullah","دکتور عبدالله عبدالله","M","NO","NO","NO","NO",26946
2019-02-18,"FINAL","PRESIDENTIAL","11","GHAZNI","1037-1-2",10,"Mohammad Hakim Torsan","محمد حکيم تورسن","M","NO","NO","NO","NO",142
2019-02-18,"FINAL","PRESIDENTIAL","11","GHAZNI","1042-19-10",11,"Gulbedin Hekmatyar","گلبدين حکمتيار","M","NO","NO","NO","NO",685
2019-02-18,"FINAL","PRESIDENTIAL","11","GHAZNI","1002-17-1",12,"Abdul Latif Pedram","عبداللطيف پدرام","M","NO","NO","NO","NO",202
2019-02-18,"FINAL","PRESIDENTIAL","11","GHAZNI","1007-2-18",15,"Professor Dr. Ghulam Farooq Najrabi","پوهاند پروفيسور دوکتور غلام فاروق نجرابی","M","NO","NO","NO","NO",26
2019-02-18,"FINAL","PRESIDENTIAL","11","GHAZNI","1029-4-4",16,"Enayatullah Hafiz","عنايت الله حفيظ","M","NO","NO","NO","NO",664
2019-02-18,"FINAL","PRESIDENTIAL","11","GHAZNI","1058-7-9",17,"Mohammad Hanif Atmar","محمد حنيف اتمر","M","YES","NO","NO","NO",71
2019-02-18,"FINAL","PRESIDENTIAL","12","PAKTIKA","1038-4-12",1,"Rahmatullah Nabil","رحمت الله نبيل","M","NO","NO","NO","NO",121
2019-02-18,"FINAL","PRESIDENTIAL","12","PAKTIKA","1044-6-3",2,"Sayed Noorullah Jalili","سيد نورالله جليلی","M","NO","NO","NO","NO",81
2019-02-18,"FINAL","PRESIDENTIAL","12","PAKTIKA","1012-32-7",3,"Dr. Faramarz Tamana","دکتور فرامرز تمنا","M","NO","NO","NO","NO",18
2019-02-18,"FINAL","PRESIDENTIAL","12","PAKTIKA","1035-8-11",5,"Ahmad Wali Masood","احمد ولی مسعود","M","NO","NO","NO","NO",11
2019-02-18,"FINAL","PRESIDENTIAL","12","PAKTIKA","1025-5-16",6,"Noor Rahman Lewal","نور رحمان لٻوال","M","NO","NO","NO","NO",13
